TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.328228,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,4.497219,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,4.808927,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.579274,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.05162973,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04817262,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.05332050,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.09023699,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,4.688331,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,4.866608,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.559126,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
