TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2000,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,78.55834,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.70667,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.36697,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.73731,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,79.21893,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.95444,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.76058,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.28717,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,77.28809,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.85086,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.21991,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.03522,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
