TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2199487,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1546329,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04770894,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2400066,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1780025,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.05312493,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2397291,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1781276,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.08782736,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2563699,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
1999,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1975855,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
