TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.8198234,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.3412070,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-HIRATA-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.4227513,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-UITZ-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.8233368,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.3611813,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-HIRATA-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.4328486,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-UITZ-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.8261492,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.3565024,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-HIRATA-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.4279320,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-UITZ-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.7938259,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.3712297,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-HIRATA-STATS
1998,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.4218457,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1998-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-UITZ-STATS
1999,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.8302135,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,0.3023655,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_1999-SEAWIFS-R2015-L3B2-NANO_PERCENTAGE-HIRATA-STATS
