"","YEAR","REVCHANGE","VI","PI","BI"
"1",1986,-203.006821509524,-349.915011017257,146.908189507733,-203.006821509524
"2",1987,-146.687663177976,-316.589268945064,169.901605767089,-146.687663177976
"3",1988,-230.28218981509,-328.978651672402,98.6964618573118,-230.28218981509
"4",1989,-7.05003853371763,15.7954658293205,-22.8455043630382,-7.05003853371766
"5",1990,-23.0606679309567,65.5277228045956,-88.5883907355524,-23.0606679309567
"6",1991,-23.4864507125943,108.786505748411,-132.272956461005,-23.4864507125942
"7",1992,-89.8713342164938,34.3917817423072,-124.263115958801,-89.8713342164939
"8",1993,-11.868623360309,169.921716084619,-181.790339444928,-11.8686233603089
"9",1994,48.1160384472187,93.3896454681375,-45.2736070209189,48.1160384472187
"10",1995,16.6480326636202,105.07098212542,-88.4229494617997,16.6480326636202
"11",1996,-14.0032565959389,105.608380807421,-119.61163740336,-14.0032565959389
"12",1997,-42.9643373507558,99.9041267530408,-142.868464103797,-42.9643373507557
"13",1998,-102.921563730731,53.9226787238217,-156.844242454552,-102.921563730731
"14",1999,-62.0215487740467,57.3624658520529,-119.384014626099,-62.0215487740466
"15",2000,-7.96241188383281,47.7553096537124,-55.7177215375452,-7.96241188383274
"16",2001,238.302537932789,183.972375894738,54.3301620380516,238.30253793279
"17",2002,72.5083999088693,97.9586875860822,-25.450287677213,72.5083999088693
"18",2003,183.659891504067,129.187477486689,54.4724140173781,183.659891504067
"19",2004,443.041944551329,254.490510675584,188.551433875745,443.041944551329
"20",2005,198.097893754136,79.7360871356241,118.361806618512,198.097893754136
"21",2006,-130.969748712688,-97.992679217849,-32.9770694948386,-130.969748712688
"22",2007,124.153220815124,54.2823833724208,69.8708374427037,124.153220815124
"23",2008,156.585721113031,88.6101600480099,67.9755610650207,156.585721113031
"24",2009,87.4177677968688,51.3136885057466,36.1040792911222,87.4177677968688
"25",2010,-149.448518036834,-208.397985498943,58.9494674621092,-149.448518036834
"26",2011,106.63281947243,-16.5733405113285,123.206159983758,106.63281947243
"27",2012,-23.8577344776757,-85.8772609181109,62.0195264404353,-23.8577344776756
"28",2013,-208.461222849042,-230.204135397743,21.7429125487014,-208.461222849042
"29",2014,-151.739609584146,-239.212013582871,87.4724039987251,-151.739609584146
"30",2015,-81.2934702301633,-238.375382727091,157.081912496928,-81.2934702301633
"31",2016,85.1413242484816,-203.117917552156,288.259241800638,85.1413242484817
"32",2017,-49.3483807254503,-216.574484041284,167.226103315834,-49.3483807254503
