TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
1998,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.16730,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.75646,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.89889,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
1998,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.42527,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,0.1219851,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,0.1286031,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,0.1263831,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
1999,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,0.1275107,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,11.66927,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.18773,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.35783,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
