TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
1998,YYYY,ANNUAL_PPD_MEDIAN,0.4888801,gC m^-2 d^-1,GB,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
1998,YYYY,ANNUAL_PPD_MEDIAN,0.4007323,gC m^-2 d^-1,SS,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
1998,YYYY,ANNUAL_PPD_MEDIAN,0.4378311,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
1998,YYYY,ANNUAL_PPD_MEDIAN,0.5570765,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
1999,YYYY,ANNUAL_PPD_MEDIAN,0.5952103,gC m^-2 d^-1,GB,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
1999,YYYY,ANNUAL_PPD_MEDIAN,0.4631613,gC m^-2 d^-1,SS,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
1999,YYYY,ANNUAL_PPD_MEDIAN,0.5305157,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
1999,YYYY,ANNUAL_PPD_MEDIAN,0.5958676,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1999-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
2000,YYYY,ANNUAL_PPD_MEDIAN,0.5595975,gC m^-2 d^-1,GB,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
2000,YYYY,ANNUAL_PPD_MEDIAN,0.4514497,gC m^-2 d^-1,SS,EPU_NOESTUARIES,OC-CCI,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-PPD-VGPM2-STATS
