Year,GSI
1954.125,1.07426907
1954.375,0.923460712
1954.625,0.805373932
1954.875,0.74759553
1955.125,0.716915659
1955.375,0.66083996
1955.625,0.25313363
1955.875,-0.421221256
1956.125,-0.946871729
1956.375,-1.27312763
1956.625,-1.358979581
1956.875,-1.222999893
1957.125,-0.963907094
1957.375,-0.48581698
1957.625,0.053795253
1957.875,0.432716311
1958.125,0.328271379
1958.375,-0.426259578
1958.625,-1.377397828
1958.875,-1.647390158
1959.125,-1.513688387
1959.375,-1.297760425
1959.625,-1.228760351
1959.875,-1.247365964
1960.125,-1.274106564
1960.375,-1.264507808
1960.625,-1.168550731
1960.875,-1.020821539
1961.125,-0.848917328
1961.375,-0.748120911
1961.625,-0.797220324
1961.875,-0.784070324
1962.125,-0.7378383
1962.375,-0.836318234
1962.625,-1.133716967
1962.875,-1.486796038
1963.125,-1.660985992
1963.375,-1.681523507
1963.625,-1.305741275
1963.875,-1.194807682
1964.125,-1.389163861
1964.375,-1.531185724
1964.625,-1.277554151
1964.875,-0.853498597
1965.125,-0.488822669
1965.375,-0.420915473
1965.625,-0.700697019
1965.875,-1.169805944
1966.125,-1.588391445
1966.375,-1.79021127
1966.625,-1.746566243
1966.875,-1.513197742
1967.125,-1.248460429
1967.375,-1.083059996
1967.625,-1.037307338
1967.875,-1.012356612
1968.125,-1.189942551
1968.375,-1.277398298
1968.625,-1.217301029
1968.875,-1.232050773
1969.125,-1.294580279
1969.375,-1.262918587
1969.625,-1.152312463
1969.875,-1.075435845
1970.125,-1.126241213
1970.375,-1.277494682
1970.625,-1.376740168
1970.875,-1.361514012
1971.125,-1.284752869
1971.375,-1.093595197
1971.625,-0.817646345
1971.875,-0.603119015
1972.125,-0.580998211
1972.375,-0.684927774
1972.625,-0.726234195
1972.875,-0.598834433
1973.125,-0.435421794
1973.375,-0.316024644
1973.625,-0.246952982
1973.875,-0.115318378
1974.125,0.095939642
1974.375,0.276783881
1974.625,0.358685749
1974.875,0.314263071
1975.125,0.010086639
1975.375,-0.416161569
1975.625,-0.603054278
1975.875,-0.41719927
1976.125,-0.01210544
1976.375,0.281984032
1976.625,0.383395642
1976.875,0.36246957
1977.125,0.304701979
1977.375,0.166354725
1977.625,-0.068534604
1977.875,-0.411170617
1978.125,-0.856176691
1978.375,-1.172749378
1978.625,-1.284970119
1978.875,-1.331336522
1979.125,-1.279218861
1979.375,-1.047358844
1979.625,-0.72316401
1979.875,-0.511850322
1980.125,-0.447579461
1980.375,-0.36193676
1980.625,-0.228578554
1980.875,-0.181383151
1981.125,-0.268265456
1981.375,-0.355342913
1981.625,-0.44343124
1981.875,-0.651824852
1982.125,-0.723502523
1982.375,-0.473867871
1982.625,-0.128606448
1982.875,0.22769487
1983.125,0.352718385
1983.375,0.213035257
1983.625,-0.015114152
1983.875,-0.108530638
1984.125,-0.026910609
1984.375,0.045730284
1984.625,0.131054364
1984.875,0.212852039
1985.125,0.336476628
1985.375,0.52761129
1985.625,0.772353471
1985.875,0.905839449
1986.125,0.827288099
1986.375,0.576515424
1986.625,0.181527212
1986.875,-0.349728625
1987.125,-0.785363754
1987.375,-0.908330655
1987.625,-0.891538006
1987.875,-0.855449138
1988.125,-0.833451857
1988.375,-0.699421544
1988.625,-0.448659708
1988.875,-0.321696083
1989.125,-0.344088953
1989.375,-0.332381591
1989.625,-0.221908662
1989.875,-0.01502498
1990.125,0.156937952
1990.375,0.30036677
1990.625,0.536016576
1990.875,0.762936839
1991.125,0.820302058
1991.375,0.844057704
1991.625,0.965284085
1991.875,1.031852474
1992.125,0.816510025
1992.375,0.529122816
1992.625,0.357209043
1992.875,0.260386952
1993.125,0.293715775
1993.375,0.431084835
1993.625,0.57936327
1993.875,0.738143067
1994.125,0.862717262
1994.375,1.01315633
1994.625,1.1890906
1994.875,1.220034979
1995.125,1.193415518
1995.375,1.188977827
1995.625,1.076042248
1995.875,0.75027434
1996.125,0.374313101
1996.375,-0.122460391
1996.625,-0.397009312
1996.875,-0.418388547
1997.125,-0.259675931
1997.375,-0.073230591
1997.625,0.020664509
1997.875,0.003920714
1998.125,-0.140259155
1998.375,-0.224436756
1998.625,-0.09689806
1998.875,0.311749089
1999.125,0.828198201
1999.375,1.266725434
1999.625,1.410082638
1999.875,1.186511326
2000.125,0.891444526
2000.375,0.834165943
2000.625,1.085067638
2000.875,1.28570077
2001.125,1.294470252
2001.375,1.398163198
2001.625,1.552515224
2001.875,1.654438906
2002.125,1.646977794
2002.375,1.515935321
2002.625,1.295293735
2002.875,0.964449044
2003.125,0.515052325
2003.375,0.181339942
2003.625,-0.00266077
2003.875,-0.156854475
2004.125,-0.100574073
2004.375,0.063767478
2004.625,0.197742157
2004.875,0.188799954
2005.125,0.018866962
2005.375,-0.162660602
2005.625,-0.250485595
2005.875,-0.293359876
2006.125,-0.309560284
2006.375,-0.272625132
2006.625,-0.263683644
2006.875,-0.385562343
2007.125,-0.54366961
2007.375,-0.64933077
2007.625,-0.66315794
2007.875,-0.531170405
2008.125,-0.247320679
2008.375,0.087222648
2008.625,0.270235832
2008.875,0.193867059
2009.125,0.021810251
2009.375,-0.086808591
2009.625,0.014172731
2009.875,0.06682006
2010.125,0.081264612
2010.375,0.150422093
2010.625,0.240883994
