TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2004,YYYY,ANNUAL_PPD_MEDIAN,0.6118267,gC m^-2 d^-1,GB,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2004-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2004,YYYY,ANNUAL_PPD_MEDIAN,0.4313124,gC m^-2 d^-1,SS,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2004-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2004,YYYY,ANNUAL_PPD_MEDIAN,0.4743955,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2004-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2004,YYYY,ANNUAL_PPD_MEDIAN,0.6823619,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2004-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2005,YYYY,ANNUAL_PPD_MEDIAN,0.5939641,gC m^-2 d^-1,GB,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2005-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2005,YYYY,ANNUAL_PPD_MEDIAN,0.4646229,gC m^-2 d^-1,SS,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2005-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2005,YYYY,ANNUAL_PPD_MEDIAN,0.4976225,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2005-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2005,YYYY,ANNUAL_PPD_MEDIAN,0.6911759,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2005-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2006,YYYY,ANNUAL_PPD_MEDIAN,0.6889749,gC m^-2 d^-1,GB,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2006-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2006,YYYY,ANNUAL_PPD_MEDIAN,0.5818581,gC m^-2 d^-1,SS,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2006-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
