"Year","Var","Value","units","EPU"
1972,"Southern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
1972,"Northern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
1972,"Georges Bank_WaveHeight",7,"Number of Events","GB"
1972,"Western Gulf of Maine_WaveHeight",3,"Number of Events","GOM"
1972,"Eastern Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1973,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
1973,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1973,"Georges Bank_WaveHeight",7,"Number of Events","GB"
1973,"Western Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
1973,"Eastern Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
1974,"Southern Mid-Atlantic Bight_WaveHeight",1,"Number of Events","MAB"
1974,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1974,"Georges Bank_WaveHeight",7,"Number of Events","GB"
1974,"Western Gulf of Maine_WaveHeight",3,"Number of Events","GOM"
1974,"Eastern Gulf of Maine_WaveHeight",11,"Number of Events","GOM"
1975,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
1975,"Northern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
1975,"Georges Bank_WaveHeight",9,"Number of Events","GB"
1975,"Western Gulf of Maine_WaveHeight",3,"Number of Events","GOM"
1975,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
1976,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
1976,"Northern Mid-Atlantic Bight_WaveHeight",8,"Number of Events","MAB"
1976,"Georges Bank_WaveHeight",12,"Number of Events","GB"
1976,"Western Gulf of Maine_WaveHeight",4,"Number of Events","GOM"
1976,"Eastern Gulf of Maine_WaveHeight",10,"Number of Events","GOM"
1977,"Southern Mid-Atlantic Bight_WaveHeight",1,"Number of Events","MAB"
1977,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1977,"Georges Bank_WaveHeight",7,"Number of Events","GB"
1977,"Western Gulf of Maine_WaveHeight",4,"Number of Events","GOM"
1977,"Eastern Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1978,"Southern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
1978,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1978,"Georges Bank_WaveHeight",8,"Number of Events","GB"
1978,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1978,"Eastern Gulf of Maine_WaveHeight",8,"Number of Events","GOM"
1979,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
1979,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1979,"Georges Bank_WaveHeight",11,"Number of Events","GB"
1979,"Western Gulf of Maine_WaveHeight",5,"Number of Events","GOM"
1979,"Eastern Gulf of Maine_WaveHeight",11,"Number of Events","GOM"
1980,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
1980,"Northern Mid-Atlantic Bight_WaveHeight",7,"Number of Events","MAB"
1980,"Georges Bank_WaveHeight",12,"Number of Events","GB"
1980,"Western Gulf of Maine_WaveHeight",8,"Number of Events","GOM"
1980,"Eastern Gulf of Maine_WaveHeight",9,"Number of Events","GOM"
1981,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
1981,"Northern Mid-Atlantic Bight_WaveHeight",5,"Number of Events","MAB"
1981,"Georges Bank_WaveHeight",10,"Number of Events","GB"
1981,"Western Gulf of Maine_WaveHeight",6,"Number of Events","GOM"
1981,"Eastern Gulf of Maine_WaveHeight",8,"Number of Events","GOM"
1982,"Southern Mid-Atlantic Bight_WaveHeight",3,"Number of Events","MAB"
1982,"Northern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
1982,"Georges Bank_WaveHeight",8,"Number of Events","GB"
1982,"Western Gulf of Maine_WaveHeight",3,"Number of Events","GOM"
1982,"Eastern Gulf of Maine_WaveHeight",7,"Number of Events","GOM"
1983,"Southern Mid-Atlantic Bight_WaveHeight",4,"Number of Events","MAB"
1983,"Northern Mid-Atlantic Bight_WaveHeight",6,"Number of Events","MAB"
1983,"Georges Bank_WaveHeight",10,"Number of Events","GB"
1983,"Western Gulf of Maine_WaveHeight",8,"Number of Events","GOM"
1983,"Eastern Gulf of Maine_WaveHeight",10,"Number of Events","GOM"
1984,"Southern Mid-Atlantic Bight_WaveHeight",2,"Number of Events","MAB"
