"Time","Var","Value","Region"
2009,"Pieces",2559594,"ME"
2009,"Shellfish lease Acres",660,"ME"
2009,"Production/Acre",3878.172727,"ME"
2010,"Pieces",2960326,"ME"
2010,"Shellfish lease Acres",585,"ME"
2010,"Production/Acre",5060.386325,"ME"
2011,"Pieces",1791401,"ME"
2011,"Shellfish lease Acres",620,"ME"
2011,"Production/Acre",2889.356452,"ME"
2012,"Pieces",2875814,"ME"
2012,"Shellfish lease Acres",650,"ME"
2012,"Production/Acre",4424.329231,"ME"
2013,"Pieces",4582637,"ME"
2013,"Shellfish lease Acres",650,"ME"
2013,"Production/Acre",7050.210769,"ME"
2014,"Pieces",5023530,"ME"
2014,"Shellfish lease Acres",630,"ME"
2014,"Production/Acre",7973.857143,"ME"
2015,"Pieces",7600314,"ME"
2015,"Shellfish lease Acres",665,"ME"
2015,"Production/Acre",11429.04361,"ME"
2016,"Pieces",8804391,"ME"
2016,"Shellfish lease Acres",675,"ME"
2016,"Production/Acre",13043.54222,"ME"
2017,"Pieces",10716197,"ME"
2017,"Shellfish lease Acres",675,"ME"
2017,"Production/Acre",15875.84741,"ME"
2018,"Pieces",11891465,"ME"
2018,"Shellfish lease Acres",710,"ME"
2018,"Production/Acre",16748.54225,"ME"
2019,"Pieces",13889299,"ME"
2019,"Shellfish lease Acres",750,"ME"
2019,"Production/Acre",18519.06533,"ME"
2020,"Pieces",10060919,"ME"
2020,"Shellfish lease Acres",860,"ME"
2020,"Production/Acre",11698.74302,"ME"
2021,"Pieces",15282497,"ME"
2021,"Shellfish lease Acres",1000,"ME"
2021,"Production/Acre",15282.497,"ME"
2009,"Pieces",NA,"NH"
2009,"Shellfish lease Acres",6,"NH"
2009,"Production/Acre",NA,"NH"
2010,"Pieces",NA,"NH"
2010,"Shellfish lease Acres",6,"NH"
2010,"Production/Acre",NA,"NH"
2011,"Pieces",NA,"NH"
2011,"Shellfish lease Acres",15.5,"NH"
2011,"Production/Acre",NA,"NH"
2012,"Pieces",NA,"NH"
