"Time","EPU","Var","Units","Value"
2013,"GB","GLORYS bottom temp anomaly","degreesC",1.184849764
2013,"GOM","GLORYS bottom temp anomaly","degreesC",1.169083437
2013,"MAB","GLORYS bottom temp anomaly","degreesC",0.86008091
2013,"SS","GLORYS bottom temp anomaly","degreesC",0.951697137
2014,"GB","GLORYS bottom temp anomaly","degreesC",1.220714317
2014,"GOM","GLORYS bottom temp anomaly","degreesC",0.986840565
2014,"MAB","GLORYS bottom temp anomaly","degreesC",1.167381922
2014,"SS","GLORYS bottom temp anomaly","degreesC",0.900410464
2015,"GB","GLORYS bottom temp anomaly","degreesC",1.445139772
2015,"GOM","GLORYS bottom temp anomaly","degreesC",1.088567344
2015,"MAB","GLORYS bottom temp anomaly","degreesC",1.536763377
2015,"SS","GLORYS bottom temp anomaly","degreesC",1.022210322
2016,"GB","GLORYS bottom temp anomaly","degreesC",1.712813225
2016,"GOM","GLORYS bottom temp anomaly","degreesC",1.472046932
2016,"MAB","GLORYS bottom temp anomaly","degreesC",1.656052996
2016,"SS","GLORYS bottom temp anomaly","degreesC",1.328765781
2017,"GB","GLORYS bottom temp anomaly","degreesC",1.165640136
2017,"GOM","GLORYS bottom temp anomaly","degreesC",1.287989916
2017,"MAB","GLORYS bottom temp anomaly","degreesC",0.72947613
2017,"SS","GLORYS bottom temp anomaly","degreesC",1.114375004
2018,"GB","GLORYS bottom temp anomaly","degreesC",0.749238974
2018,"GOM","GLORYS bottom temp anomaly","degreesC",1.373104793
2018,"MAB","GLORYS bottom temp anomaly","degreesC",-0.028370174
2018,"SS","GLORYS bottom temp anomaly","degreesC",1.350932641
