"Time","stock_id","Value","Var","Units"
1982,"EGOM",20.692,"cumulative intensity","degrees C"
1982,"GBK",16.616,"cumulative intensity","degrees C"
1982,"WGOM",42.6707,"cumulative intensity","degrees C"
1983,"EGOM",65.0685,"cumulative intensity","degrees C"
1983,"GBK",98.5596,"cumulative intensity","degrees C"
1983,"SNE",19.9262,"cumulative intensity","degrees C"
1983,"WGOM",84.0123,"cumulative intensity","degrees C"
1984,"EGOM",83.5684,"cumulative intensity","degrees C"
1984,"GBK",22.2298,"cumulative intensity","degrees C"
1984,"SNE",70.642,"cumulative intensity","degrees C"
1984,"WGOM",63.1244,"cumulative intensity","degrees C"
1985,"EGOM",4.7697,"cumulative intensity","degrees C"
1985,"SNE",48.3638,"cumulative intensity","degrees C"
1985,"WGOM",4.9868,"cumulative intensity","degrees C"
1986,"EGOM",16.2356,"cumulative intensity","degrees C"
1986,"GBK",25.6023,"cumulative intensity","degrees C"
1987,"GBK",8.0087,"cumulative intensity","degrees C"
1988,"SNE",16.8457,"cumulative intensity","degrees C"
1989,"SNE",9.3029,"cumulative intensity","degrees C"
1989,"WGOM",15.0636,"cumulative intensity","degrees C"
1990,"EGOM",73.1649,"cumulative intensity","degrees C"
1990,"GBK",146.5747,"cumulative intensity","degrees C"
1990,"SNE",37.9372,"cumulative intensity","degrees C"
1990,"WGOM",56.4989,"cumulative intensity","degrees C"
1991,"EGOM",13.6273,"cumulative intensity","degrees C"
1991,"SNE",48.9943,"cumulative intensity","degrees C"
1991,"WGOM",24.1372,"cumulative intensity","degrees C"
1993,"GBK",11.0239,"cumulative intensity","degrees C"
1993,"SNE",33.2538,"cumulative intensity","degrees C"
1994,"EGOM",70.4097,"cumulative intensity","degrees C"
1994,"GBK",107.0355,"cumulative intensity","degrees C"
1994,"SNE",31.4988,"cumulative intensity","degrees C"
1994,"WGOM",53.5133,"cumulative intensity","degrees C"
1995,"GBK",49.4947,"cumulative intensity","degrees C"
1995,"SNE",31.2815,"cumulative intensity","degrees C"
1995,"WGOM",16.2461,"cumulative intensity","degrees C"
1999,"EGOM",219.8533,"cumulative intensity","degrees C"
1999,"GBK",186.5053,"cumulative intensity","degrees C"
1999,"SNE",56.1895,"cumulative intensity","degrees C"
1999,"WGOM",93.414,"cumulative intensity","degrees C"
2000,"EGOM",78.2584,"cumulative intensity","degrees C"
2000,"GBK",53.5317,"cumulative intensity","degrees C"
2000,"SNE",29.7109,"cumulative intensity","degrees C"
2000,"WGOM",44.4548,"cumulative intensity","degrees C"
2001,"EGOM",7.6727,"cumulative intensity","degrees C"
2001,"GBK",33.351,"cumulative intensity","degrees C"
2001,"SNE",65.9948,"cumulative intensity","degrees C"
2001,"WGOM",35.0932,"cumulative intensity","degrees C"
2002,"EGOM",70.9318,"cumulative intensity","degrees C"
2002,"GBK",115.8951,"cumulative intensity","degrees C"
2002,"SNE",148.8837,"cumulative intensity","degrees C"
2002,"WGOM",68.0017,"cumulative intensity","degrees C"
2003,"EGOM",7.7003,"cumulative intensity","degrees C"
2003,"GBK",15.8744,"cumulative intensity","degrees C"
2003,"SNE",8.6335,"cumulative intensity","degrees C"
2003,"WGOM",18.0033,"cumulative intensity","degrees C"
2005,"EGOM",10.257,"cumulative intensity","degrees C"
2005,"GBK",71.9418,"cumulative intensity","degrees C"
2005,"SNE",68.6454,"cumulative intensity","degrees C"
2005,"WGOM",40.1919,"cumulative intensity","degrees C"
2006,"EGOM",126.0911,"cumulative intensity","degrees C"
2006,"GBK",92.6642,"cumulative intensity","degrees C"
2006,"SNE",141.8899,"cumulative intensity","degrees C"
2006,"WGOM",89.8951,"cumulative intensity","degrees C"
2007,"SNE",36.2733,"cumulative intensity","degrees C"
2007,"WGOM",14.6883,"cumulative intensity","degrees C"
2008,"EGOM",30.8058,"cumulative intensity","degrees C"
2008,"GBK",36.7718,"cumulative intensity","degrees C"
2008,"SNE",20.2532,"cumulative intensity","degrees C"
2008,"WGOM",47.7373,"cumulative intensity","degrees C"
2009,"EGOM",32.9896,"cumulative intensity","degrees C"
2009,"GBK",168.1944,"cumulative intensity","degrees C"
2009,"SNE",67.3754,"cumulative intensity","degrees C"
2009,"WGOM",91.9903,"cumulative intensity","degrees C"
2010,"EGOM",181.9914,"cumulative intensity","degrees C"
2010,"GBK",115.2738,"cumulative intensity","degrees C"
2010,"SNE",194.9488,"cumulative intensity","degrees C"
2010,"WGOM",224.0223,"cumulative intensity","degrees C"
2011,"EGOM",131.5735,"cumulative intensity","degrees C"
2011,"GBK",130.872,"cumulative intensity","degrees C"
2011,"SNE",594.867,"cumulative intensity","degrees C"
2011,"WGOM",206.826,"cumulative intensity","degrees C"
2012,"EGOM",884.2318,"cumulative intensity","degrees C"
2012,"GBK",588.2541,"cumulative intensity","degrees C"
2012,"SNE",252.9587,"cumulative intensity","degrees C"
2012,"WGOM",837.9386,"cumulative intensity","degrees C"
2013,"EGOM",198.1086,"cumulative intensity","degrees C"
2013,"GBK",271.0083,"cumulative intensity","degrees C"
2013,"SNE",153.5741,"cumulative intensity","degrees C"
2013,"WGOM",203.9362,"cumulative intensity","degrees C"
2014,"EGOM",310.4941,"cumulative intensity","degrees C"
2014,"GBK",472.5191,"cumulative intensity","degrees C"
2014,"SNE",176.4652,"cumulative intensity","degrees C"
2014,"WGOM",289.6095,"cumulative intensity","degrees C"
2015,"EGOM",245.0688,"cumulative intensity","degrees C"
2015,"GBK",625.2966,"cumulative intensity","degrees C"
2015,"SNE",455.7264,"cumulative intensity","degrees C"
2015,"WGOM",432.0571,"cumulative intensity","degrees C"
2016,"EGOM",529.6926,"cumulative intensity","degrees C"
2016,"GBK",266.8099,"cumulative intensity","degrees C"
2016,"SNE",287.261,"cumulative intensity","degrees C"
2016,"WGOM",430.1047,"cumulative intensity","degrees C"
2017,"EGOM",209.5811,"cumulative intensity","degrees C"
2017,"GBK",248.2257,"cumulative intensity","degrees C"
2017,"SNE",200.6229,"cumulative intensity","degrees C"
2017,"WGOM",175.3804,"cumulative intensity","degrees C"
2018,"EGOM",426.8395,"cumulative intensity","degrees C"
2018,"GBK",358.0971,"cumulative intensity","degrees C"
2018,"SNE",169.5203,"cumulative intensity","degrees C"
2018,"WGOM",279.6355,"cumulative intensity","degrees C"
2019,"EGOM",102.0975,"cumulative intensity","degrees C"
2019,"GBK",140.0008,"cumulative intensity","degrees C"
2019,"SNE",166.5375,"cumulative intensity","degrees C"
2019,"WGOM",183.933,"cumulative intensity","degrees C"
2020,"EGOM",293.3668,"cumulative intensity","degrees C"
2020,"GBK",384.5593,"cumulative intensity","degrees C"
2020,"SNE",357.2673,"cumulative intensity","degrees C"
2020,"WGOM",491.7535,"cumulative intensity","degrees C"
2021,"EGOM",652.5967,"cumulative intensity","degrees C"
2021,"GBK",702.0439,"cumulative intensity","degrees C"
2021,"SNE",411.5391,"cumulative intensity","degrees C"
2021,"WGOM",546.036,"cumulative intensity","degrees C"
1982,"EGOM",3.0128,"maximum intensity","degrees C"
1982,"EGOM",1.2255,"maximum intensity","degrees C"
1983,"EGOM",1.357,"maximum intensity","degrees C"
1983,"EGOM",1.3773,"maximum intensity","degrees C"
1983,"EGOM",1.4055,"maximum intensity","degrees C"
1983,"EGOM",1.3326,"maximum intensity","degrees C"
1983,"EGOM",3.8754,"maximum intensity","degrees C"
1983,"EGOM",1.4798,"maximum intensity","degrees C"
1984,"EGOM",1.8367,"maximum intensity","degrees C"
1984,"EGOM",1.7624,"maximum intensity","degrees C"
1984,"EGOM",1.8379,"maximum intensity","degrees C"
