"Time","Var","Value"
"2020-02-03","Sei_Singles",NA
"2020-02-03","Sei_Suggested_Daily_Presence",NA
"2020-02-03","Sperm_Occur","0"
"2020-02-03","Dolphin_Occur","0"
"2020-02-03","Porpoise_Occur",NA
"2020-02-04","NARW_Occur","1"
"2020-02-04","NARW_True_Tally","3"
"2020-02-04","NARW_Suggested_Daily_Presence",NA
"2020-02-04","Fin_Occur","0"
"2020-02-04","Humpback_Occur","0"
"2020-02-04","Minke_Occur","0"
"2020-02-04","Blue_Occur","0"
"2020-02-04","Sei_Occur","0"
"2020-02-04","Sei_Singles",NA
"2020-02-04","Sei_Suggested_Daily_Presence",NA
"2020-02-04","Sperm_Occur","0"
"2020-02-04","Dolphin_Occur","0"
"2020-02-04","Porpoise_Occur",NA
"2020-02-05","NARW_Occur","1"
"2020-02-05","NARW_True_Tally","3"
"2020-02-05","NARW_Suggested_Daily_Presence",NA
"2020-02-05","Fin_Occur","1"
"2020-02-05","Humpback_Occur","0"
"2020-02-05","Minke_Occur","0"
"2020-02-05","Blue_Occur","0"
"2020-02-05","Sei_Occur","0"
"2020-02-05","Sei_Singles",NA
"2020-02-05","Sei_Suggested_Daily_Presence",NA
"2020-02-05","Sperm_Occur","0"
"2020-02-05","Dolphin_Occur","0"
"2020-02-05","Porpoise_Occur",NA
"2020-02-06","NARW_Occur","1"
"2020-02-06","NARW_True_Tally","3"
"2020-02-06","NARW_Suggested_Daily_Presence",NA
"2020-02-06","Fin_Occur","0"
"2020-02-06","Humpback_Occur","1"
"2020-02-06","Minke_Occur","0"
"2020-02-06","Blue_Occur","0"
"2020-02-06","Sei_Occur","0"
"2020-02-06","Sei_Singles",NA
"2020-02-06","Sei_Suggested_Daily_Presence",NA
"2020-02-06","Sperm_Occur","0"
"2020-02-06","Dolphin_Occur","1"
"2020-02-06","Porpoise_Occur",NA
"2020-02-07","NARW_Occur","1"
"2020-02-07","NARW_True_Tally","3"
"2020-02-07","NARW_Suggested_Daily_Presence",NA
"2020-02-07","Fin_Occur","0"
"2020-02-07","Humpback_Occur","1"
"2020-02-07","Minke_Occur","0"
"2020-02-07","Blue_Occur","0"
"2020-02-07","Sei_Occur","0"
