"Time","Var","Value","EPU","Source"
2013,"West_Gulf_of_Maine",4.1414,"GOM","Alexandrium"
2013,"East_Gulf_of_Maine",1.4847,"GOM","Alexandrium"
2013,"Bay_of_Fundy",0.95577,"GOM","Alexandrium"
2013,"Gulf_of_Maine_All",6.5818,"GOM","Alexandrium"
2014,"West_Gulf_of_Maine",4.6809,"GOM","Alexandrium"
2014,"East_Gulf_of_Maine",4.104,"GOM","Alexandrium"
2014,"Bay_of_Fundy",1.4,"GOM","Alexandrium"
2014,"Gulf_of_Maine_All",10.18,"GOM","Alexandrium"
2015,"West_Gulf_of_Maine",3.2781,"GOM","Alexandrium"
2015,"East_Gulf_of_Maine",1.2823,"GOM","Alexandrium"
2015,"Bay_of_Fundy",0.8,"GOM","Alexandrium"
2015,"Gulf_of_Maine_All",5.34,"GOM","Alexandrium"
2016,"West_Gulf_of_Maine",3.5459,"GOM","Alexandrium"
2016,"East_Gulf_of_Maine",2.1572,"GOM","Alexandrium"
2016,"Bay_of_Fundy",1.1,"GOM","Alexandrium"
2016,"Gulf_of_Maine_All",6.8004,"GOM","Alexandrium"
2017,"West_Gulf_of_Maine",4.0686,"GOM","Alexandrium"
2017,"East_Gulf_of_Maine",1.8937,"GOM","Alexandrium"
2017,"Bay_of_Fundy",0.96,"GOM","Alexandrium"
2017,"Gulf_of_Maine_All",6.9299,"GOM","Alexandrium"
2018,"West_Gulf_of_Maine",3.427,"GOM","Alexandrium"
2018,"East_Gulf_of_Maine",1.8757,"GOM","Alexandrium"
2018,"Bay_of_Fundy",1.05,"GOM","Alexandrium"
2018,"Gulf_of_Maine_All",6.3486,"GOM","Alexandrium"
2019,"West_Gulf_of_Maine",4.4185,"GOM","Alexandrium"
2019,"East_Gulf_of_Maine",2.2168,"GOM","Alexandrium"
2019,"Bay_of_Fundy",1.15,"GOM","Alexandrium"
2019,"Gulf_of_Maine_All",7.7877,"GOM","Alexandrium"
2020,"West_Gulf_of_Maine",2.821,"GOM","Alexandrium"
2020,"East_Gulf_of_Maine",1.7837,"GOM","Alexandrium"
2020,"Bay_of_Fundy",0.94,"GOM","Alexandrium"
2020,"Gulf_of_Maine_All",5.5447,"GOM","Alexandrium"
2021,"West_Gulf_of_Maine",3.534,"GOM","Alexandrium"
2021,"East_Gulf_of_Maine",1.4703,"GOM","Alexandrium"
2021,"Bay_of_Fundy",0.94,"GOM","Alexandrium"
2021,"Gulf_of_Maine_All",5.94,"GOM","Alexandrium"
2022,"West_Gulf_of_Maine",2.47,"GOM","Alexandrium"
2022,"East_Gulf_of_Maine",1.25,"GOM","Alexandrium"
2022,"Bay_of_Fundy",0.65,"GOM","Alexandrium"
2022,"Gulf_of_Maine_All",4.38,"GOM","Alexandrium"
2023,"West_Gulf_of_Maine",2.51,"GOM","Alexandrium"
2023,"East_Gulf_of_Maine",1.13,"GOM","Alexandrium"
2023,"Bay_of_Fundy",1.07,"GOM","Alexandrium"
2023,"Gulf_of_Maine_All",4.71,"GOM","Alexandrium"
2005,"ME",27.35,"NE","PSP"
2006,"ME",17.88,"NE","PSP"
2007,"ME",10.18,"NE","PSP"
2008,"ME",18.9,"NE","PSP"
2009,"ME",26.22,"NE","PSP"
2010,"ME",11.19,"NE","PSP"
2011,"ME",17.69,"NE","PSP"
2012,"ME",9.28,"NE","PSP"
2013,"ME",4.49,"NE","PSP"
2014,"ME",8.86,"NE","PSP"
2015,"ME",1.91,"NE","PSP"
2016,"ME",4.8,"NE","PSP"
2017,"ME",14.66,"NE","PSP"
2018,"ME",8.26,"NE","PSP"
2019,"ME",18.61,"NE","PSP"
2000,"NH",4.35,"NE","PSP"
2001,"NH",0,"NE","PSP"
2002,"NH",2.04,"NE","PSP"
2003,"NH",15.6,"NE","PSP"
2004,"NH",12.3,"NE","PSP"
2005,"NH",38,"NE","PSP"
2006,"NH",24.6,"NE","PSP"
2007,"NH",14.3,"NE","PSP"
2008,"NH",38.2,"NE","PSP"
2009,"NH",38.6,"NE","PSP"
2010,"NH",5.17,"NE","PSP"
2011,"NH",18.3,"NE","PSP"
2012,"NH",6.9,"NE","PSP"
2013,"NH",0,"NE","PSP"
2014,"NH",12.7,"NE","PSP"
2015,"NH",5.45,"NE","PSP"
2016,"NH",17.6,"NE","PSP"
2017,"NH",31,"NE","PSP"
2018,"NH",8.51,"NE","PSP"
2019,"NH",51.3,"NE","PSP"
1972,"MA",5.88,"NE","PSP"
1973,"MA",0,"NE","PSP"
1974,"MA",4.55,"NE","PSP"
1975,"MA",9.43,"NE","PSP"
1976,"MA",15,"NE","PSP"
1977,"MA",10.91,"NE","PSP"
1978,"MA",30.28,"NE","PSP"
1979,"MA",24.71,"NE","PSP"
1980,"MA",14.65,"NE","PSP"
1981,"MA",14.58,"NE","PSP"
1982,"MA",11.61,"NE","PSP"
1983,"MA",13.11,"NE","PSP"
1984,"MA",22.35,"NE","PSP"
1985,"MA",12.73,"NE","PSP"
1986,"MA",16.86,"NE","PSP"
1987,"MA",1.26,"NE","PSP"
1988,"MA",12.2,"NE","PSP"
1989,"MA",15.79,"NE","PSP"
1990,"MA",8.59,"NE","PSP"
1991,"MA",0.94,"NE","PSP"
1992,"MA",1.11,"NE","PSP"
1993,"MA",11.83,"NE","PSP"
1994,"MA",2.66,"NE","PSP"
1995,"MA",2.15,"NE","PSP"
1996,"MA",0.55,"NE","PSP"
1997,"MA",0,"NE","PSP"
1998,"MA",4.13,"NE","PSP"
1999,"MA",2.37,"NE","PSP"
2000,"MA",8.46,"NE","PSP"
2001,"MA",3.76,"NE","PSP"
2002,"MA",10,"NE","PSP"
2003,"MA",8.71,"NE","PSP"
2004,"MA",0,"NE","PSP"
2005,"MA",21.57,"NE","PSP"
2006,"MA",12.84,"NE","PSP"
2007,"MA",4.02,"NE","PSP"
2008,"MA",16.16,"NE","PSP"
2009,"MA",9.11,"NE","PSP"
2010,"MA",6.58,"NE","PSP"
2011,"MA",13.24,"NE","PSP"
2012,"MA",10.55,"NE","PSP"
2013,"MA",4.51,"NE","PSP"
2014,"MA",2.96,"NE","PSP"
2015,"MA",2.95,"NE","PSP"
2016,"MA",5.16,"NE","PSP"
2017,"MA",10.86,"NE","PSP"
2018,"MA",4.44,"NE","PSP"
2019,"MA",20.11,"NE","PSP"
