"SVSPP","COMNAME","ITISSPP","NESPP3","SCINAME","Fed.Managed","SOE.17","EMAX","RPATH","SOE.18","SizeCat","Min.size","Garrison.Link","NEIEA","SOE.20","SOE.24","FMP"
NA,"AMBERJACK",168688,3,"SERIOLA",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"BARRACUDA",170424,18,"SPHYRAENIDAE",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"BIG ROUGHY",615855,25,"GEPHYROBERYX DARWINI",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"BLADDER WRACK",11335,819,"FUCUS VESICLOSUS",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"BLOODWORMS",66107,823,"GLYCERA DIBRANCHIATA",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"BULLHEADS",163996,45,"ICTALURUS",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"BUTTERFISH,GULF",172568,52,"PEPRILUS BURTI",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"CARP",163344,63,"CYPRINUS CARPIO",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"CATFISH,BLUE",163997,67,"ICTALURUS FURCATUS",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"CATFISH,CHANNEL",163998,68,"ICTALURUS PUNCTATUS ",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"CATFISH,FLATHEAD",164029,64,"PYLODICTIS OLIVARIS",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"CATFISH,WHITE",164037,65,"ICTALURIDAE ",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"CATFISHES (FRESHWATER)",163995,66,"ICTALURIDAE ",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"CATFISHES (SEA)",163992,69,"ARIIDAE  ",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"CLAM,BLOOD ARC",79342,743,"ANADARA OVALIS",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"CLAM,RAZOR,ATLANTIC",81022,760,"ENSIS DIRECTUS",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"CLAM,SOFT",81692,763,"MYA ARENARIA",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"CLAM,STOUT TAGELUS (BAMBOO)",81272,761,"TAGELUS PLEBEIUS",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"CLAMS,HARD",81495,748,"MERCENARIA ",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"CORALS,SOFT,NK",52016,688,"ALCYONACEA",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"CRAB,HERMIT",97775,702,"PAGURUS",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"CRAB,JAPANESE SHORE",99034,716,"HEMIGRAPSUS",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"CRAB,UNC",98276,713,"BRACHYURA",NA,"Other",NA,"Megabenthos","Other",NA,NA,NA,"BenthicInvert","Other","Benthivore",NA
NA,"CRAPPIE",168165,84,"POMOXIS",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"CRUSTACEANS,UNC",83677,834,"CRUSTACEA",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"DOLPHINFISH",168790,105,"CORYPHAENA",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"DORY,NK",166271,189,"ZEIFORMES",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
