"Time","Value","Var","EPU","Units"
1854,11.8381572179496,"long-term sst","All","degreesC"
1855,12.0901915580034,"long-term sst","All","degreesC"
1856,10.8945695447425,"long-term sst","All","degreesC"
1857,11.1747555794815,"long-term sst","All","degreesC"
1858,11.4188318674763,"long-term sst","All","degreesC"
1859,11.3384800280134,"long-term sst","All","degreesC"
1860,11.4493440355246,"long-term sst","All","degreesC"
1861,12.3385309490065,"long-term sst","All","degreesC"
1862,11.6976616134246,"long-term sst","All","degreesC"
1863,11.2136368875702,"long-term sst","All","degreesC"
1864,11.9253953968485,"long-term sst","All","degreesC"
1865,12.3921631941429,"long-term sst","All","degreesC"
1866,12.7800949712594,"long-term sst","All","degreesC"
1867,12.6582373778025,"long-term sst","All","degreesC"
1868,12.6443710724513,"long-term sst","All","degreesC"
1869,11.4734928756952,"long-term sst","All","degreesC"
1870,11.5815712626164,"long-term sst","All","degreesC"
1871,12.2561280205846,"long-term sst","All","degreesC"
1872,12.5029769589504,"long-term sst","All","degreesC"
1873,10.0805547237396,"long-term sst","All","degreesC"
1874,11.41945019116,"long-term sst","All","degreesC"
1875,10.6165453241422,"long-term sst","All","degreesC"
1876,11.2419894635677,"long-term sst","All","degreesC"
1877,10.9991627832254,"long-term sst","All","degreesC"
1878,11.2256211129328,"long-term sst","All","degreesC"
1879,11.033947981894,"long-term sst","All","degreesC"
1880,11.4055078763228,"long-term sst","All","degreesC"
1881,11.2539846015473,"long-term sst","All","degreesC"
1882,11.2323889061809,"long-term sst","All","degreesC"
1883,10.8826616108418,"long-term sst","All","degreesC"
1884,11.559862203896,"long-term sst","All","degreesC"
1885,11.0388646653065,"long-term sst","All","degreesC"
1886,11.9847370261947,"long-term sst","All","degreesC"
1887,11.7255570019285,"long-term sst","All","degreesC"
1888,11.0259650051594,"long-term sst","All","degreesC"
1889,11.5556491414706,"long-term sst","All","degreesC"
1890,11.4327364632717,"long-term sst","All","degreesC"
1891,10.9333871329824,"long-term sst","All","degreesC"
1892,11.2135874554515,"long-term sst","All","degreesC"
1893,10.5000578810771,"long-term sst","All","degreesC"
