"Latitude","Longitude","Value","EPU"
44.125,-64.125,2.41501056629678,"MAB"
44.125,-63.875,2.43273151439169,"MAB"
44.125,-63.625,2.34915376746136,"MAB"
44.125,-63.375,2.25911174649778,"MAB"
44.125,-63.125,2.16030797751054,"MAB"
44.125,-62.875,2.02685900356459,"MAB"
44.125,-62.625,1.91642864890721,"MAB"
44.125,-62.375,1.83430202110954,"MAB"
44.125,-62.125,1.77910399436951,"MAB"
44.125,-61.875,1.75518680655438,"MAB"
44.125,-61.625,1.7981932370559,"MAB"
44.125,-61.375,1.80684032647506,"MAB"
44.125,-61.125,1.71168722277102,"MAB"
44.125,-60.875,1.54774724918863,"MAB"
44.125,-60.625,1.3135756617007,"MAB"
44.125,-60.375,1.14515293162802,"MAB"
44.125,-60.125,1.06025170243305,"MAB"
43.875,-76.875,3.81418605472731,"MAB"
43.875,-76.625,3.80488366666047,"MAB"
43.875,-76.375,3.75903695562611,"MAB"
43.875,-69.625,4.05044170047926,"MAB"
43.875,-69.375,3.7928264659384,"MAB"
43.875,-69.125,3.16159646407418,"MAB"
43.875,-68.875,1.69815990199213,"MAB"
43.875,-68.625,1.73504127626834,"MAB"
43.875,-68.375,2.33107191583385,"MAB"
43.875,-68.125,2.92126615151115,"MAB"
43.875,-67.875,3.36539009343023,"MAB"
43.875,-67.625,3.45886332055797,"MAB"
43.875,-67.375,3.31836581230164,"MAB"
43.875,-67.125,3.21990287822226,"MAB"
43.875,-66.875,3.27765320694965,"MAB"
43.875,-66.625,3.38261174119037,"MAB"
43.875,-66.375,3.44288993918377,"MAB"
43.875,-66.125,3.60622211124586,"MAB"
43.875,-64.625,2.09710924521736,"MAB"
43.875,-64.375,2.15093382545139,"MAB"
43.875,-64.125,2.20285966085351,"MAB"
43.875,-63.875,2.16462424527044,"MAB"
43.875,-63.625,2.07673956000287,"MAB"
43.875,-63.375,2.03683664487756,"MAB"
43.875,-63.125,1.96937443899072,"MAB"
43.875,-62.875,1.87582082333772,"MAB"
43.875,-62.625,1.76952839934308,"MAB"
43.875,-62.375,1.6621294643568,"MAB"
43.875,-62.125,1.63005958432737,"MAB"
43.875,-61.875,1.64623984046604,"MAB"
43.875,-61.625,1.69225686529408,"MAB"
43.875,-61.375,1.69589136994403,"MAB"
43.875,-61.125,1.59101510047913,"MAB"
43.875,-60.875,1.34542795886164,"MAB"
43.875,-60.625,1.0839206861413,"MAB"
43.875,-60.375,0.874891944553541,"MAB"
43.875,-60.125,0.766405592794004,"MAB"
43.625,-76.875,3.61763440007749,"MAB"
