"CRUISE","STATION","YEAR","SEASON","COMMON_NAME","DECDEG_BEGLAT_SET","DECDEG_BEGLON_SET","categ"
201447,13,2014,"FALL","BLACKBELLY ROSEFISH",42.71976,-68.10689,"A"
201447,14,2014,"FALL","BLACKBELLY ROSEFISH",42.65096,-67.92106,"A"
201447,15,2014,"FALL","BLACKBELLY ROSEFISH",42.7188,-67.63375,"A"
201447,16,2014,"FALL","BLACKBELLY ROSEFISH",42.57766,-67.6449,"A"
201446,27,2014,"FALL","BLACKBELLY ROSEFISH",42.1083,-68.10268,"A"
201446,28,2014,"FALL","BLACKBELLY ROSEFISH",42.2656,-67.94508,"A"
201445,31,2014,"SPRING","BLACKBELLY ROSEFISH",42.24786,-67.65869,"A"
201445,32,2014,"SPRING","BLACKBELLY ROSEFISH",42.32052,-67.60325,"A"
201547,16,2015,"FALL","BLACKBELLY ROSEFISH",42.63943,-67.8396,"A"
201547,17,2015,"FALL","BLACKBELLY ROSEFISH",42.54925,-67.5201,"A"
201547,18,2015,"FALL","BLACKBELLY ROSEFISH",42.20985,-67.6383,"A"
201547,19,2015,"FALL","BLACKBELLY ROSEFISH",42.57696,-67.7825,"A"
201547,23,2015,"FALL","BLACKBELLY ROSEFISH",42.45511,-68.8048,"A"
201546,10,2015,"FALL","BLACKBELLY ROSEFISH",42.82019,-67.7245,"A"
201545,17,2015,"SPRING","BLACKBELLY ROSEFISH",42.34388,-67.8486,"A"
201545,17,2015,"SPRING","TILEFISH",42.34388,-67.8486,"A"
201545,19,2015,"SPRING","TILEFISH",42.35319,-67.7991,"A"
201545,19,2015,"SPRING","BLACKBELLY ROSEFISH",42.35319,-67.7991,"A"
201545,20,2015,"SPRING","BLACKBELLY ROSEFISH",42.26385,-67.9818,"A"
201647,1,2016,"FALL","BLACKBELLY ROSEFISH",42.53879,-67.9871,"A"
201647,2,2016,"FALL","BLACKBELLY ROSEFISH",42.60046,-67.96037,"A"
201647,4,2016,"FALL","BLACKBELLY ROSEFISH",42.25905,-67.62766,"A"
201647,5,2016,"FALL","BLACKBELLY ROSEFISH",42.42128,-67.75139,"A"
201646,6,2016,"FALL","BLACKBELLY ROSEFISH",42.9384,-67.89118,"A"
201645,12,2016,"SPRING","BLACKBELLY ROSEFISH",42.33334,-67.78351,"A"
201645,13,2016,"SPRING","BLACKBELLY ROSEFISH",42.4623,-67.60078,"A"
201645,14,2016,"SPRING","BLACKBELLY ROSEFISH",42.66591,-67.6057,"A"
201747,16,2017,"FALL","TILEFISH",42.34034,-67.78023,"A"
201747,16,2017,"FALL","BLACKBELLY ROSEFISH",42.34034,-67.78023,"A"
201747,17,2017,"FALL","BLACKBELLY ROSEFISH",42.32444,-67.99914,"A"
201747,18,2017,"FALL","BLACKBELLY ROSEFISH",42.22718,-68.07077,"A"
201747,20,2017,"FALL","TILEFISH",42.60723,-67.69129,"A"
201747,20,2017,"FALL","BLACKBELLY ROSEFISH",42.60723,-67.69129,"A"
201747,22,2017,"FALL","BLACKBELLY ROSEFISH",42.62166,-68.0883,"A"
201746,13,2017,"FALL","BLACKBELLY ROSEFISH",42.87188,-68.01106,"A"
201746,20,2017,"FALL","BLACKBELLY ROSEFISH",42.93523,-68.31021,"A"
201745,16,2017,"SPRING","TILEFISH",42.46695,-67.70471,"A"
201745,16,2017,"SPRING","BLACKBELLY ROSEFISH",42.46695,-67.70471,"A"
201745,17,2017,"SPRING","BLACKBELLY ROSEFISH",42.5015,-67.62628,"A"
201745,18,2017,"SPRING","BLACKBELLY ROSEFISH",42.52693,-67.57132,"A"
201745,22,2017,"SPRING","BLACKBELLY ROSEFISH",42.11261,-68.16019,"A"
201744,13,2017,"SPRING","BLACKBELLY ROSEFISH",42.85046,-67.93298,"A"
201744,14,2017,"SPRING","BLACKBELLY ROSEFISH",42.76352,-67.70469,"A"
201744,20,2017,"SPRING","BLACKBELLY ROSEFISH",42.87029,-68.41222,"A"
201847,16,2018,"FALL","BLACKBELLY ROSEFISH",42.62913,-68.98685,"B"
201847,19,2018,"FALL","BLACKBELLY ROSEFISH",42.41815,-67.95474,"B"
201847,20,2018,"FALL","BLACKBELLY ROSEFISH",42.29138,-67.6275,"B"
201847,21,2018,"FALL","BLACKBELLY ROSEFISH",42.34012,-67.60128,"B"
201847,22,2018,"FALL","BLACKBELLY ROSEFISH",42.51255,-67.56069,"B"
201847,23,2018,"FALL","TILEFISH",42.58546,-67.66544,"B"
201847,23,2018,"FALL","BLACKBELLY ROSEFISH",42.58546,-67.66544,"B"
201845,10,2018,"SPRING","BLACKBELLY ROSEFISH",42.48328,-67.73283,"B"
201845,10,2018,"SPRING","TILEFISH",42.48328,-67.73283,"B"
201845,11,2018,"SPRING","BLACKBELLY ROSEFISH",42.64575,-67.85238,"B"
201845,15,2018,"SPRING","BLACKBELLY ROSEFISH",42.40744,-69.88137,"B"
201845,19,2018,"SPRING","BLACKBELLY ROSEFISH",42.86645,-68.41798,"B"
201947,3,2019,"FALL","BLACKBELLY ROSEFISH",42.27834,-67.62327,"B"
201947,4,2019,"FALL","BLACKBELLY ROSEFISH",42.46219,-67.72209,"B"
201947,19,2019,"FALL","BLACKBELLY ROSEFISH",42.65951,-67.81707,"B"
201947,20,2019,"FALL","BLACKBELLY ROSEFISH",42.66767,-67.63487,"B"
201947,21,2019,"FALL","BLACKBELLY ROSEFISH",42.58892,-67.64301,"B"
201947,22,2019,"FALL","BLACKBELLY ROSEFISH",42.42533,-67.72737,"B"
201945,16,2019,"SPRING","TILEFISH",42.22112,-68.10168,"B"
201945,18,2019,"SPRING","BLACKBELLY ROSEFISH",42.3396,-67.8244,"B"
201945,18,2019,"SPRING","TILEFISH",42.3396,-67.8244,"B"
201945,19,2019,"SPRING","TILEFISH",42.5176,-67.98799,"B"
201945,19,2019,"SPRING","BLACKBELLY ROSEFISH",42.5176,-67.98799,"B"
201945,21,2019,"SPRING","BLACKBELLY ROSEFISH",42.55065,-67.53013,"B"
201945,22,2019,"SPRING","BLACKBELLY ROSEFISH",42.24209,-67.92652,"B"
201944,5,2019,"SPRING","BLACKBELLY ROSEFISH",42.91481,-67.86225,"B"
201944,11,2019,"SPRING","BLACKBELLY ROSEFISH",42.88164,-68.83599,"B"
202046,4,2020,"FALL","BLACKBELLY ROSEFISH",42.902488,-67.826067,"B"
202046,6,2020,"FALL","BLACKBELLY ROSEFISH",43.077908,-67.780865,"B"
202046,10,2020,"FALL","BLACKBELLY ROSEFISH",42.839585,-68.371442,"B"
202047,5,2020,"FALL","BLACKBELLY ROSEFISH",42.737358,-67.704463,"B"
202047,6,2020,"FALL","BLACKBELLY ROSEFISH",42.599433,-67.939673,"B"
202047,8,2020,"FALL","BLACKBELLY ROSEFISH",42.426203,-67.83468,"B"
202047,9,2020,"FALL","BLACKBELLY ROSEFISH",42.413478,-67.773783,"B"
202144,14,2021,"SPRING","BLACKBELLY ROSEFISH",42.598122,-68.029982,"B"
202144,15,2021,"SPRING","BLACKBELLY ROSEFISH",42.83945,-68.085707,"B"
202145,12,2021,"SPRING","BLACKBELLY ROSEFISH",42.21096,-68.033818,"B"
202145,13,2021,"SPRING","BLACKBELLY ROSEFISH",42.276777,-67.98466,"B"
202145,21,2021,"SPRING","BLACKBELLY ROSEFISH",42.477938,-67.697833,"B"
202145,21,2021,"SPRING","BLACKBELLY ROSEFISH",42.477938,-67.697833,"B"
202146,1,2021,"FALL","BLACKBELLY ROSEFISH",42.797405,-67.740138,"B"
202146,2,2021,"FALL","BLACKBELLY ROSEFISH",42.939698,-67.823478,"B"
202146,2,2021,"FALL","BLACKBELLY ROSEFISH",42.939698,-67.823478,"B"
202146,5,2021,"FALL","BLACKBELLY ROSEFISH",42.907825,-68.04741,"B"
202146,5,2021,"FALL","BLACKBELLY ROSEFISH",42.907825,-68.04741,"B"
202147,2,2021,"FALL","TILEFISH",42.299645,-67.96736,"B"
202147,2,2021,"FALL","TILEFISH",42.299645,-67.96736,"B"
202147,2,2021,"FALL","BLACKBELLY ROSEFISH",42.299645,-67.96736,"B"
202147,3,2021,"FALL","BLACKBELLY ROSEFISH",42.226728,-67.735955,"B"
202147,4,2021,"FALL","BLACKBELLY ROSEFISH",42.536742,-67.57778,"B"
202147,5,2021,"FALL","BLACKBELLY ROSEFISH",42.480075,-67.734572,"B"
202147,6,2021,"FALL","BLACKBELLY ROSEFISH",42.428968,-67.942383,"B"
