"Value","ESP","Var","Time","Units"
0.391427720362141,"acadian_redfish_both","winter OI SST Anomaly",1982,"degreesC"
-0.0313619219931418,"acadian_redfish_both","spring OI SST Anomaly",1982,"degreesC"
-1.01021328484862,"acadian_redfish_both","summer OI SST Anomaly",1982,"degreesC"
0.564332276081137,"acadian_redfish_both","fall OI SST Anomaly",1982,"degreesC"
1.29558899176164,"acadian_redfish_both","winter OI SST Anomaly",1983,"degreesC"
0.638677054413327,"acadian_redfish_both","spring OI SST Anomaly",1983,"degreesC"
-0.528658237313488,"acadian_redfish_both","summer OI SST Anomaly",1983,"degreesC"
0.690661164478701,"acadian_redfish_both","fall OI SST Anomaly",1983,"degreesC"
0.713004557075062,"acadian_redfish_both","winter OI SST Anomaly",1984,"degreesC"
-0.0787777325484802,"acadian_redfish_both","spring OI SST Anomaly",1984,"degreesC"
0.172305979200367,"acadian_redfish_both","summer OI SST Anomaly",1984,"degreesC"
0.81411545099677,"acadian_redfish_both","fall OI SST Anomaly",1984,"degreesC"
0.780606922101376,"acadian_redfish_both","winter OI SST Anomaly",1985,"degreesC"
-0.243400205031053,"acadian_redfish_both","spring OI SST Anomaly",1985,"degreesC"
-0.738629313872874,"acadian_redfish_both","summer OI SST Anomaly",1985,"degreesC"
0.121736745346144,"acadian_redfish_both","fall OI SST Anomaly",1985,"degreesC"
0.160158907672837,"acadian_redfish_both","winter OI SST Anomaly",1986,"degreesC"
0.0906790192352886,"acadian_redfish_both","spring OI SST Anomaly",1986,"degreesC"
-0.693611786542734,"acadian_redfish_both","summer OI SST Anomaly",1986,"degreesC"
-0.317256938984819,"acadian_redfish_both","fall OI SST Anomaly",1986,"degreesC"
-0.275914558944523,"acadian_redfish_both","winter OI SST Anomaly",1987,"degreesC"
-0.584232348767801,"acadian_redfish_both","spring OI SST Anomaly",1987,"degreesC"
-0.825310583034371,"acadian_redfish_both","summer OI SST Anomaly",1987,"degreesC"
-0.835865796740894,"acadian_redfish_both","fall OI SST Anomaly",1987,"degreesC"
-0.819894205092059,"acadian_redfish_both","winter OI SST Anomaly",1988,"degreesC"
-0.112371813856305,"acadian_redfish_both","spring OI SST Anomaly",1988,"degreesC"
-0.461564094287985,"acadian_redfish_both","summer OI SST Anomaly",1988,"degreesC"
-0.624497071455297,"acadian_redfish_both","fall OI SST Anomaly",1988,"degreesC"
-0.316340187822192,"acadian_redfish_both","winter OI SST Anomaly",1989,"degreesC"
0.243620350529056,"acadian_redfish_both","spring OI SST Anomaly",1989,"degreesC"
-0.0464808345676975,"acadian_redfish_both","summer OI SST Anomaly",1989,"degreesC"
-0.574998868569251,"acadian_redfish_both","fall OI SST Anomaly",1989,"degreesC"
-0.0630426981756766,"acadian_redfish_both","winter OI SST Anomaly",1990,"degreesC"
-0.29920842325548,"acadian_redfish_both","spring OI SST Anomaly",1990,"degreesC"
0.577980051786334,"acadian_redfish_both","summer OI SST Anomaly",1990,"degreesC"
-0.153481518444808,"acadian_redfish_both","fall OI SST Anomaly",1990,"degreesC"
-0.0162783649232647,"acadian_redfish_both","winter OI SST Anomaly",1991,"degreesC"
0.573234835105431,"acadian_redfish_both","spring OI SST Anomaly",1991,"degreesC"
-0.219747830156189,"acadian_redfish_both","summer OI SST Anomaly",1991,"degreesC"
-0.143661221857659,"acadian_redfish_both","fall OI SST Anomaly",1991,"degreesC"
-0.580995767905781,"acadian_redfish_both","winter OI SST Anomaly",1992,"degreesC"
-0.863936313517365,"acadian_redfish_both","spring OI SST Anomaly",1992,"degreesC"
-0.886188036679886,"acadian_redfish_both","summer OI SST Anomaly",1992,"degreesC"
-0.909001917281575,"acadian_redfish_both","fall OI SST Anomaly",1992,"degreesC"
-0.190451299385785,"acadian_redfish_both","winter OI SST Anomaly",1993,"degreesC"
-0.876280371198752,"acadian_redfish_both","spring OI SST Anomaly",1993,"degreesC"
-0.348569710492084,"acadian_redfish_both","summer OI SST Anomaly",1993,"degreesC"
-0.5782185405033,"acadian_redfish_both","fall OI SST Anomaly",1993,"degreesC"
-0.196453987473228,"acadian_redfish_both","winter OI SST Anomaly",1994,"degreesC"
-0.00344628771751765,"acadian_redfish_both","spring OI SST Anomaly",1994,"degreesC"
0.337670628352384,"acadian_redfish_both","summer OI SST Anomaly",1994,"degreesC"
0.019069319771182,"acadian_redfish_both","fall OI SST Anomaly",1994,"degreesC"
-0.312083911869047,"acadian_redfish_both","winter OI SST Anomaly",1995,"degreesC"
-0.584484917565637,"acadian_redfish_both","spring OI SST Anomaly",1995,"degreesC"
0.119605244794368,"acadian_redfish_both","summer OI SST Anomaly",1995,"degreesC"
0.241638559780148,"acadian_redfish_both","fall OI SST Anomaly",1995,"degreesC"
-0.76291175397254,"acadian_redfish_both","winter OI SST Anomaly",1996,"degreesC"
-0.125477553504075,"acadian_redfish_both","spring OI SST Anomaly",1996,"degreesC"
-1.23125816428143,"acadian_redfish_both","summer OI SST Anomaly",1996,"degreesC"
-0.581934631784543,"acadian_redfish_both","fall OI SST Anomaly",1996,"degreesC"
0.0228210986942372,"acadian_redfish_both","winter OI SST Anomaly",1997,"degreesC"
-0.394257164601526,"acadian_redfish_both","spring OI SST Anomaly",1997,"degreesC"
