"Time","Var","Value","EPU"
1990,"pbr",NA,"All"
1990,"totalest1y",2901.7,"All"
1990,"totalest5y",NA,"All"
1990,"total5yLCI",NA,"All"
1990,"total5yUCI",NA,"All"
1991,"pbr",NA,"All"
1991,"totalest1y",2000.7,"All"
1991,"totalest5y",NA,"All"
1991,"total5yLCI",NA,"All"
1991,"total5yUCI",NA,"All"
1992,"pbr",NA,"All"
1992,"totalest1y",1200.4,"All"
1992,"totalest5y",NA,"All"
1992,"total5yLCI",NA,"All"
1992,"total5yUCI",NA,"All"
1993,"pbr",403,"All"
1993,"totalest1y",1401.5,"All"
1993,"totalest5y",NA,"All"
1993,"total5yLCI",NA,"All"
1993,"total5yUCI",NA,"All"
1994,"pbr",403,"All"
1994,"totalest1y",2100,"All"
1994,"totalest5y",1920.86,"All"
1994,"total5yLCI",1483.012168,"All"
1994,"total5yUCI",2487.979007,"All"
1995,"pbr",483,"All"
1995,"totalest1y",1503,"All"
1995,"totalest5y",1641.12,"All"
1995,"total5yLCI",1308.336931,"All"
1995,"total5yUCI",2058.548369,"All"
1996,"pbr",483,"All"
1996,"totalest1y",1496,"All"
1996,"totalest5y",1540.18,"All"
1996,"total5yLCI",1283.96229,"All"
1996,"total5yUCI",1847.52656,"All"
1997,"pbr",483,"All"
1997,"totalest1y",1354,"All"
1997,"totalest5y",1570.9,"All"
1997,"total5yLCI",1312.821034,"All"
1997,"total5yUCI",1879.713035,"All"
1998,"pbr",483,"All"
1998,"totalest1y",778,"All"
1998,"totalest5y",1446.2,"All"
1998,"total5yLCI",1193.361854,"All"
1998,"total5yUCI",1752.607085,"All"
1999,"pbr",747,"All"
1999,"totalest1y",207,"All"
1999,"totalest5y",1067.6,"All"
1999,"total5yLCI",855.2493157,"All"
1999,"total5yUCI",1332.675442,"All"
2000,"pbr",747,"All"
2000,"totalest1y",528,"All"
2000,"totalest5y",872.6,"All"
2000,"total5yLCI",695.6304043,"All"
2000,"total5yUCI",1094.590971,"All"
2001,"pbr",747,"All"
2001,"totalest1y",79,"All"
2001,"totalest5y",589.2,"All"
2001,"total5yLCI",451.1654724,"All"
2001,"total5yUCI",769.4663295,"All"
2002,"pbr",747,"All"
2002,"totalest1y",444,"All"
2002,"totalest5y",407.2,"All"
2002,"total5yLCI",292.5078715,"All"
2002,"total5yUCI",566.8628306,"All"
2003,"pbr",747,"All"
2003,"totalest1y",668,"All"
2003,"totalest5y",385.2,"All"
2003,"total5yLCI",273.0074383,"All"
2003,"total5yUCI",543.4981586,"All"
2004,"pbr",747,"All"
2004,"totalest1y",790,"All"
