"Time","Value","Var","Units","EPU"
1993.01,-0.530104732,"gulf stream index","latitude anomaly","All"
1993.02,-1.175424564,"gulf stream index","latitude anomaly","All"
1993.03,-0.957981681,"gulf stream index","latitude anomaly","All"
1993.04,-0.006208972,"gulf stream index","latitude anomaly","All"
1993.05,-0.168015219,"gulf stream index","latitude anomaly","All"
1993.06,0.536155739,"gulf stream index","latitude anomaly","All"
1993.07,1.413306192,"gulf stream index","latitude anomaly","All"
1993.08,0.923473963,"gulf stream index","latitude anomaly","All"
1993.09,1.331589265,"gulf stream index","latitude anomaly","All"
1993.1,1.607695793,"gulf stream index","latitude anomaly","All"
1993.11,1.057359437,"gulf stream index","latitude anomaly","All"
1993.12,0.949695033,"gulf stream index","latitude anomaly","All"
1994.01,0.963585874,"gulf stream index","latitude anomaly","All"
1994.02,0.791653307,"gulf stream index","latitude anomaly","All"
1994.03,0.379810068,"gulf stream index","latitude anomaly","All"
1994.04,0.800783608,"gulf stream index","latitude anomaly","All"
1994.05,-0.083821487,"gulf stream index","latitude anomaly","All"
1994.06,0.56936995,"gulf stream index","latitude anomaly","All"
1994.07,0.961015486,"gulf stream index","latitude anomaly","All"
1994.08,0.763931175,"gulf stream index","latitude anomaly","All"
1994.09,0.782627706,"gulf stream index","latitude anomaly","All"
1994.1,0.56516003,"gulf stream index","latitude anomaly","All"
1994.11,1.069022563,"gulf stream index","latitude anomaly","All"
1994.12,0.912210403,"gulf stream index","latitude anomaly","All"
1995.01,0.479733248,"gulf stream index","latitude anomaly","All"
1995.02,0.326251304,"gulf stream index","latitude anomaly","All"
1995.03,2.192394589,"gulf stream index","latitude anomaly","All"
1995.04,2.015632026,"gulf stream index","latitude anomaly","All"
1995.05,1.533391199,"gulf stream index","latitude anomaly","All"
1995.06,1.743964241,"gulf stream index","latitude anomaly","All"
1995.07,2.033084843,"gulf stream index","latitude anomaly","All"
1995.08,1.96370155,"gulf stream index","latitude anomaly","All"
1995.09,1.997467619,"gulf stream index","latitude anomaly","All"
1995.1,2.484419184,"gulf stream index","latitude anomaly","All"
1995.11,1.774577902,"gulf stream index","latitude anomaly","All"
1995.12,0.719017402,"gulf stream index","latitude anomaly","All"
1996.01,0.784832198,"gulf stream index","latitude anomaly","All"
1996.02,1.726036745,"gulf stream index","latitude anomaly","All"
1996.03,1.232869662,"gulf stream index","latitude anomaly","All"
1996.04,0.044397258,"gulf stream index","latitude anomaly","All"
1996.05,0.021230485,"gulf stream index","latitude anomaly","All"
1996.06,-0.057663717,"gulf stream index","latitude anomaly","All"
1996.07,0.142981839,"gulf stream index","latitude anomaly","All"
1996.08,-1.073258991,"gulf stream index","latitude anomaly","All"
1996.09,-0.817181634,"gulf stream index","latitude anomaly","All"
1996.1,-0.935543291,"gulf stream index","latitude anomaly","All"
1996.11,-2.219426151,"gulf stream index","latitude anomaly","All"
1996.12,-1.648801515,"gulf stream index","latitude anomaly","All"
1997.01,-0.578597584,"gulf stream index","latitude anomaly","All"
1997.02,-1.007586932,"gulf stream index","latitude anomaly","All"
1997.03,-0.638003641,"gulf stream index","latitude anomaly","All"
1997.04,-0.646019953,"gulf stream index","latitude anomaly","All"
1997.05,-1.190718074,"gulf stream index","latitude anomaly","All"
1997.06,-1.141479058,"gulf stream index","latitude anomaly","All"
1997.07,-0.86506416,"gulf stream index","latitude anomaly","All"
1997.08,0.433066025,"gulf stream index","latitude anomaly","All"
1997.09,-0.681254394,"gulf stream index","latitude anomaly","All"
1997.1,-0.851505947,"gulf stream index","latitude anomaly","All"
1997.11,-0.575272873,"gulf stream index","latitude anomaly","All"
1997.12,-0.676951424,"gulf stream index","latitude anomaly","All"
1998.01,-0.614212627,"gulf stream index","latitude anomaly","All"
1998.02,-0.829212339,"gulf stream index","latitude anomaly","All"
1998.03,-1.505809455,"gulf stream index","latitude anomaly","All"
1998.04,-1.714086003,"gulf stream index","latitude anomaly","All"
1998.05,-0.818582086,"gulf stream index","latitude anomaly","All"
1998.06,-0.41271168,"gulf stream index","latitude anomaly","All"
1998.07,-0.403170362,"gulf stream index","latitude anomaly","All"
1998.08,-0.725458206,"gulf stream index","latitude anomaly","All"
1998.09,-0.611381346,"gulf stream index","latitude anomaly","All"
1998.1,-1.410205545,"gulf stream index","latitude anomaly","All"
1998.11,-1.558367843,"gulf stream index","latitude anomaly","All"
1998.12,-0.626119825,"gulf stream index","latitude anomaly","All"
1999.01,-0.607524445,"gulf stream index","latitude anomaly","All"
1999.02,-0.497020756,"gulf stream index","latitude anomaly","All"
1999.03,-0.416712747,"gulf stream index","latitude anomaly","All"
1999.04,-0.888305328,"gulf stream index","latitude anomaly","All"
1999.05,-0.965355243,"gulf stream index","latitude anomaly","All"
1999.06,-0.915459363,"gulf stream index","latitude anomaly","All"
1999.07,-0.129442846,"gulf stream index","latitude anomaly","All"
1999.08,-0.311909103,"gulf stream index","latitude anomaly","All"
1999.09,1.234896738,"gulf stream index","latitude anomaly","All"
1999.1,0.23333069,"gulf stream index","latitude anomaly","All"
1999.11,0.003406025,"gulf stream index","latitude anomaly","All"
1999.12,-0.730059452,"gulf stream index","latitude anomaly","All"
2000.01,0.941522397,"gulf stream index","latitude anomaly","All"
2000.02,0.753297314,"gulf stream index","latitude anomaly","All"
2000.03,0.378557797,"gulf stream index","latitude anomaly","All"
2000.04,1.779102274,"gulf stream index","latitude anomaly","All"
2000.05,1.105786096,"gulf stream index","latitude anomaly","All"
2000.06,0.843015393,"gulf stream index","latitude anomaly","All"
2000.07,1.011590752,"gulf stream index","latitude anomaly","All"
2000.08,1.636580278,"gulf stream index","latitude anomaly","All"
2000.09,2.077550611,"gulf stream index","latitude anomaly","All"
2000.1,2.524489488,"gulf stream index","latitude anomaly","All"
