"Time","Units","Var","Value","EPU"
"A_1998","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6936169,"GB"
"A_1998","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6045896,"GOM"
"A_1998","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7626393,"MAB"
"A_1999","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7646363,"GB"
"A_1999","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6958852,"GOM"
"A_1999","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7823846,"MAB"
"A_2000","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7799236,"GB"
"A_2000","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6449656,"GOM"
"A_2000","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8351305,"MAB"
"A_2001","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7452348,"GB"
"A_2001","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.61486,"GOM"
"A_2001","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8517876,"MAB"
"A_2002","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7863283,"GB"
"A_2002","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6877658,"GOM"
"A_2002","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8938866,"MAB"
"A_2003","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7118167,"GB"
"A_2003","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6013515,"GOM"
"A_2003","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8487734,"MAB"
"A_2004","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6887627,"GB"
"A_2004","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.5557508,"GOM"
"A_2004","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7670136,"MAB"
"A_2005","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7217109,"GB"
