"X","Time","Var","Value","EPU"
0,1954.01,"gulf stream index",1.704328208,"All"
0,1954.01,"western gulf stream index",0.558457308,"All"
1,1954.02,"gulf stream index",1.891515153,"All"
1,1954.02,"western gulf stream index",0.571559342,"All"
2,1954.03,"gulf stream index",1.550393078,"All"
2,1954.03,"western gulf stream index",0.768621498,"All"
3,1954.04,"gulf stream index",1.502223229,"All"
3,1954.04,"western gulf stream index",0.916857883,"All"
4,1954.05,"gulf stream index",1.365334296,"All"
4,1954.05,"western gulf stream index",1.06296487,"All"
5,1954.06,"gulf stream index",1.733429543,"All"
5,1954.06,"western gulf stream index",0.367971957,"All"
6,1954.07,"gulf stream index",1.433852966,"All"
6,1954.07,"western gulf stream index",0.163166146,"All"
7,1954.08,"gulf stream index",-0.322269791,"All"
7,1954.08,"western gulf stream index",-1.441404239,"All"
8,1954.09,"gulf stream index",0.694331316,"All"
8,1954.09,"western gulf stream index",-0.094974271,"All"
9,1954.1,"gulf stream index",0.983156873,"All"
9,1954.1,"western gulf stream index",0.185547373,"All"
10,1954.11,"gulf stream index",0.321112426,"All"
10,1954.11,"western gulf stream index",0.325048529,"All"
11,1954.12,"gulf stream index",-0.723810834,"All"
11,1954.12,"western gulf stream index",-0.610107306,"All"
12,1955.01,"gulf stream index",-0.849597304,"All"
12,1955.01,"western gulf stream index",-0.996353162,"All"
13,1955.02,"gulf stream index",-0.644983936,"All"
13,1955.02,"western gulf stream index",-0.838477953,"All"
14,1955.03,"gulf stream index",-0.260258211,"All"
14,1955.03,"western gulf stream index",-1.065543394,"All"
15,1955.04,"gulf stream index",-0.077651753,"All"
15,1955.04,"western gulf stream index",0.51427351,"All"
16,1955.05,"gulf stream index",0.090154227,"All"
16,1955.05,"western gulf stream index",0.478488539,"All"
17,1955.06,"gulf stream index",-0.219596213,"All"
17,1955.06,"western gulf stream index",-1.143015639,"All"
18,1955.07,"gulf stream index",0.337232739,"All"
18,1955.07,"western gulf stream index",-0.397188358,"All"
19,1955.08,"gulf stream index",0.483355234,"All"
19,1955.08,"western gulf stream index",0.86077236,"All"
20,1955.09,"gulf stream index",0.547992395,"All"
20,1955.09,"western gulf stream index",0.609957148,"All"
21,1955.1,"gulf stream index",-0.129344068,"All"
21,1955.1,"western gulf stream index",0.66419955,"All"
22,1955.11,"gulf stream index",-0.372636131,"All"
22,1955.11,"western gulf stream index",0.284293109,"All"
23,1955.12,"gulf stream index",-1.016404661,"All"
23,1955.12,"western gulf stream index",-0.580247165,"All"
24,1956.01,"gulf stream index",-1.240703452,"All"
24,1956.01,"western gulf stream index",-0.179954804,"All"
25,1956.02,"gulf stream index",-0.704861102,"All"
25,1956.02,"western gulf stream index",-0.654239804,"All"
26,1956.03,"gulf stream index",-0.929952232,"All"
26,1956.03,"western gulf stream index",-0.859679911,"All"
27,1956.04,"gulf stream index",-0.473376461,"All"
27,1956.04,"western gulf stream index",-0.157575221,"All"
28,1956.05,"gulf stream index",-0.92832644,"All"
