"Time","EPU","Var","Value"
2001,"GB","sumlen",187
2001,"GOM","falltrans",313
2001,"GOM","maxday",223
2001,"GOM","sprtrans",157
2001,"GOM","sumlen",156
2001,"MAB","falltrans",320
2001,"MAB","maxday",234
2001,"MAB","sprtrans",150
2001,"MAB","sumlen",170
2002,"GB","falltrans",332
2002,"GB","maxday",232
2002,"GB","sprtrans",151
2002,"GB","sumlen",181
2002,"GOM","falltrans",312
2002,"GOM","maxday",227
2002,"GOM","sprtrans",159
2002,"GOM","sumlen",153
2002,"MAB","falltrans",320
2002,"MAB","maxday",231
2002,"MAB","sprtrans",147
2002,"MAB","sumlen",173
2003,"GB","falltrans",329
2003,"GB","maxday",224
2003,"GB","sprtrans",166
2003,"GB","sumlen",163
2003,"GOM","falltrans",314
2003,"GOM","maxday",227
2003,"GOM","sprtrans",162
2003,"GOM","sumlen",152
2003,"MAB","falltrans",318
2003,"MAB","maxday",229
2003,"MAB","sprtrans",159
2003,"MAB","sumlen",159
2004,"GB","falltrans",313
2004,"GB","maxday",215
2004,"GB","sprtrans",167
2004,"GB","sumlen",146
2004,"GOM","falltrans",307
2004,"GOM","maxday",243
2004,"GOM","sprtrans",164
2004,"GOM","sumlen",143
2004,"MAB","falltrans",314
2004,"MAB","maxday",215
2004,"MAB","sprtrans",137
2004,"MAB","sumlen",177
2005,"GB","falltrans",325
2005,"GB","maxday",223
2005,"GB","sprtrans",157
2005,"GB","sumlen",168
2005,"GOM","falltrans",319
2005,"GOM","maxday",224
2005,"GOM","sprtrans",159
2005,"GOM","sumlen",160
2005,"MAB","falltrans",321
2005,"MAB","maxday",225
2005,"MAB","sprtrans",155
2005,"MAB","sumlen",166
2006,"GB","falltrans",335
2006,"GB","maxday",221
2006,"GB","sprtrans",150
2006,"GB","sumlen",185
2006,"GOM","falltrans",305
2006,"GOM","maxday",220
2006,"GOM","sprtrans",149
2006,"GOM","sumlen",156
2006,"MAB","falltrans",316
2006,"MAB","maxday",217
2006,"MAB","sprtrans",146
2006,"MAB","sumlen",170
2007,"GB","falltrans",314
2007,"GB","maxday",214
2007,"GB","sprtrans",174
2007,"GB","sumlen",140
2007,"GOM","falltrans",309
2007,"GOM","maxday",213
2007,"GOM","sprtrans",151
2007,"GOM","sumlen",158
2007,"MAB","falltrans",311
2007,"MAB","maxday",215
2007,"MAB","sprtrans",147
2007,"MAB","sumlen",164
2008,"GB","falltrans",328
2008,"GB","maxday",214
2008,"GB","sprtrans",160
2008,"GB","sumlen",168
2008,"GOM","falltrans",324
2008,"GOM","maxday",214
2008,"GOM","sprtrans",156
2008,"GOM","sumlen",168
2008,"MAB","falltrans",306
2008,"MAB","maxday",215
2008,"MAB","sprtrans",156
2008,"MAB","sumlen",150
2009,"GB","falltrans",349
2009,"GB","maxday",233
2009,"GB","sprtrans",162
2009,"GB","sumlen",187
2009,"GOM","falltrans",316
2009,"GOM","maxday",231
2009,"GOM","sprtrans",156
2009,"GOM","sumlen",160
2009,"MAB","falltrans",324
2009,"MAB","maxday",236
2009,"MAB","sprtrans",144
2009,"MAB","sumlen",180
2010,"GB","falltrans",330
2010,"GB","maxday",244
2010,"GB","sprtrans",153
2010,"GB","sumlen",177
2010,"GOM","falltrans",320
2010,"GOM","maxday",244
2010,"GOM","sprtrans",143
2010,"GOM","sumlen",177
2010,"MAB","falltrans",312
2010,"MAB","maxday",222
2010,"MAB","sprtrans",144
2010,"MAB","sumlen",168
2011,"GB","falltrans",343
2011,"GB","maxday",272
2011,"GB","sprtrans",149
2011,"GB","sumlen",194
2011,"GOM","falltrans",325
2011,"GOM","maxday",214
2011,"GOM","sprtrans",149
2011,"GOM","sumlen",176
2011,"MAB","falltrans",318
2011,"MAB","maxday",213
2011,"MAB","sprtrans",138
2011,"MAB","sumlen",180
2012,"GB","falltrans",336
2012,"GB","maxday",238
2012,"GB","sprtrans",140
2012,"GB","sumlen",196
2012,"GOM","falltrans",336
2012,"GOM","maxday",238
2012,"GOM","sprtrans",138
2012,"GOM","sumlen",198
2012,"MAB","falltrans",314
2012,"MAB","maxday",220
2012,"MAB","sprtrans",133
2012,"MAB","sumlen",181
