Month,GSI
2015.12,-0.051551078
2016.01,1.21141432
2016.02,2.143191543
2016.03,1.095084632
2016.04,1.120188504
2016.05,1.439000576
2016.06,0.837026483
2016.07,1.176655289
2016.08,-0.20556841
2016.09,-0.146842886
2016.10,-0.679251143
2016.11,-0.258490024
2016.12,1.225688395
2017.01,1.16407732
2017.02,1.238061701
2017.03,1.278340603
2017.04,0.736076891
2017.05,-0.053350748
2017.06,-0.910521459
2017.07,-0.636151466
2017.08,0.08410586
2017.09,-0.004546429
2017.10,0.887038229
2017.11,0.515106089
2017.12,0.908553538
2018.01,0.804636885
2018.02,1.500178713
2018.03,0.303741396
2018.04,0.897172377
2018.05,1.92150804
2018.06,2.733220656
2018.07,0.916473459
2018.08,0.513060829
2018.09,1.71831685
2018.10,2.70131596
2018.11,2.42336435
2018.12,1.665659816
