"","event_no","duration","date_start","date_peak","intensity_max","intensity_cumulative"
"1",1,8,1982-12-04,1982-12-09,1.9559,13.2265
"2",2,13,1983-01-05,1983-01-09,2.2788,24.8336
"3",3,5,1983-01-30,1983-02-02,1.7005,7.9441
"4",4,9,1983-03-03,1983-03-09,2.261,15.6248
"5",5,10,1983-09-05,1983-09-06,2.011,16.8376
"6",6,6,1984-08-14,1984-08-16,2.317,12.005
"7",7,18,1984-10-27,1984-10-29,2.4906,32.9297
"8",8,17,1984-12-19,1985-01-02,2.5263,35.1299
"9",9,12,1985-03-08,1985-03-14,1.9391,19.86
"10",10,10,1985-03-29,1985-03-30,1.5263,14.2579
"11",11,8,1985-04-20,1985-04-21,2.0387,13.6347
"12",12,6,1985-05-10,1985-05-13,2.1155,10.9844
"13",13,5,1985-08-14,1985-08-15,1.9936,8.6146
"14",14,10,1985-09-03,1985-09-06,1.791,15.6063
"15",15,5,1985-09-22,1985-09-26,1.3432,6.4087
"16",16,13,1985-10-15,1985-10-26,1.6624,19.3621
"17",17,46,1985-11-04,1985-11-21,2.8146,94.8803
"18",18,9,1986-01-19,1986-01-23,1.8785,14.9452
"19",19,10,1986-02-01,1986-02-06,2.2092,16.4818
"20",20,5,1986-02-14,1986-02-17,1.5844,7.6439
"21",21,15,1986-03-26,1986-04-03,2.3511,27.6629
"22",22,6,1986-05-28,1986-06-01,2.2314,12.328
"23",23,6,1986-06-07,1986-06-08,2.2504,11.9083
"24",24,7,1986-08-05,1986-08-08,1.4138,9.3225
"25",25,9,1988-08-02,1988-08-04,2.0545,14.6852
"26",26,10,1989-06-24,1989-06-27,2.1098,17.2688
"27",27,7,1989-09-17,1989-09-21,1.8585,11.6328
"28",28,9,1990-03-12,1990-03-15,2.4278,17.5411
"29",29,10,1990-04-23,1990-04-27,2.4278,18.6122
"30",30,14,1990-10-09,1990-10-15,2.2583,25.6938
"31",31,13,1991-02-28,1991-03-06,2.2405,24.1947
"32",32,5,1991-04-07,1991-04-09,1.6577,7.5769
"33",33,6,1991-05-13,1991-05-15,2.3288,13.0595
"34",34,11,1991-05-25,1991-06-03,3.3316,30.2601
"35",35,5,1991-07-21,1991-07-23,2.0051,8.2905
"36",36,8,1993-07-08,1993-07-12,2.0014,14.5382
"37",37,11,1993-08-28,1993-09-04,1.741,17.1439
"38",38,14,1994-06-14,1994-06-22,2.5891,28.2284
"39",39,9,1995-07-24,1995-07-28,1.774,13.4854
"40",40,34,1995-10-12,1995-11-08,1.8001,52.8439
"41",41,8,1996-06-15,1996-06-16,2.1128,14.3647
"42",42,8,1999-11-23,1999-11-26,1.6882,12.5759
"43",43,26,1999-12-10,1999-12-23,2.5846,49.3081
"44",44,5,2000-01-09,2000-01-13,1.9399,8.9878
"45",45,5,2000-04-15,2000-04-16,1.9727,8.3021
"46",46,8,2000-05-06,2000-05-08,2.3453,15.6298
"47",47,6,2001-06-25,2001-06-25,1.8722,9.8607
"48",48,15,2001-12-09,2001-12-13,2.1603,26.5928
"49",49,36,2002-01-08,2002-01-28,2.4337,71.1962
"50",50,17,2002-03-04,2002-03-15,2.0478,27.5777
"51",51,8,2002-04-15,2002-04-19,3.346,21.9256
"52",52,8,2002-10-02,2002-10-03,1.6897,11.4109
"53",53,8,2005-09-18,2005-09-20,1.9067,12.7664
"54",54,7,2006-08-02,2006-08-04,1.8645,11.9938
"55",55,27,2007-01-03,2007-01-17,2.7588,57.4891
"56",56,6,2007-07-31,2007-08-02,1.6967,8.9196
"57",57,5,2007-10-06,2007-10-09,1.6963,7.6312
"58",58,6,2007-10-21,2007-10-24,2.1324,10.7699
"59",59,12,2009-08-20,2009-08-25,1.858,19.1689
"60",60,11,2010-06-20,2010-06-28,2.8716,26.4514
"61",61,20,2010-07-05,2010-07-12,2.3314,35.4448
"62",62,21,2011-05-24,2011-06-01,4.3514,60.3132
"63",63,48,2012-02-18,2012-03-22,4.5761,100.9165
"64",64,8,2012-04-15,2012-04-21,2.8287,19.4156
"65",65,9,2012-05-10,2012-05-14,2.0727,17.2269
"66",66,9,2012-05-25,2012-05-29,3.7422,26.1678
"67",67,21,2012-07-01,2012-07-07,2.6914,42.8047
"68",68,7,2012-08-04,2012-08-05,2.0482,11.5747
"69",69,14,2012-08-27,2012-09-07,1.8391,21.7642
"70",70,6,2014-09-03,2014-09-07,1.9591,10.1939
"71",71,5,2014-10-15,2014-10-18,1.5244,7.3517
"72",72,5,2015-05-08,2015-05-11,2.6537,10.8705
"73",73,5,2015-05-29,2015-05-30,2.5866,11.6518
"74",74,6,2015-08-01,2015-08-03,1.5538,8.5906
"75",75,40,2015-08-17,2015-09-10,2.6904,72.2573
"76",76,31,2015-12-13,2015-12-28,3.1306,66.6433
"77",77,5,2016-07-27,2016-07-28,1.644,7.4152
"78",78,11,2016-08-12,2016-08-16,1.977,18.8478
"79",79,7,2016-08-27,2016-08-31,1.95,11.1616
"80",80,5,2017-10-08,2017-10-11,1.7145,7.6694
"81",81,6,2017-11-02,2017-11-04,1.7109,9.8695
"82",82,6,2018-07-01,2018-07-05,3.4697,17.0858
"83",83,8,2018-08-06,2018-08-09,1.9276,13.2246
"84",84,6,2018-09-04,2018-09-08,2.0684,9.843
"85",85,10,2018-10-04,2018-10-11,2.3745,18.4323
"86",86,5,2019-07-19,2019-07-22,1.915,8.0644
"87",87,7,2019-09-28,2019-10-03,1.8297,10.4226
"88",88,8,2020-07-26,2020-07-28,1.644,10.9195
"89",89,7,2021-08-26,2021-08-28,1.9351,10.9753
"90",90,13,2021-10-06,2021-10-16,2.2702,22.218
"91",91,9,2022-08-29,2022-08-30,1.7286,14.1097
