Year,Total_Samples,PSP_Not_Exceed_Threshold_Freq,PSP_Exceed_Threshold_Freq,PSP_Exceed_Threshold_%
2005,1587,1153,434,27.35
2006,2170,1782,388,17.88
2007,2514,2258,256,10.18
2008,2762,2240,522,18.90
2009,2776,2048,728,26.22
2010,2306,2048,258,11.19
2011,2623,2159,464,17.69
2012,3124,2834,290,9.28
2013,1895,1810,85,4.49
2014,1795,1636,159,8.86
2015,1890,1854,36,1.91
2016,1187,1130,57,4.80
2017,873,745,128,14.66
2018,956,877,79,8.26
2019,994,809,185,18.61
