EPU,date,source,BottomT.mean,BottomT.sd,Trend,Detrended
GOM,1/1/1982,ROMS,7.165778813,1.034826271,6.232031086,0.933747727
GOM,1/2/1982,ROMS,7.142683815,1.016141648,6.232163037,0.910520778
GOM,1/3/1982,ROMS,7.093400975,0.978362281,6.232294989,0.861105986
GOM,1/4/1982,ROMS,7.049080127,0.946311637,6.232426941,0.816653186
GOM,1/5/1982,ROMS,7.021248846,0.924738623,6.232558893,0.788689953
GOM,1/6/1982,ROMS,7.011852346,0.909283812,6.232690844,0.779161502
GOM,1/7/1982,ROMS,7.003349342,0.897636314,6.232822796,0.770526546
GOM,1/8/1982,ROMS,7.000329141,0.890343647,6.232954748,0.767374393
GOM,1/9/1982,ROMS,6.973013927,0.877566771,6.233086699,0.739927228
GOM,1/10/1982,ROMS,6.955554626,0.865229777,6.233218651,0.722335975
GOM,1/11/1982,ROMS,6.929194412,0.856649246,6.233350603,0.695843809
GOM,1/12/1982,ROMS,6.902837201,0.855503772,6.233482555,0.669354646
GOM,1/13/1982,ROMS,6.866164089,0.855246342,6.233614506,0.632549583
GOM,1/14/1982,ROMS,6.838799356,0.846274823,6.233746458,0.605052898
GOM,1/15/1982,ROMS,6.802540021,0.849079078,6.23387841,0.568661611
GOM,1/16/1982,ROMS,6.757756438,0.857922926,6.234010362,0.523746076
GOM,1/17/1982,ROMS,6.731931568,0.848745893,6.234142313,0.497789255
GOM,1/18/1982,ROMS,6.68937503,0.869388761,6.234274265,0.455100765
GOM,1/19/1982,ROMS,6.642447154,0.879531083,6.234406217,0.408040937
GOM,1/20/1982,ROMS,6.614862823,0.874750779,6.234538169,0.380324654
GOM,1/21/1982,ROMS,6.596066201,0.881073986,6.23467012,0.361396081
GOM,1/22/1982,ROMS,6.545419066,0.910265318,6.234802072,0.310616994
GOM,1/23/1982,ROMS,6.477479876,0.93025864,6.234934024,0.242545852
GOM,1/24/1982,ROMS,6.432449446,0.929998042,6.235065976,0.19738347
GOM,1/25/1982,ROMS,6.410069738,0.942593956,6.235197927,0.174871811
GOM,1/26/1982,ROMS,6.369399888,0.973295533,6.235329879,0.134070009
GOM,1/27/1982,ROMS,6.32826083,0.999704516,6.235461831,0.092798999
GOM,1/28/1982,ROMS,6.261081379,1.040871272,6.235593783,0.025487596
GOM,1/29/1982,ROMS,6.233128661,1.048597826,6.235725734,-0.002597073
GOM,1/30/1982,ROMS,6.196471883,1.067098138,6.235857686,-0.039385803
GOM,1/31/1982,ROMS,6.183819732,1.063053354,6.235989638,-0.052169906
GOM,2/1/1982,ROMS,6.173149511,1.065249186,6.23612159,-0.062972079
GOM,2/2/1982,ROMS,6.155215094,1.08314142,6.236253541,-0.081038447
GOM,2/3/1982,ROMS,6.140069673,1.087904307,6.236385493,-0.09631582
GOM,2/4/1982,ROMS,6.140128072,1.086354499,6.236517445,-0.096389373
GOM,2/5/1982,ROMS,6.136223303,1.093708726,6.236649396,-0.100426093
GOM,2/6/1982,ROMS,6.119723446,1.102297619,6.236781348,-0.117057902
GOM,2/7/1982,ROMS,6.102860349,1.114632106,6.2369133,-0.134052951
GOM,2/8/1982,ROMS,6.068140882,1.136542467,6.237045252,-0.16890437
GOM,2/9/1982,ROMS,6.036139135,1.155436575,6.237177203,-0.201038068
GOM,2/10/1982,ROMS,6.033208973,1.158345221,6.237309155,-0.204100182
GOM,2/11/1982,ROMS,6.011505701,1.175522817,6.237441107,-0.225935406
GOM,2/12/1982,ROMS,5.991064028,1.186744463,6.237573059,-0.246509031
GOM,2/13/1982,ROMS,5.975270534,1.19597975,6.23770501,-0.262434476
GOM,2/14/1982,ROMS,5.962054634,1.200807029,6.237836962,-0.275782328
GOM,2/15/1982,ROMS,5.940632547,1.210733987,6.237968914,-0.297336367
GOM,2/16/1982,ROMS,5.940754555,1.209804717,6.238100866,-0.297346311
GOM,2/17/1982,ROMS,5.945500173,1.218359166,6.238232817,-0.292732644
GOM,2/18/1982,ROMS,5.924285942,1.227384935,6.238364769,-0.314078827
GOM,2/19/1982,ROMS,5.893274442,1.23135134,6.238496721,-0.345222279
GOM,2/20/1982,ROMS,5.888236867,1.228331091,6.238628673,-0.350391806
GOM,2/21/1982,ROMS,5.860937261,1.25248629,6.238760624,-0.377823363
GOM,2/22/1982,ROMS,5.81719626,1.280746328,6.238892576,-0.421696316
GOM,2/23/1982,ROMS,5.76675791,1.317643866,6.239024528,-0.472266618
GOM,2/24/1982,ROMS,5.736580902,1.336211305,6.23915648,-0.502575578
GOM,2/25/1982,ROMS,5.701850611,1.342451289,6.239288431,-0.53743782
GOM,2/26/1982,ROMS,5.628712089,1.357267048,6.239420383,-0.610708294
GOM,2/27/1982,ROMS,5.528458684,1.345676297,6.239552335,-0.711093651
GOM,2/28/1982,ROMS,5.516799651,1.328810628,6.239684287,-0.722884636
GOM,3/1/1982,ROMS,5.501732816,1.334994893,6.239816238,-0.738083422
GOM,3/2/1982,ROMS,5.480956414,1.345461965,6.23994819,-0.758991776
GOM,3/3/1982,ROMS,5.483977846,1.345761452,6.240080142,-0.756102296
GOM,3/4/1982,ROMS,5.472271669,1.35347511,6.240212093,-0.767940424
GOM,3/5/1982,ROMS,5.471629213,1.357830706,6.240344045,-0.768714832
GOM,3/6/1982,ROMS,5.480007595,1.358886887,6.240475997,-0.760468402
GOM,3/7/1982,ROMS,5.486401772,1.361241856,6.240607949,-0.754206177
GOM,3/8/1982,ROMS,5.486025825,1.368225945,6.2407399,-0.754714075
GOM,3/9/1982,ROMS,5.481397565,1.378944494,6.240871852,-0.759474287
GOM,3/10/1982,ROMS,5.482743645,1.38635146,6.241003804,-0.758260159
GOM,3/11/1982,ROMS,5.485429561,1.39064573,6.241135756,-0.755706195
GOM,3/12/1982,ROMS,5.490761816,1.387336987,6.241267707,-0.750505891
GOM,3/13/1982,ROMS,5.496353249,1.385629304,6.241399659,-0.74504641
GOM,3/14/1982,ROMS,5.501450171,1.386970215,6.241531611,-0.74008144
GOM,3/15/1982,ROMS,5.507556312,1.387432419,6.241663563,-0.734107251
GOM,3/16/1982,ROMS,5.500243199,1.383097703,6.241795514,-0.741552315
GOM,3/17/1982,ROMS,5.500529514,1.378302891,6.241927466,-0.741397952
GOM,3/18/1982,ROMS,5.507038915,1.373341576,6.242059418,-0.735020503
GOM,3/19/1982,ROMS,5.501373179,1.367613677,6.24219137,-0.740818191
GOM,3/20/1982,ROMS,5.496500409,1.364248155,6.242323321,-0.745822912
GOM,3/21/1982,ROMS,5.491594006,1.362557471,6.242455273,-0.750861267
GOM,3/22/1982,ROMS,5.488283066,1.358194368,6.242587225,-0.754304159
GOM,3/23/1982,ROMS,5.488527632,1.357831309,6.242719177,-0.754191545
GOM,3/24/1982,ROMS,5.485377034,1.353175749,6.242851128,-0.757474094
GOM,3/25/1982,ROMS,5.480704567,1.343717633,6.24298308,-0.762278513
GOM,3/26/1982,ROMS,5.475184503,1.334320846,6.243115032,-0.767930529
GOM,3/27/1982,ROMS,5.470679498,1.322965062,6.243246984,-0.772567486
GOM,3/28/1982,ROMS,5.469975082,1.314256644,6.243378935,-0.773403853
GOM,3/29/1982,ROMS,5.446377739,1.306296397,6.243510887,-0.797133148
GOM,3/30/1982,ROMS,5.442990632,1.295772321,6.243642839,-0.800652207
GOM,3/31/1982,ROMS,5.446335478,1.286268978,6.24377479,-0.797439312
GOM,4/1/1982,ROMS,5.452882658,1.273604305,6.243906742,-0.791024084
GOM,4/2/1982,ROMS,5.459599744,1.267001825,6.244038694,-0.78443895
GOM,4/3/1982,ROMS,5.458078689,1.26805904,6.244170646,-0.786091957
GOM,4/4/1982,ROMS,5.461795351,1.257685634,6.244302597,-0.782507246
GOM,4/5/1982,ROMS,5.467496142,1.249979078,6.244434549,-0.776938407
GOM,4/6/1982,ROMS,5.4582551,1.252792617,6.244566501,-0.786311401
GOM,4/7/1982,ROMS,5.42962378,1.255346042,6.244698453,-0.815074673
GOM,4/8/1982,ROMS,5.350282568,1.29654458,6.244830404,-0.894547836
GOM,4/9/1982,ROMS,5.300023454,1.312836984,6.244962356,-0.944938902
GOM,4/10/1982,ROMS,5.297563805,1.316193422,6.245094308,-0.947530503
GOM,4/11/1982,ROMS,5.308042873,1.312241811,6.24522626,-0.937183387
GOM,4/12/1982,ROMS,5.31780236,1.30262171,6.245358211,-0.927555851
GOM,4/13/1982,ROMS,5.326087095,1.298227811,6.245490163,-0.919403068
GOM,4/14/1982,ROMS,5.332011312,1.289256609,6.245622115,-0.913610803
GOM,4/15/1982,ROMS,5.339843196,1.286046687,6.245754067,-0.905910871
GOM,4/16/1982,ROMS,5.350148014,1.287623995,6.245886018,-0.895738004
GOM,4/17/1982,ROMS,5.360996528,1.288670394,6.24601797,-0.885021442
GOM,4/18/1982,ROMS,5.372909605,1.2897215,6.246149922,-0.873240317
GOM,4/19/1982,ROMS,5.390723891,1.298506757,6.246281874,-0.855557983
GOM,4/20/1982,ROMS,5.405746098,1.307132484,6.246413825,-0.840667727
GOM,4/21/1982,ROMS,5.417205091,1.306258899,6.246545777,-0.829340686
GOM,4/22/1982,ROMS,5.419466319,1.296003834,6.246677729,-0.82721141
GOM,4/23/1982,ROMS,5.417643451,1.283559085,6.246809681,-0.82916623
GOM,4/24/1982,ROMS,5.418866493,1.270177124,6.246941632,-0.828075139
GOM,4/25/1982,ROMS,5.419794946,1.256888056,6.247073584,-0.827278638
GOM,4/26/1982,ROMS,5.420277199,1.244667005,6.247205536,-0.826928337
GOM,4/27/1982,ROMS,5.422307002,1.234903278,6.247337487,-0.825030485
GOM,4/28/1982,ROMS,5.427049686,1.229949076,6.247469439,-0.820419753
GOM,4/29/1982,ROMS,5.428835185,1.224618692,6.247601391,-0.818766206
GOM,4/30/1982,ROMS,5.425475883,1.212837834,6.247733343,-0.82225746
GOM,5/1/1982,ROMS,5.426354429,1.207382151,6.247865294,-0.821510865
GOM,5/2/1982,ROMS,5.429585811,1.204410805,6.247997246,-0.818411435
GOM,5/3/1982,ROMS,5.43187417,1.201575879,6.248129198,-0.816255028
GOM,5/4/1982,ROMS,5.432831951,1.196950127,6.24826115,-0.815429199
GOM,5/5/1982,ROMS,5.432280538,1.189778945,6.248393101,-0.816112563
GOM,5/6/1982,ROMS,5.430319143,1.181067983,6.248525053,-0.81820591
GOM,5/7/1982,ROMS,5.428218357,1.171637904,6.248657005,-0.820438648
GOM,5/8/1982,ROMS,5.425297604,1.162451221,6.248788957,-0.823491353
GOM,5/9/1982,ROMS,5.421769648,1.154401071,6.248920908,-0.82715126
GOM,5/10/1982,ROMS,5.418875882,1.147727288,6.24905286,-0.830176978
GOM,5/11/1982,ROMS,5.416917441,1.138811489,6.249184812,-0.832267371
GOM,5/12/1982,ROMS,5.412389951,1.125388262,6.249316764,-0.836926813
GOM,5/13/1982,ROMS,5.402528187,1.107284915,6.249448715,-0.846920528
GOM,5/14/1982,ROMS,5.393248442,1.090431852,6.249580667,-0.856332225
GOM,5/15/1982,ROMS,5.386471039,1.072995818,6.249712619,-0.86324158
GOM,5/16/1982,ROMS,5.380234474,1.053054863,6.249844571,-0.869610097
GOM,5/17/1982,ROMS,5.372131372,1.03838639,6.249976522,-0.87784515
GOM,5/18/1982,ROMS,5.365423627,1.027519825,6.250108474,-0.884684847
GOM,5/19/1982,ROMS,5.361803344,1.019956443,6.250240426,-0.888437082
GOM,5/20/1982,ROMS,5.355472998,1.014020415,6.250372378,-0.89489938
GOM,5/21/1982,ROMS,5.347448843,1.013982108,6.250504329,-0.903055486
GOM,5/22/1982,ROMS,5.350057956,1.014064656,6.250636281,-0.900578325
GOM,5/23/1982,ROMS,5.352244633,1.008456954,6.250768233,-0.8985236
GOM,5/24/1982,ROMS,5.34969408,0.998467286,6.250900184,-0.901206104
GOM,5/25/1982,ROMS,5.347020225,0.988541209,6.251032136,-0.904011911
GOM,5/26/1982,ROMS,5.343507857,0.981107012,6.251164088,-0.907656231
GOM,5/27/1982,ROMS,5.337917017,0.976282541,6.25129604,-0.913379023
GOM,5/28/1982,ROMS,5.33206109,0.973680536,6.251427991,-0.919366901
GOM,5/29/1982,ROMS,5.326999227,0.969395611,6.251559943,-0.924560716
GOM,5/30/1982,ROMS,5.320955557,0.96556444,6.251691895,-0.930736338
GOM,5/31/1982,ROMS,5.318995643,0.963827508,6.251823847,-0.932828204
GOM,6/1/1982,ROMS,5.315940452,0.96127184,6.251955798,-0.936015346
GOM,6/2/1982,ROMS,5.310163621,0.958661034,6.25208775,-0.941924129
GOM,6/3/1982,ROMS,5.304802688,0.956313431,6.252219702,-0.947417014
GOM,6/4/1982,ROMS,5.30260221,0.955459678,6.252351654,-0.949749444
GOM,6/5/1982,ROMS,5.301521066,0.953502945,6.252483605,-0.950962539
GOM,6/6/1982,ROMS,5.302335108,0.949385118,6.252615557,-0.950280449
GOM,6/7/1982,ROMS,5.313658023,0.95007751,6.252747509,-0.939089486
