region,est_year,season,trophic_level,offspring_size,age_maturity,length_maturity,fecundity,l_inf,k,max_obs_length,PC1,PC2,PC3
GB,1963,Fall,4.06442793608901,31.3310584927318,4.80345301262043,40.7676591026834,1137571.75555253,85.8120820960503,0.209867673757926,88.0933771747332,-1.85295961986163,0.759263410632948,-0.0228146756809334
GOM,1963,Fall,4.11592599649418,57.8410375475471,5.43677754041703,43.0986561079236,1263806.43368362,87.914251289705,0.175686999997142,95.7236572143209,-2.2429849457868,0.439142876938306,-0.0427245056711814
MAB,1963,Fall,4.25105903765021,159.227057340546,6.92993553935921,55.5059114429002,500321.938864471,109.83423116683,0.138694043248463,113.230714335484,-3.35470714020387,-0.967550755787081,-0.417470053532766
SS,1963,Fall,4.01022088543952,31.3206950350708,4.91935905401108,40.6587043817539,1750787.75712683,85.7788110017829,0.18892254992735,93.7025656977239,-1.96386745943186,0.944041290740002,0.235162940937041
GB,1964,Fall,4.056087085247,19.3829906154278,4.38777153492845,36.9820989696193,1021408.6137943,78.9624477235119,0.238091218056363,82.620844185064,-1.61959808447054,0.964263679919419,-0.0340231016697293
GOM,1964,Fall,3.91701538916336,28.715213214842,5.34139161500886,38.3284664890942,1678446.52643655,79.7284651620934,0.170019477772009,86.6005525035481,-1.85952148391143,0.681491699618466,0.440490247944807
MAB,1964,Fall,4.3147000258014,201.261801532511,7.71307713170723,60.5952584832796,169129.698155763,115.475642463949,0.120909493728619,121.241338424195,-3.88571742238445,-1.59388852444332,-0.572500134504691
SS,1964,Fall,4.03447436549683,18.888969687427,4.72599839108015,40.5876980380639,1947793.39911969,90.0892366968118,0.192307780680337,95.702083593235,-1.89794536727881,1.15381561962294,0.188902374978687
GB,1965,Fall,4.07675271826564,33.3948701576981,4.89236334027017,39.8461970179263,910114.37518403,83.6993591914122,0.237741874244911,84.9098297183132,-1.83492123630804,0.649209245776625,-0.0883419476610812
GOM,1965,Fall,4.07583621827533,41.2209548877728,5.45214177769311,42.2851322504674,1737945.44007112,90.6274569923374,0.169655700558113,97.5698419514423,-2.20193406115321,0.717735336978606,0.120356578469082
MAB,1965,Fall,4.27081520970743,172.2268876491,7.0037028271131,56.744187991242,325153.146342463,109.449715970477,0.14221874139129,115.533206486045,-3.4539368731298,-1.13422645549977,-0.489741982894997
SS,1965,Fall,4.06540819532403,11.5832732887991,4.68433969426063,41.7438539534676,2479998.3245773,90.8211285490578,0.177804706678351,99.3874419320104,-1.95518506517585,1.31217252212161,0.202408968568527
GB,1966,Fall,4.07560861448375,24.9498392644088,5.29236750255757,40.7480381947994,1390701.36815455,88.5945853022617,0.215927614292312,88.3902914367837,-1.95975303650567,0.720634050911003,0.0165952163986179
GOM,1966,Fall,3.94308707023124,26.6075313734824,5.76993705683758,38.4485160310081,1677348.72237081,83.9847592343774,0.164793320990327,88.6394605741804,-1.98605579653633,0.62298540732775,0.398201832135062
MAB,1966,Fall,4.26640279816988,168.774515501897,7.27852823800219,56.9309745642327,404184.781929615,112.726426542159,0.141421837077176,116.227967456179,-3.53420486071348,-1.14106788087832,-0.438991500970195
SS,1966,Fall,4.13279233348372,10.857804956843,4.65103921889003,44.1946387164757,2849272.30601366,95.7076411380559,0.168678222448717,106.547878650276,-2.10729778294134,1.55040178259284,0.171937476827426
GB,1967,Fall,4.10080110430415,45.7538419983168,5.26663454895863,42.9021196898388,1371234.37830556,86.4995778700392,0.213303086722347,90.8678405557434,-2.08957600388371,0.532111298717313,-0.0774101636647115
