"PORT_STATE","perc_AVG","perc_MIN","perc_MAX","COUNT_YRS","WEA_MAX","avg_val","yrs_with_revenue","yrs_excluded_conf","yrs_zero_wea_revenue","EJ","Gent"
"NEW BEDFORD, MA",0.02,0.01,0.06,16,22631560.45,10013412.4227603,16,0,0,1,1
"CAPE MAY, NJ",0.06,0.03,0.12,16,11301146.9743243,5024335.37920018,16,0,0,NA,1
"NEWPORT NEWS, VA",0.06,0.02,0.15,16,8643068.72567568,2153099.00045604,16,0,0,NA,NA
"ATLANTIC CITY, NJ",0.16,0.03,0.24,16,7611076.43888889,3869571.10041311,16,0,0,1,NA
"LONG BEACH (TOWN OF), NJ",0.13,0.09,0.19,9,5592510.40126582,4034985.8296797,10,1,6,NA,1
"POINT JUDITH, RI",0.05,0.03,0.08,16,5157949.51728395,2665496.16471934,16,0,0,NA,1
"POINT PLEASANT, NJ",0.06,0.04,0.08,16,2814125.87530864,1822794.87787261,16,0,0,NA,NA
"BARNEGAT LIGHT, NJ",0.07,0.03,0.13,10,2666065.45494505,1097423.79718387,15,5,1,NA,1
"GLOUCESTER, MA",0.03,0.02,0.05,16,2088802.7185567,1464321.90452659,16,0,0,NA,NA
"HAMPTON, VA",0.05,0.01,0.1,16,1770102.95277778,711483.669328616,16,0,0,NA,NA
"BOSTON, MA",0.07,0.06,0.09,15,1492280.5372093,1233276.33559723,16,1,0,1,1
"LITTLE COMPTON, RI",0.22,0.17,0.32,16,1167938.8051948,580933.413689525,16,0,0,NA,1
"WILDWOOD, NJ",0.07,0.03,0.18,13,1026396.72337662,418328.814099809,16,3,0,NA,1
"POINT LOOKOUT, NY",0.1,0.02,0.38,12,960018.236111111,166535.197376988,16,4,0,NA,1
"STONINGTON, CT",0.04,0.01,0.09,15,906118.810810811,283945.413340747,16,1,0,NA,NA
"FAIRHAVEN, MA",0.02,0,0.05,16,874076.483783784,214988.87360978,16,0,0,NA,NA
"NEW LONDON, CT",0.03,0.01,0.12,15,833534.532432432,194941.518315488,16,1,0,1,NA
"DAVISVILLE/NORTH KINGSTOWN, RI",0.03,0.01,0.06,14,680347.615584416,370395.761001193,16,2,0,NA,NA
"MONTAUK, NY",0.02,0.01,0.03,16,635845.763953488,410659.873972452,16,0,0,NA,1
"OTHER CAPE MAY, NJ",0.03,0.01,0.09,9,632367.744,89969.9655295078,16,7,0,NA,NA
"NEWPORT, RI",0.05,0.03,0.06,16,627423.109090909,394335.436782897,16,0,0,NA,1
"HYANNIS, MA",0.02,0,0.11,9,442606.563,58401.6670854871,13,4,3,NA,NA
"CHATHAM, MA",0.01,0,0.03,16,440408.51038961,165474.429451641,16,0,0,NA,1
"BEAUFORT, NC",0.03,0.01,0.06,16,297664.187912088,118689.282902083,16,0,0,NA,1
"WESTPORT, MA",0.15,0.09,0.27,16,290059.596296296,181230.454545027,16,0,0,NA,NA
"VIRGINIA BEACH/LYNNHAVEN, VA",0.18,0,0.46,15,275331.12987013,118580.338255756,16,1,0,NA,NA
"SHINNECOCK/HAMPTON BAYS, NY",0.02,0.01,0.05,16,216854.190277778,80213.9098083683,16,0,0,1,1
"PROVINCETOWN, MA",0.01,0,0.02,15,188718.656,37744.226557973,16,1,0,1,NA
"FALL RIVER, MA",0.05,0,0.09,9,186414.373972603,85568.0188850814,12,3,4,1,NA
"ENGELHARD, NC",0.02,0,0.04,7,142832.556164384,50744.8139918138,16,9,0,1,NA
"BELFORD, NJ",0.01,0.01,0.04,14,132349.611111111,47745.9777426924,16,2,0,NA,1
"WANCHESE, NC",0.02,0.01,0.04,16,131369.670886076,57679.3697494027,16,0,0,NA,NA
"TIVERTON, RI",0.09,0,0.32,13,128746.775,39840.9796788829,16,3,0,NA,NA
"PORTSMOUTH, NH",0,0,0.03,8,126072.811627907,17831.9351102382,16,8,0,NA,1
"OTHER NASSAU, NY",0.02,0,0.11,6,124776.058536585,31285.9490689439,14,8,2,NA,NA
"OCEAN CITY, MD",0.01,0,0.04,7,120306.595,20627.4895268696,13,6,3,NA,NA
"CHINCOTEAGUE, VA",0.02,0.01,0.1,14,116307.382,57704.2662410874,16,2,0,NA,1
"SEA ISLE CITY, NJ",0.06,0.02,0.11,16,111627.756944444,62716.602050923,16,0,0,NA,1
"HARWICHPORT, MA",0.01,0,0.07,11,77486.4949367089,27693.3743531514,16,5,0,NA,1
"CHILMARK, MA",0.13,0.1,0.15,16,56906.7902777778,39519.0206127556,16,0,0,NA,1
"BRIELLE, NJ",0.03,0.01,0.05,5,55907.7922077922,19602.6735244243,10,5,6,NA,1
"SANDWICH, MA",0.01,0,0.03,7,49425.6541666667,18577.9848658201,15,8,1,NA,NA
"ORIENTAL, NC",0.02,0.01,0.06,12,38755.2860465116,19846.9519896223,16,4,0,NA,1
"MENEMSHA, MA",0.05,0.01,0.13,9,36446.9511904762,10719.0770262991,12,3,4,NA,1
"SCITUATE, MA",0,0,0.01,10,24201.2547945206,10047.3678777033,15,5,1,NA,1
