year,GEO_ID2,REGION,STATEABBR,Community,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP_16,ComEng_NE16_ct,ComRel_NE16_ct,RecEng_NE16_ct,RecRel_NE16_ct
2016,1001400,Mid-Atlantic,DE,"Arden, DE",39.811198,-75.488695,485,1,1,1,1
2016,1001530,Mid-Atlantic,DE,"Ardencroft, DE",39.805323,-75.485833,255,1,1,1,1
2016,1001660,Mid-Atlantic,DE,"Ardentown, DE",39.809046,-75.482116,311,1,1,1,1
2016,1004130,Mid-Atlantic,DE,"Bear, DE",39.629167,-75.658611,"19,904",1,1,1,1
2016,1004650,Mid-Atlantic,DE,"Bellefonte, DE",39.766838,-75.498040,"1,253",1,1,1,1
2016,1005690,Mid-Atlantic,DE,"Bethany Beach, DE",38.539444,-75.055556,871,1,1,1,1
2016,1005820,Mid-Atlantic,DE,"Bethel, DE",38.571034,-75.619312,181,1,1,1,1
2016,1006730,Mid-Atlantic,DE,"Blades, DE",38.634522,-75.605564,"1,302",1,1,1,1
2016,1007250,Mid-Atlantic,DE,"Bowers, DE",39.059722,-75.401667,316,2,4,1,3
2016,1008680,Mid-Atlantic,DE,"Bridgeville, DE",38.742500,-75.604722,"2,397",1,1,1,1
2016,1009850,Mid-Atlantic,DE,"Brookside, DE",39.666636,-75.715253,"13,853",1,1,1,1
2016,1010760,Mid-Atlantic,DE,"Camden, DE",39.106221,-75.550460,"3,494",1,1,1,1
2016,1014660,Mid-Atlantic,DE,"Cheswold, DE",39.221118,-75.584613,"1,123",1,1,1,1
2016,1015310,Mid-Atlantic,DE,"Claymont, DE",39.800556,-75.460000,"8,943",1,1,1,1
2016,1015440,Mid-Atlantic,DE,"Clayton, DE",39.290556,-75.634722,"3,080",1,1,1,1
2016,1018950,Mid-Atlantic,DE,"Dagsboro, DE",38.549167,-75.246111,931,2,2,1,1
2016,1019730,Mid-Atlantic,DE,"Delaware City, DE",39.578087,-75.598769,"1,872",1,1,1,2
2016,1020380,Mid-Atlantic,DE,"Delmar, DE",38.456389,-75.577500,"1,792",1,1,1,1
2016,1021200,Mid-Atlantic,DE,"Dover, DE",39.158056,-75.524722,"37,351",1,1,1,1
2016,1021387,Mid-Atlantic,DE,"Dover Base Housing, DE",39.117634,-75.483930,"3,352",1,1,1,1
2016,1023240,Mid-Atlantic,DE,"Edgemoor, DE",39.756091,-75.507633,"6,335",1,1,1,1
2016,1024020,Mid-Atlantic,DE,"Ellendale, DE",38.806944,-75.423056,421,1,1,1,1
2016,1024540,Mid-Atlantic,DE,"Elsmere, DE",39.738392,-75.594532,"6,137",1,1,1,1
2016,1025840,Mid-Atlantic,DE,"Farmington, DE",38.869920,-75.579198,107,1,1,1,1
2016,1026620,Mid-Atlantic,DE,"Felton, DE",39.010623,-75.574484,"1,566",1,1,1,1
2016,1026880,Mid-Atlantic,DE,"Fenwick Island, DE",38.462222,-75.051667,398,1,1,1,2
2016,1028310,Mid-Atlantic,DE,"Frankford, DE",38.517222,-75.235278,840,1,1,1,1
2016,1028440,Mid-Atlantic,DE,"Frederica, DE",39.008889,-75.466111,994,1,1,1,1
2016,1029090,Mid-Atlantic,DE,"Georgetown, DE",38.690000,-75.385833,"6,917",1,1,1,1
2016,1029350,Mid-Atlantic,DE,"Glasgow, DE",39.601438,-75.747583,"15,230",1,1,1,1
2016,1031430,Mid-Atlantic,DE,"Greenville, DE",39.778252,-75.604808,"2,265",1,1,1,1
2016,1031560,Mid-Atlantic,DE,"Greenwood, DE",38.806827,-75.590620,"1,280",1,1,1,1
2016,1033120,Mid-Atlantic,DE,"Harrington, DE",38.923611,-75.578056,"3,688",1,1,1,1
2016,1033250,Mid-Atlantic,DE,"Hartly, DE",39.168364,-75.712347,50,1,1,1,1
2016,1034810,Mid-Atlantic,DE,"Highland Acres, DE",39.116305,-75.521894,"3,792",1,1,1,1
2016,1035850,Mid-Atlantic,DE,"Hockessin, DE",39.783836,-75.681600,"13,702",1,1,1,1
2016,1036760,Mid-Atlantic,DE,"Houston, DE",38.917754,-75.504155,389,1,1,1,1
2016,1038710,Mid-Atlantic,DE,"Kent Acres, DE",39.132766,-75.515651,"2,348",1,1,1,1
2016,1039100,Mid-Atlantic,DE,"Kenton, DE",39.227500,-75.663333,256,1,1,1,1
2016,1041310,Mid-Atlantic,DE,"Laurel, DE",38.556389,-75.571667,"3,984",1,1,1,1
