YEAR,Apex Predator,Benthivore,Benthos,Planktivore,Piscivore,Other
1964,-8.358499085,49.45766991,17.25945464,17.44054685,-32.63457935,-9.37743002
1965,-2.542391139,85.36671965,17.04563416,9.796715541,-23.44280951,-6.473698852
1966,-2.707178968,54.14962279,4.377629988,10.32197724,-16.64877431,-4.3786629
1967,-2.223343602,63.74505851,2.755566125,17.29318873,-18.83222714,-7.2969115
1968,-5.010018417,49.83046835,8.723047758,12.01191627,-26.16486721,-12.04847013
1969,-0.6982224,60.87454915,10.75684892,3.204460197,-14.50308422,-14.89367926
1970,-5.010018417,93.43811917,20.47882354,3.414211757,-5.269046201,1.937544647
1971,-5.010018417,80.82355932,38.86837242,2.893745656,-12.72309636,1.090629212
1972,-5.010018417,82.71403111,41.80485381,19.80202448,-3.933803935,-2.567396686
1973,-5.010018417,75.65891649,28.07672105,5.422199903,-10.55939819,10.654226
1974,-1.155565295,80.38336746,16.8721267,10.24709051,-7.293261543,2.019128594
1975,-8.942284022,65.39288129,30.54927199,4.728839926,-3.131663253,6.299379591
1976,-10.53020569,3.715636207,11.64363102,3.732686972,-7.769949748,0.490754501
1977,-9.878664881,-31.84282358,1.087598294,5.299682819,-10.31917017,-5.724019854
1978,-6.692644427,-51.84014816,0.343888662,11.57167386,-4.633089636,1.382359451
1979,-5.494751128,-79.86251826,6.760231565,5.201942626,-6.609700221,-9.103458437
1980,-5.54431601,-90.85125346,38.31934618,6.097944196,-6.539006731,3.816061397
1981,-7.198319819,-64.20041607,36.56592799,5.319431129,-1.368399592,10.2711821
1982,-2.547056677,-87.75414496,11.93773928,1.222531975,-10.14977946,3.627140286
1983,-1.560360774,-73.0676643,15.84190131,2.103950043,-16.07814162,5.111072264
1984,-0.109896054,-45.08685815,2.614724225,-1.060539742,-23.51876171,0.853539591
1985,0.524542729,-29.12356728,-3.886365169,1.331005195,-17.09919783,-2.112673537
1986,15.03614311,-17.490145,-6.415040228,0.121073213,-2.05837775,1.659371116
1987,5.69728421,-5.79702069,-4.816991014,-3.732518449,11.55333889,5.092594498
1988,5.277425647,0.633126897,-10.43097901,-4.244039405,-5.938884321,-1.409351144
1989,10.52792957,40.60193008,-8.011407696,-5.015267763,7.423842916,-5.787366147
1990,12.14652492,-0.635870746,-11.40899863,-6.365202282,4.918447969,3.866535158
1991,8.444636828,13.32816497,-11.59695197,-3.731659242,31.32734216,-5.016365463
1992,6.790665764,16.53055286,-13.02361832,-8.136296995,18.37917662,13.46327311
1993,12.81537474,16.60378076,-18.06616477,-6.104719152,10.51463306,12.16825562
1994,8.596325975,29.45604374,-16.07851762,-6.519405417,12.29316552,-2.251529986
1995,10.4173196,26.45375102,-8.171891232,-9.401429049,10.37433612,-8.867303458
1996,4.829566569,51.28491767,-0.64779083,-9.129320819,9.20104647,-16.44227778
1997,3.280921071,41.47415816,-0.432966826,-11.71649794,1.92003503,-12.15663676
1998,-2.229506636,16.23002037,-0.953248983,-6.360767795,4.810348006,-8.751257906
1999,0.028778478,72.93596222,-5.759470654,-9.258102358,12.69810487,-7.941748188
2000,1.573040482,33.00112776,-0.440002496,-9.934582942,25.8783444,-25.5129482
2001,0.610313662,4.584888957,1.009489373,-8.424193158,23.70996709,-4.019119971
2002,-0.170315177,20.41398872,-0.75135249,-8.370185151,20.73076486,-11.08462096
2003,-0.835560668,23.20789919,-2.370753271,-6.874530316,15.01861202,-8.845538365
2004,-1.625857636,33.24883778,-3.50223263,-6.027960555,18.20361333,-0.493631374
2005,-3.890691494,32.39032942,4.801043618,-4.662625951,24.2214845,12.2162578
2006,-2.277888733,23.99453074,5.553283112,-7.45953792,21.04228908,9.392736112
2007,-3.205764635,57.69063188,-1.922382052,-1.520978162,17.37324607,11.35565709
2008,-1.12177166,-3.986829785,-4.687347195,-2.244358481,16.66197498,3.627747654
2009,-2.053648706,-33.34904586,-5.189068756,-4.08341815,12.10917138,13.05588125
2010,-1.9038401,-31.26456064,0.615630898,-1.993469131,17.70950938,-1.373630684
2011,-3.739239524,-55.35482952,-1.490139085,-2.735543544,15.30502317,-6.016937125
2012,-2.062033253,-96.57912229,5.087129343,-0.593307542,10.32707545,9.266231157
2013,-2.870791049,-73.00687292,15.44570078,-1.721409502,9.025686979,26.8151348
2014,-3.888694977,-42.93660058,25.43032407,-2.406632883,1.240757558,23.36370865
2015,-6.194772347,-12.78104788,3.57726544,-1.458335642,-0.364776823,34.34639741
2016,-5.221481027,-29.53315179,18.21327104,6.523470351,1.235271605,66.61102046
2017,-6.094441468,-40.80707746,17.62014464,8.529989393,-3.973761864,61.25870329
