Species,YEAR,MeanCond,StdDevCond
112,1994,0.9989329888525345,0.12979239820715527
112,2002,0.9037971034734168,0.05515560428325831
112,2005,0.9184524705774738,0.1441879769712472
112,2006,1.0266107510587446,0.22487230202456543
112,2007,0.9617565023143005,0.12095055771922163
112,2008,0.9155949029945599,0.11770000072671667
112,2009,1.0371101905953375,0.15828695507221677
112,2010,1.1272529488404943,0.18194202410278798
112,2011,1.051169262648537,0.128170438522127
112,2012,0.9763664879083871,0.16022030394259465
112,2013,1.0282367496068932,0.1720013447201929
112,2014,0.973120413508172,0.1658105157159639
112,2015,0.9430652201073682,0.13384334616527396
112,2016,0.9905020258766087,0.14574527150444416
112,2018,0.9521832997248629,0.13660608700511767
112,2019,1.0436247873859967,0.1351905927704562
112,2021,1.039474858568014,0.17225181573815265
112,2022,1.0640392972031898,0.1450306984552552
12,1997,0.982403548551358,0.09547544702506411
12,2001,0.8441079625046644,NA
12,2002,0.9302905080872871,0.11935702454762213
12,2003,1.001899175295875,NA
12,2004,0.8215315786793888,0.027952478617841794
12,2005,1.0183797610744418,NA
12,2007,0.7382074789903784,NA
12,2008,0.8457419894520186,0.0690354194859612
12,2012,0.9852820476175006,NA
12,2013,1.095268774141304,NA
12,2014,1.1086146819263476,NA
12,2022,1.0369963413248884,0.14011535077629397
139,1993,1.035934574217119,0.0674786668260546
139,1995,0.9740057272139468,0.0706094275306777
139,1996,0.905021736933568,NA
139,1998,1.009267471587041,0.07233196713036139
139,1999,0.9556987050072698,0.07456992580001418
139,2000,1.0482110214044196,0.0625809635905255
139,2002,0.9763247828807335,0.07978807523496197
139,2003,0.9047801420588771,0.06520675710297638
139,2004,0.9224103999269768,0.08216438037874695
139,2005,0.9673091679620832,0.07330578406254983
139,2006,0.9656642480286051,0.0668527812075257
139,2007,0.9549908879656962,0.07623281855037692
139,2008,1.0287491690432888,0.1270903763447974
139,2010,0.9416332762737959,0.08784499790057125
139,2011,0.9272508629955196,NA
139,2012,1.042130394018537,0.045904570585420586
139,2013,0.8745939041610494,0.03731580771892518
139,2015,1.0461310001739101,NA
139,2016,0.9611192648328055,NA
139,2018,0.968658069310009,0.07936591526814066
139,2019,0.9374445080498758,0.09268762848650022
139,2021,1.0319215856289348,0.11911298240057061
139,2022,1.004457217862762,0.07391423974777472
14,1995,0.9492978659615496,NA
14,1997,0.9861290057113474,0.07812358823470228
14,1998,0.9902701907475207,0.08230438598952984
14,2002,0.9173700370393548,0.06534974618454956
14,2004,1.021672743641207,0.11921389646224315
14,2005,0.9257229304750795,NA
14,2006,1.1002775974621346,NA
14,2008,1.0146050305079621,0.049755115905534456
146,1992,1.002118945949548,0.0713581836876638
146,2002,1.1712246657844043,0.008267614736917324
146,2005,1.0898258264225853,0.1259578208497658
146,2006,1.1190960742306697,0.11489837966726352
146,2007,1.1292976551281229,0.09878406104856963
146,2008,1.1360012112234639,0.15059201808129238
146,2009,1.1395297543318794,0.1479125010075901
146,2010,1.2296986767732672,0.13228210267956078
146,2011,1.1373051314740175,0.09740771480203862
146,2012,1.0829531064009528,0.1110395729433457
146,2013,1.155862821592827,0.13447800180881472
146,2014,1.141146053349077,0.10867696491416255
146,2015,1.1290022985775892,0.13503776155278974
146,2016,1.1548474526607264,0.11277227567241921
146,2018,1.119969280865677,0.10947381981541762
146,2019,1.1685778697709217,0.11157947002779502
146,2021,1.0642828861545075,0.0944142519439526
146,2022,1.1297951689805807,0.1435225929022993
16,1997,0.924995464389112,0.10063719161303737
16,1998,1.03626581072825,0.05268118596047195
16,2000,0.8172203452268622,NA
16,2001,0.8271484201891283,0.052064868849546586
16,2002,0.9067998177186545,0.09813667905451325
16,2003,1.005793689980338,0.09385263452360343
16,2004,0.8151560850430744,0.06258546759307607
16,2006,0.9211557098537856,0.0696141990408177
16,2008,0.8723524790526772,0.1097837121990121
16,2009,0.9353652597654576,0.10193605469378275
16,2010,0.9277593094265602,0.12923406570708199
16,2011,0.9964733904606409,0.08338304958245725
16,2012,0.9321674749247609,0.07766672581569063
16,2013,0.9689079281700863,0.08976242831243747
16,2014,0.9285120329088293,0.12197369871934106
16,2015,0.8877778119950148,0.09880867426305805
16,2016,0.9440346023843516,0.08691066977033458
16,2018,0.9275418362086262,0.11279709660852781
16,2019,0.9064888562556016,0.06816148069688453
16,2021,0.880075772481527,0.08583360452706419
16,2022,0.937388658284796,0.09026851178236754
176,1999,0.9743895374567246,0.1531440576700389
176,2000,0.9779076279760529,0.0969118460857939
176,2001,0.9191282662421386,0.07812324801436812
176,2002,0.871651179780825,0.087812452836248
176,2003,0.8993479301338086,0.1031703770697102
176,2004,0.9626344563572696,0.1374999077974935
176,2005,0.8884760179447779,0.07552638547938192
176,2006,0.8564010004840229,0.08409149536740577
176,2007,0.9171243956043331,0.06391103747408629
176,2008,0.9117719312134522,0.08562914835066357
176,2009,0.923224781678253,0.08537976275281765
176,2010,1.0016873222503972,0.08872316374153556
176,2011,0.9421976374939482,0.06775764365375514
176,2012,0.9268083007997074,0.095009148802642
176,2013,0.9290805816737595,0.07528916959335517
176,2014,0.9266583484723255,0.08855115049905572
177,1999,1.0008306832805958,0.040042780742472625
177,2000,1.0583197122686934,NA
177,2001,1.0290218193591736,0.02694564991108366
177,2002,0.9736031399815532,0.0746071680555511
177,2003,0.9597194234122478,0.08195310448883675
177,2004,1.091936930476273,NA
177,2005,0.8633853434344624,NA
177,2006,1.0204324982460138,0.0422686986360701
177,2007,0.9498058625438146,0.05765108469664688
177,2008,1.01050311816538,NA
177,2009,0.9697550598690925,0.04817614392183593
