"","season","year","subarea","bt_temp","ref_bt","anomaly"
"1",1,1959,"GB",5.17802308574993,6.68761363250753,-1.5095905467576
"2",1,1959,"GOM",6.57777437747799,7.583798679316,-1.00602430183802
"3",1,1959,"MAB",7.28904030522663,8.41805994511585,-1.12901963988922
"4",1,1959,"SS",5.4109365003966,7.42985652396917,-2.01892002357257
"5",1,1960,"GB",6.16965955130323,6.68761363250753,-0.517954081204304
"6",1,1960,"GOM",5.87290797670544,7.583798679316,-1.71089070261057
"7",1,1960,"MAB",7.92784012517952,8.41805994511585,-0.490219819936329
"8",1,1960,"SS",5.46695549207791,7.42985652396917,-1.96290103189126
"9",1,1961,"GB",5.66764212133751,6.68761363250753,-1.01997151117002
"10",1,1961,"GOM",5.64622917355539,7.583798679316,-1.93756950576061
"11",1,1961,"MAB",7.19454361021376,8.41805994511585,-1.22351633490209
"12",1,1961,"SS",5.10271787528083,7.42985652396917,-2.32713864868834
"13",1,1962,"GB",5.82895590448916,6.68761363250753,-0.858657728018374
"14",1,1962,"GOM",5.7694409849134,7.583798679316,-1.8143576944026
"15",1,1962,"MAB",7.64603704979465,8.41805994511585,-0.772022895321202
"16",1,1962,"SS",5.3225519940981,7.42985652396917,-2.10730452987107
"17",1,1963,"GB",5.85745991807381,6.68761363250753,-0.830153714433716
"18",1,1963,"GOM",6.07939860340501,7.583798679316,-1.504400075911
"19",1,1963,"MAB",7.32521111477602,8.41805994511585,-1.09284883033983
"20",1,1963,"SS",5.86219344026781,7.42985652396917,-1.56766308370136
"21",1,1964,"GB",5.25958639672412,6.68761363250753,-1.42802723578341
"22",1,1964,"GOM",6.43482140467017,7.583798679316,-1.14897727464584
"23",1,1964,"MAB",7.62047315104507,8.41805994511585,-0.797586794070777
"24",1,1964,"SS",5.65834074253953,7.42985652396917,-1.77151578142964
"25",1,1965,"GB",4.92366117863563,6.68761363250753,-1.7639524538719
"26",1,1965,"GOM",5.58438047482857,7.583798679316,-1.99941820448743
"27",1,1965,"MAB",7.34577740419255,8.41805994511585,-1.07228254092329
"28",1,1965,"SS",5.08232326728107,7.42985652396917,-2.3475332566881
"29",1,1966,"GB",4.87673863385224,6.68761363250753,-1.81087499865529
"30",1,1966,"GOM",5.61229832877945,7.583798679316,-1.97150035053655
"31",1,1966,"MAB",6.74760697671828,8.41805994511585,-1.67045296839757
"32",1,1966,"SS",5.21547586302565,7.42985652396917,-2.21438066094352
"33",1,1967,"GB",5.80632943321886,6.68761363250753,-0.881284199288673
"34",1,1967,"GOM",5.74762731815886,7.583798679316,-1.83617136115714
"35",1,1967,"MAB",7.62473927973558,8.41805994511585,-0.793320665380267
"36",1,1967,"SS",5.50062417391524,7.42985652396917,-1.92923235005393
"37",1,1968,"GB",4.82952482466493,6.68761363250753,-1.8580888078426
"38",1,1968,"GOM",5.18992738885584,7.583798679316,-2.39387129046016
"39",1,1968,"MAB",6.65289424296235,8.41805994511585,-1.76516570215349
"40",1,1968,"SS",5.06466754699196,7.42985652396917,-2.36518897697721
"41",1,1969,"GB",5.28095860672985,6.68761363250753,-1.40665502577768
"42",1,1969,"GOM",5.1195469812559,7.583798679316,-2.4642516980601
"43",1,1969,"MAB",6.18358076905596,8.41805994511585,-2.23447917605988
"44",1,1969,"SS",5.55634792227332,7.42985652396917,-1.87350860169585
"45",1,1970,"GB",5.62277232341045,6.68761363250753,-1.06484130909708
"46",1,1970,"GOM",5.54589609250782,7.583798679316,-2.03790258680819
"47",1,1970,"MAB",7.60940325201912,8.41805994511585,-0.808656693096729
"48",1,1970,"SS",6.17731253448776,7.42985652396917,-1.25254398948141
"49",1,1971,"GB",5.22969850678518,6.68761363250753,-1.45791512572235
"50",1,1971,"GOM",5.62074478673089,7.583798679316,-1.96305389258511
"51",1,1971,"MAB",7.32904955560552,8.41805994511585,-1.08901038951032
"52",1,1971,"SS",5.50302893292088,7.42985652396917,-1.92682759104829
"53",1,1972,"GB",6.27764211476631,6.68761363250753,-0.409971517741225
"54",1,1972,"GOM",5.75020876614187,7.583798679316,-1.83358991317413
"55",1,1972,"MAB",8.62631526806469,8.41805994511585,0.208255322948842
"56",1,1972,"SS",5.78582253159564,7.42985652396917,-1.64403399237352
"57",1,1973,"GB",5.75654614595846,6.68761363250753,-0.931067486549072
"58",1,1973,"GOM",5.91960765315119,7.583798679316,-1.66419102616482
"59",1,1973,"MAB",7.78348483732589,8.41805994511585,-0.634575107789961
"60",1,1973,"SS",5.75678420175141,7.42985652396917,-1.67307232221776
"61",1,1974,"GB",6.53137145244595,6.68761363250753,-0.156242180061581
"62",1,1974,"GOM",6.16961915670977,7.583798679316,-1.41417952260623
"63",1,1974,"MAB",9.24580656913938,8.41805994511585,0.827746624023531
"64",1,1974,"SS",6.55529222434755,7.42985652396917,-0.87456429962162
"65",1,1975,"GB",6.4272528109024,6.68761363250753,-0.260360821605128
"66",1,1975,"GOM",8.02593753394626,7.583798679316,0.442138854630262
"67",1,1975,"MAB",8.86294855403384,8.41805994511585,0.444888608917992
"68",1,1975,"SS",7.53185713930574,7.42985652396917,0.10200061533657
"69",1,1976,"GB",6.352430354616,6.68761363250753,-0.335183277891533
"70",1,1976,"GOM",7.64035077219603,7.583798679316,0.0565520928800316
"71",1,1976,"MAB",9.10926239228036,8.41805994511585,0.691202447164516
"72",1,1976,"SS",7.37183338643592,7.42985652396917,-0.0580231375332492
"73",1,1977,"GB",5.12697363378992,6.68761363250753,-1.56063999871761
"74",1,1977,"GOM",6.3758054798891,7.583798679316,-1.2079931994269
"75",1,1977,"MAB",6.07384867510192,8.41805994511585,-2.34421127001393
"76",1,1977,"SS",6.52612140866419,7.42985652396917,-0.903735115304977
"77",1,1978,"GB",5.71232592394051,6.68761363250753,-0.975287708567024
"78",1,1978,"GOM",6.10828110244361,7.583798679316,-1.47551757687239
"79",1,1978,"MAB",7.73479905887206,8.41805994511585,-0.683260886243785
"80",1,1978,"SS",6.29954409339163,7.42985652396917,-1.13031243057753
"81",1,1979,"GB",5.27791567426435,6.68761363250753,-1.40969795824318
"82",1,1979,"GOM",5.99707655314111,7.583798679316,-1.58672212617489
"83",1,1979,"MAB",7.51809324253487,8.41805994511585,-0.899966702580974
"84",1,1979,"SS",6.29678557139756,7.42985652396917,-1.13307095257161
"85",1,1980,"GB",5.31492380648277,6.68761363250753,-1.37268982602476
"86",1,1980,"GOM",6.25051993399704,7.583798679316,-1.33327874531896
"87",1,1980,"MAB",6.95949488646298,8.41805994511585,-1.45856505865287
"88",1,1980,"SS",6.76869289460251,7.42985652396917,-0.661163629366659
"89",1,1981,"GB",4.86838154668034,6.68761363250753,-1.81923208582719
"90",1,1981,"GOM",5.42046077619917,7.583798679316,-2.16333790311683
"91",1,1981,"MAB",6.0052672340869,8.41805994511585,-2.41279271102895
"92",1,1981,"SS",6.41640208351425,7.42985652396917,-1.01345444045492
"93",1,1982,"GB",5.17990730242554,6.68761363250753,-1.50770633008199
"94",1,1982,"GOM",6.00900302304308,7.583798679316,-1.57479565627292
"95",1,1982,"MAB",6.72303584097195,8.41805994511585,-1.6950241041439
"96",1,1982,"SS",6.88722948280807,7.42985652396917,-0.542627041161094
"97",1,1983,"GB",6.75538809881404,6.68761363250753,0.0677744663065099
"98",1,1983,"GOM",5.95617355422109,7.583798679316,-1.62762512509491
"99",1,1983,"MAB",8.71823918221053,8.41805994511585,0.300179237094683
"100",1,1983,"SS",6.18234370218839,7.42985652396917,-1.24751282178077
"101",1,1984,"GB",5.81876938230605,6.68761363250753,-0.868844250201481
"102",1,1984,"GOM",6.59334603417064,7.583798679316,-0.990452645145365
"103",1,1984,"MAB",7.84003384876112,8.41805994511585,-0.578026096354731
"104",1,1984,"SS",6.77771623210408,7.42985652396917,-0.652140291865091
"105",1,1985,"GB",6.44002069061223,6.68761363250753,-0.2475929418953
"106",1,1985,"GOM",6.72506268180306,7.583798679316,-0.858735997512945
"107",1,1985,"MAB",7.98227006603961,8.41805994511585,-0.435789879076243
"108",1,1985,"SS",7.58936388114044,7.42985652396917,0.159507357171272
"109",1,1986,"GB",6.56595469578018,6.68761363250753,-0.121658936727352
"110",1,1986,"GOM",7.05838506850457,7.583798679316,-0.525413610811429
"111",1,1986,"MAB",8.74429846792358,8.41805994511585,0.326238522807733
"112",1,1986,"SS",7.14785738993685,7.42985652396917,-0.281999134032319
"113",1,1987,"GB",6.03256674815766,6.68761363250753,-0.655046884349875
"114",1,1987,"GOM",6.904038485971,7.583798679316,-0.679760193345001
"115",1,1987,"MAB",7.83194131604658,8.41805994511585,-0.586118629069263
"116",1,1987,"SS",6.76521326406239,7.42985652396917,-0.664643259906777
"117",1,1988,"GB",5.70992741448979,6.68761363250753,-0.977686218017744
"118",1,1988,"GOM",6.94705877922711,7.583798679316,-0.636739900088897
"119",1,1988,"MAB",7.70324289090283,8.41805994511585,-0.714817054213018
"120",1,1988,"SS",6.95477354199816,7.42985652396917,-0.475082981971003
"121",1,1989,"GB",5.71216659107347,6.68761363250753,-0.975447041434061
"122",1,1989,"GOM",6.71876199860379,7.583798679316,-0.865036680712208
"123",1,1989,"MAB",7.70295186692336,8.41805994511585,-0.715108078192484
"124",1,1989,"SS",6.04492173068274,7.42985652396917,-1.38493479328642
"125",1,1990,"GB",5.81854108490361,6.68761363250753,-0.869072547603919
"126",1,1990,"GOM",6.75736023427539,7.583798679316,-0.826438445040614
"127",1,1990,"MAB",8.50248988587512,8.41805994511585,0.0844299407592768
"128",1,1990,"SS",6.44229358959497,7.42985652396917,-0.987562934374193
