Year,Lower95,Median,Upper95,Calves
1990,260,264,271,12
1991,266,271,277,17
1992,277,281,287,12
1993,273,276,281,6
1994,284,286,290,9
1995,290,292,295,7
1996,300,303,307,21
1997,311,313,317,19
1998,310,313,316,5
1999,309,311,315,4
2000,307,308,311,1
2001,331,332,334,31
2002,344,345,347,21
2003,358,359,362,19
2004,366,367,370,16
2005,390,391,394,28
2006,400,402,405,19
2007,411,412,414,23
2008,430,431,434,23
2009,460,461,464,39
2010,473,476,479,19
2011,478,481,485,22
2012,468,473,478,7
2013,473,478,485,20
2014,468,474,481,11
2015,461,470,479,17
2016,447,453,461,14
2017,426,430,436,5
2018,385,388,392,0
2019,371,374,377,7
2020,344,348,354,10
2021,333,340,348,18
2022,NA,NA,NA,20
