,Time,Value,EPU,Source,Var,Units
0,1993,-1.1400771141052246,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
1,1994,-0.47298336029052734,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
2,1995,0.8907442092895508,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
3,1996,-1.299203872680664,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
4,1997,0.9755382537841797,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
5,1998,-0.6639213562011719,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
6,1999,0.7122011184692383,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
7,2000,-0.21161174774169922,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
8,2001,-0.20600605010986328,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
9,2002,1.397324562072754,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
10,2003,-0.9302330017089844,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
11,2004,-1.3040142059326172,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
12,2005,-0.6127414703369141,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
13,2006,1.1002798080444336,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
14,2007,0.6864175796508789,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
15,2008,0.8016843795776367,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
16,2009,-0.8764934539794922,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
17,2010,-1.4085745811462402,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
18,2011,-1.2237334251403809,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
19,2012,2.2087888717651367,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
20,2013,0.06760501861572266,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
21,2014,-0.2970132827758789,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
22,2015,-1.0155754089355469,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
23,2016,1.2976818084716797,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
24,2017,0.7596044540405273,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
25,2018,-0.3338003158569336,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
26,2019,1.070683479309082,MAB,MOM6,Winter_Bottom Temp Anomaly,degrees C
27,1993,-1.1646690368652344,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
28,1994,-0.27287960052490234,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
29,1995,1.1343002319335938,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
30,1996,-0.2658414840698242,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
31,1997,0.2960243225097656,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
32,1998,-0.6722002029418945,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
33,1999,-0.18021678924560547,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
34,2000,0.5853786468505859,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
35,2001,-0.0695352554321289,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
36,2002,1.8531808853149414,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
37,2003,-0.09365463256835938,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
38,2004,-1.3900079727172852,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
39,2005,-0.7546415328979492,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
40,2006,0.35624122619628906,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
41,2007,-0.8807868957519531,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
42,2008,0.4236316680908203,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
43,2009,-0.44570255279541016,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
44,2010,-1.3175106048583984,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
45,2011,-0.6414518356323242,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
46,2012,1.9303064346313477,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
47,2013,-0.29255104064941406,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
48,2014,-0.4442119598388672,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
49,2015,-0.9278135299682617,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
50,2016,0.8799114227294922,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
51,2017,0.5272483825683594,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
52,2018,0.5671634674072266,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
53,2019,1.5616397857666016,MAB,MOM6,Spring_Bottom Temp Anomaly,degrees C
54,1993,-0.9602651596069336,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
55,1994,-0.19244098663330078,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
56,1995,1.908228874206543,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
57,1996,0.06622886657714844,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
58,1997,0.1933155059814453,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
59,1998,-0.5734968185424805,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
60,1999,0.17060184478759766,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
61,2000,0.6001482009887695,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
62,2001,-0.10658550262451172,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
63,2002,1.5545835494995117,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
64,2003,-0.47243690490722656,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
65,2004,-1.2913885116577148,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
66,2005,-1.0950727462768555,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
67,2006,0.48951244354248047,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
68,2007,-0.6397314071655273,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
69,2008,0.3495035171508789,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
70,2009,-0.28383731842041016,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
71,2010,-0.8206577301025391,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
72,2011,-0.3743619918823242,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
73,2012,0.9943132400512695,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
74,2013,-0.30791664123535156,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
75,2014,0.1562051773071289,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
76,2015,0.12421894073486328,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
77,2016,0.9659509658813477,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
78,2017,0.506922721862793,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
79,2018,0.6395320892333984,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
80,2019,1.0503225326538086,MAB,MOM6,Summer_Bottom Temp Anomaly,degrees C
81,1993,-0.5452308654785156,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
82,1994,-0.24975204467773438,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
83,1995,0.2047443389892578,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
84,1996,-0.05224609375,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
85,1997,-1.3838977813720703,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
86,1998,-0.2582683563232422,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
87,1999,-0.1845254898071289,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
88,2000,-0.2283935546875,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
89,2001,0.5155820846557617,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
90,2002,0.07526016235351562,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
91,2003,-0.6773319244384766,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
92,2004,-0.4114952087402344,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
93,2005,-0.10403251647949219,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
94,2006,0.4582357406616211,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
95,2007,-0.38172245025634766,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
96,2008,-0.11882209777832031,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
97,2009,-0.28322601318359375,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
98,2010,-0.9900360107421875,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
99,2011,-0.1296062469482422,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
