season,year,subarea,source,bt_temp,ref_bt,anomaly
4,1959,GB,ROMS,10.45956968,11.60915466,-1.149584975
2,1959,GB,ROMS,6.514223985,7.538449219,-1.024225234
3,1959,GB,ROMS,9.73443333,11.28611562,-1.551682292
1,1959,GB,ROMS,5.201562306,6.690226629,-1.488664323
4,1959,GOM,ROMS,6.477498975,7.948001863,-1.470502888
2,1959,GOM,ROMS,5.524499977,6.473068974,-0.948568998
3,1959,GOM,ROMS,5.775757207,7.145719277,-1.36996207
1,1959,GOM,ROMS,6.60202739,7.319955305,-0.717927915
4,1959,MAB,ROMS,12.93403435,13.5363828,-0.602348444
2,1959,MAB,ROMS,7.479977036,9.169868767,-1.689891731
3,1959,MAB,ROMS,9.917186279,12.77669184,-2.859505562
1,1959,MAB,ROMS,7.295814641,8.278884645,-0.983070004
4,1959,SS,ROMS,7.774089349,8.938373618,-1.164284269
2,1959,SS,ROMS,6.1220101,6.75600948,-0.63399938
3,1959,SS,ROMS,7.691495906,8.355489749,-0.663993843
1,1959,SS,ROMS,5.322427921,7.096705525,-1.774277604
4,1960,GB,ROMS,10.07343848,11.60915466,-1.535716182
2,1960,GB,ROMS,6.701706406,7.538449219,-0.836742813
3,1960,GB,ROMS,9.955243901,11.28611562,-1.330871721
1,1960,GB,ROMS,6.167142458,6.690226629,-0.523084171
4,1960,GOM,ROMS,6.049305227,7.948001863,-1.898696635
2,1960,GOM,ROMS,5.446698907,6.473068974,-1.026370067
3,1960,GOM,ROMS,5.432818625,7.145719277,-1.712900652
1,1960,GOM,ROMS,5.889675953,7.319955305,-1.430279351
4,1960,MAB,ROMS,13.19830703,13.5363828,-0.338075763
2,1960,MAB,ROMS,7.198146504,9.169868767,-1.971722263
3,1960,MAB,ROMS,10.28580408,12.77669184,-2.490887763
1,1960,MAB,ROMS,7.910105763,8.278884645,-0.368778882
4,1960,SS,ROMS,7.509160944,8.938373618,-1.429212673
2,1960,SS,ROMS,5.900946817,6.75600948,-0.855062663
