Community,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1 std
"CAPE MAY, NJ",7.069,6.844,5.806,6.934,7.977,7.86,7.306,7.743,6.982,5.564,6.47,7.306,7.581,7.33,7.026,1
"REEDVILLE, VA",6.395,6.207,5.989,5.944,6.253,6.431,6.422,6.173,6.273,6.279,6.285,6.363,6.172,6.192,6.202,1
"MONTAUK, NY",4.738,4.332,4.384,4.638,4.466,4.123,4.636,4.682,4.56,4.7,4.315,4.58,4.535,4.416,4.465,1
"POINT PLEASANT, NJ",3.74,3.68,4.039,3.679,4.074,3.802,4.147,3.889,3.896,3.568,3.96,4.162,4.419,4.237,4.091,1
"OCEAN CITY, MD",3.292,1.203,1.493,1.672,1.836,1.574,1.789,1.574,1.225,1.268,1.481,1.506,1.556,1.095,0.934,1
"HAMPTON BAYS, NY",3.006,2.929,2.372,2.469,2.341,2.121,2.254,2,2.298,2.786,2.584,2.418,2.603,2.437,2.395,1
"BARNEGAT LIGHT, NJ",2.962,2.649,2.408,2.49,2.527,2.373,2.44,2.411,2.33,2.334,2.288,2.283,2.207,2.378,2.35,1
"NEWPORT NEWS, VA",2.845,2.165,1.663,2.159,2.34,2.201,2.081,2.017,1.67,1.385,1.389,1.986,1.997,1.645,1.673,1
"HAMPTON, VA",1.97,1.267,0.763,0.855,0.804,0.834,0.726,0.93,0.878,0.87,0.856,1.176,1.379,1.107,0.783,1
"ATLANTIC CITY, NJ",1.802,2.01,2.218,2.422,2.348,2.205,1.859,2.023,1.748,1.766,1.903,1.878,1.688,1.548,1.467,1
"WANCHESE, NC",1.782,1.667,1.657,1.834,2.341,1.633,1.615,1.443,1.392,1.503,1.611,1.597,1.946,1.781,1.403,1
"FREEPORT, NY",1.249,0.648,0.59,0.528,0.846,0.659,0.652,0.931,0.697,0.575,0.574,0.659,0.625,0.636,0.712,1
"CHINCOTEAGUE, VA",1.164,1.289,1.01,0.69,0.406,0.418,0.242,0.293,0.381,0.459,0.512,0.428,0.306,0.283,0.233,1
"BELFORD, NJ",1.097,0.91,0.909,0.925,1.021,0.816,0.824,0.717,0.744,0.784,0.715,0.74,0.867,0.657,0.676,1
"BEAUFORT, NC",0.757,0.613,0.442,0.507,0.567,0.474,0.557,0.58,0.597,0.941,1.022,1.175,1.24,0.895,1.065,1
