"StartDate","NARW_Occur","NARW_True_Tally","NARW_Suggested_Daily_Presence","PROJECT_DESCRIPTION","Fin_Occur","Humpback_Occur","Minke_Occur","Blue_Occur","Sei_Occur","Sei_Singles","Sei_Suggested_Daily_Presence","DeploymentStart","Site","Sperm_Occur","Dolphin_Occur","Porpoise_Occur","Full_Day","PROJECT_NAME","SITE_NAME","START_USABLE_DATA_DATETIME_UTC","START_USABLE_DATE_EST","END_USABLE_DATA_DATETIME_UTC","END_USABLE_DATE_EST","ITEM_DESCRIPTION","LATITUDE_DDG_DEPLOYMENT","LONGITUDE_DDG_DEPLOYMENT","DataStart","DataEnd"
2020-01-23,1,3,"","NEFSC_MA-RI_202001_NS01","0",1,0,0,0,"","",1,"NS01",0,0,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
2020-01-24,1,3,"","NEFSC_MA-RI_202001_NS01","0",1,0,0,2,"11:13:47","YES",0,"NS01",0,0,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
2020-01-25,1,3,"","NEFSC_MA-RI_202001_NS01","1",0,0,0,0,"","",0,"NS01",0,1,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
2020-01-26,1,3,"","NEFSC_MA-RI_202001_NS01","0",1,0,0,0,"","",0,"NS01",0,0,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
2020-01-27,1,3,"","NEFSC_MA-RI_202001_NS01","0",1,0,0,0,"","",0,"NS01",0,0,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
2020-01-28,1,3,"","NEFSC_MA-RI_202001_NS01","0",1,0,0,0,"","",0,"NS01",0,0,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
2020-01-29,1,3,"","NEFSC_MA-RI_202001_NS01","0",0,0,0,0,"","",0,"NS01",0,1,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
2020-01-30,1,3,"","NEFSC_MA-RI_202001_NS01","0",1,0,0,0,"","",0,"NS01",0,0,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
2020-01-31,1,3,"","NEFSC_MA-RI_202001_NS01","0",1,0,1,0,"","",0,"NS01",0,1,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
2020-02-01,1,3,"","NEFSC_MA-RI_202001_NS01","1",1,0,1,0,"","",0,"NS01",0,0,NA,NA,"NEFSC_MA-RI_202001","NS01","1/23/2020 2:00:00.000000 PM",2020-01-23 09:00:00,"3/28/2020 4:00:00.000000 PM",2020-03-28 11:00:00,"SoundTrap500","41.03389","-70.34139",2020-01-23,2020-03-28
