Date,2023 Daily,2010-2022 avg,2010-2022 min,2010-2022 max
1/1/2023 0:00,16.62,11.71,7.51,16.98
1/2/2023 0:00,16.59,11.33,7.75,16.37
1/3/2023 0:00,16.32,11.5,7.03,16.47
1/4/2023 0:00,15.87,11.16,7.03,16.94
1/5/2023 0:00,15.84,11.21,7.49,17.07
1/6/2023 0:00,16.07,11.1,6.71,16.83
1/7/2023 0:00,15.86,11.57,6.74,16.79
1/8/2023 0:00,14.98,11.03,6.3,16.97
1/9/2023 0:00,12.7,11.9,7.06,16.91
1/10/2023 0:00,12.68,11.49,6.15,17
1/11/2023 0:00,10.42,12.07,6.28,16.97
1/12/2023 0:00,9.72,12.37,6.13,16.65
1/13/2023 0:00,11.3,11.87,6.48,16.56
1/14/2023 0:00,14.18,11.55,6.79,16.88
1/15/2023 0:00,14.16,11.77,7,17.05
1/16/2023 0:00,14.38,12.15,7.04,17.04
1/17/2023 0:00,13.84,12.21,7.1,17.03
1/18/2023 0:00,11.87,11.75,7.03,17.16
1/19/2023 0:00,12.75,11.96,7.7,16.04
1/20/2023 0:00,12.77,12.08,7.92,16.01
1/21/2023 0:00,14.1,12.41,7.92,16.51
1/22/2023 0:00,14.2,12.55,8.09,16.45
1/23/2023 0:00,14.08,12.55,8.05,16.17
1/24/2023 0:00,13.72,12.7,7.08,16.45
1/25/2023 0:00,14.04,12.97,11.38,15.81
1/26/2023 0:00,13.78,13.49,9.48,15.92
1/27/2023 0:00,14.04,13.59,9.37,16.59
1/28/2023 0:00,13.85,13.51,10.42,16.37
1/29/2023 0:00,13.75,13.7,9.72,16.38
1/30/2023 0:00,13.65,13.63,11.84,16.83
1/31/2023 0:00,13.99,14.1,11.61,16.66
2/1/2023 0:00,14.24,13.93,10.5,16.7
2/2/2023 0:00,13.82,13.73,12.17,16.31
2/3/2023 0:00,13.66,13.73,10.26,16.76
2/4/2023 0:00,13.62,13.52,11.65,16.76
2/5/2023 0:00,13.88,13.76,11.78,16.78
2/6/2023 0:00,13.71,13.83,11.79,16.84
2/7/2023 0:00,14.52,13.65,11.29,16.85
2/8/2023 0:00,14.13,13.68,11.32,16.57
2/9/2023 0:00,14.38,13.62,11.01,16.72
2/10/2023 0:00,14.25,13.58,9.2,16.95
2/11/2023 0:00,14.7,13.42,9.48,17.22
2/12/2023 0:00,14.7,13.67,9.66,16.69
2/13/2023 0:00,14.8,13.82,10.22,17.2
2/14/2023 0:00,13.23,13.79,10.92,17.06
2/15/2023 0:00,12.75,13.63,10.08,16.96
2/16/2023 0:00,12.5,13.62,10.78,17.08
2/17/2023 0:00,13.44,13.64,11.37,16.62
2/18/2023 0:00,14.32,14.13,11.27,16.69
2/19/2023 0:00,14.89,14.14,10.47,16.97
2/20/2023 0:00,15.34,13.93,10.25,17.28
2/21/2023 0:00,15.23,13.6,10.31,17.25
2/22/2023 0:00,15.3,13.5,9.84,17.41
2/23/2023 0:00,15.27,13.26,9.88,17.43
2/24/2023 0:00,15.22,13.34,10.01,17.1
2/25/2023 0:00,14.9,13.69,8.58,17.06
2/26/2023 0:00,14.46,12.95,5.47,16.89
2/27/2023 0:00,14.1,12.36,5.71,16.94
2/28/2023 0:00,14.01,12.28,5.67,16.96
3/1/2023 0:00,13.9,12.14,6.58,16.84
3/2/2023 0:00,13.96,12.16,6.85,16.87
3/3/2023 0:00,14.32,12.26,6.1,16.55
3/4/2023 0:00,14.58,12.62,10.11,15.78
3/5/2023 0:00,14.17,12.03,7.02,14.93
3/6/2023 0:00,13.87,12.26,8.22,15.25
3/7/2023 0:00,13.41,12.31,8.54,15.25
3/8/2023 0:00,13.12,12.35,8.51,14.89
3/9/2023 0:00,13.07,12.21,9.15,15.95
3/10/2023 0:00,13.85,11.1,8.88,14.53
3/11/2023 0:00,13.42,11.48,9.2,15.5
3/12/2023 0:00,13.87,11.15,5.62,14.86
3/13/2023 0:00,13.68,10.55,3.97,14.47
3/14/2023 0:00,14.62,10.79,3.47,15.3
3/15/2023 0:00,14.57,10.43,3.43,15.3
3/16/2023 0:00,14.97,9.99,2.69,15.11
3/17/2023 0:00,14.95,9.84,2.77,15.38
3/18/2023 0:00,14.8,9.97,2.84,15.56
3/19/2023 0:00,15.09,10.09,2.98,15.12
3/20/2023 0:00,14.91,10.28,5,14.2
3/21/2023 0:00,14.53,9.68,6.11,14.06
3/22/2023 0:00,14.52,9.8,6.57,14.79
3/23/2023 0:00,14.56,10.04,5.89,14.31
3/24/2023 0:00,14.68,9.78,6.75,13.82
3/25/2023 0:00,14.86,9.31,5.41,13.58
3/26/2023 0:00,14.74,9.09,5.38,14.24
