"","Time","EPU","Var","Value"
"117",1991,"MAB","falltrans",308
"118",1991,"MAB","maxday",204
"119",1991,"MAB","sprtrans",135
"120",1991,"MAB","sumlen",173
"121",1992,"GB","falltrans",313
"122",1992,"GB","maxday",240
"123",1992,"GB","sprtrans",163
"124",1992,"GB","sumlen",150
"125",1992,"GOM","falltrans",299
"126",1992,"GOM","maxday",239
"127",1992,"GOM","sprtrans",161
"128",1992,"GOM","sumlen",138
"129",1992,"MAB","falltrans",310
"130",1992,"MAB","maxday",226
"131",1992,"MAB","sprtrans",157
"132",1992,"MAB","sumlen",153
"133",1993,"GB","falltrans",327
"134",1993,"GB","maxday",246
"135",1993,"GB","sprtrans",165
"136",1993,"GB","sumlen",162
"137",1993,"GOM","falltrans",300
"138",1993,"GOM","maxday",241
"139",1993,"GOM","sprtrans",165
"140",1993,"GOM","sumlen",135
"141",1993,"MAB","falltrans",307
"142",1993,"MAB","maxday",242
"143",1993,"MAB","sprtrans",152
"144",1993,"MAB","sumlen",155
"145",1994,"GB","falltrans",326
"146",1994,"GB","maxday",213
"147",1994,"GB","sprtrans",156
"148",1994,"GB","sumlen",170
"149",1994,"GOM","falltrans",314
"150",1994,"GOM","maxday",214
"151",1994,"GOM","sprtrans",158
"152",1994,"GOM","sumlen",156
"153",1994,"MAB","falltrans",321
"154",1994,"MAB","maxday",200
"155",1994,"MAB","sprtrans",150
"156",1994,"MAB","sumlen",171
"157",1995,"GB","falltrans",328
"158",1995,"GB","maxday",229
"159",1995,"GB","sprtrans",173
"160",1995,"GB","sumlen",155
"161",1995,"GOM","falltrans",315
"162",1995,"GOM","maxday",227
"163",1995,"GOM","sprtrans",159
"164",1995,"GOM","sumlen",156
"165",1995,"MAB","falltrans",323
"166",1995,"MAB","maxday",210
"167",1995,"MAB","sprtrans",147
"168",1995,"MAB","sumlen",176
"169",1996,"GB","falltrans",308
"170",1996,"GB","maxday",238
"171",1996,"GB","sprtrans",163
"172",1996,"GB","sumlen",145
"173",1996,"GOM","falltrans",308
"174",1996,"GOM","maxday",237
"175",1996,"GOM","sprtrans",155
"176",1996,"GOM","sumlen",153
"177",1996,"MAB","falltrans",306
"178",1996,"MAB","maxday",238
"179",1996,"MAB","sprtrans",153
"180",1996,"MAB","sumlen",153
"181",1997,"GB","falltrans",321
"182",1997,"GB","maxday",229
"183",1997,"GB","sprtrans",166
"184",1997,"GB","sumlen",155
"185",1997,"GOM","falltrans",311
"186",1997,"GOM","maxday",228
"187",1997,"GOM","sprtrans",162
"188",1997,"GOM","sumlen",149
"189",1997,"MAB","falltrans",312
"190",1997,"MAB","maxday",229
"191",1997,"MAB","sprtrans",162
"192",1997,"MAB","sumlen",150
"193",1998,"GB","falltrans",310
"194",1998,"GB","maxday",222
"195",1998,"GB","sprtrans",164
"196",1998,"GB","sumlen",146
