Year,  Month,  Var,    Value,    Var,        Value,    Var,         Value,    EPU,      Units
1994,  03,     T15m,   -0.39,    T15mto40m,   -0.12,    TBlw40m,     0.33,    GOMGB,    10^6 m^3/s
1994,  04,     T15m,   -0.25,    T15mto40m,   -0.09,    TBlw40m,     1.38,    GOMGB,    10^6 m^3/s
1994,  05,     T15m,   -0.21,    T15mto40m,    0.03,    TBlw40m,     0.27,    GOMGB,    10^6 m^3/s
1994,  06,     T15m,   -0.29,    T15mto40m,   -0.07,    TBlw40m,     0.13,    GOMGB,    10^6 m^3/s
1995,  03,     T15m,   -0.04,    T15mto40m,    0.11,    TBlw40m,     0.01,    GOMGB,    10^6 m^3/s
1995,  04,     T15m,   -0.24,    T15mto40m,   -0.05,    TBlw40m,    -0.26,    GOMGB,    10^6 m^3/s
1995,  05,     T15m,   -0.09,    T15mto40m,    0.06,    TBlw40m,     0.10,    GOMGB,    10^6 m^3/s
1995,  06,     T15m,   -0.17,    T15mto40m,   -0.11,    TBlw40m,    -0.40,    GOMGB,    10^6 m^3/s
1996,  03,     T15m,   -0.32,    T15mto40m,   -0.01,    TBlw40m,     0.17,    GOMGB,    10^6 m^3/s
1996,  04,     T15m,   -0.43,    T15mto40m,   -0.23,    TBlw40m,    -0.24,    GOMGB,    10^6 m^3/s
1996,  05,     T15m,   -0.22,    T15mto40m,   -0.05,    TBlw40m,     0.05,    GOMGB,    10^6 m^3/s
1996,  06,     T15m,   -0.16,    T15mto40m,   -0.04,    TBlw40m,    -0.71,    GOMGB,    10^6 m^3/s
1997,  03,     T15m,   -0.45,    T15mto40m,   -0.18,    TBlw40m,    -0.04,    GOMGB,    10^6 m^3/s
1997,  04,     T15m,   -0.28,    T15mto40m,    0.07,    TBlw40m,    -0.25,    GOMGB,    10^6 m^3/s
1997,  05,     T15m,   -0.38,    T15mto40m,   -0.03,    TBlw40m,     0.18,    GOMGB,    10^6 m^3/s
1997,  06,     T15m,   -0.03,    T15mto40m,    0.10,    TBlw40m,    -0.05,    GOMGB,    10^6 m^3/s
1998,  03,     T15m,   -0.30,    T15mto40m,   -0.23,    TBlw40m,    -0.29,    GOMGB,    10^6 m^3/s
1998,  04,     T15m,   -0.19,    T15mto40m,   -0.01,    TBlw40m,    -0.26,    GOMGB,    10^6 m^3/s
1998,  05,     T15m,    0.03,    T15mto40m,    0.07,    TBlw40m,    -0.31,    GOMGB,    10^6 m^3/s
1998,  06,     T15m,   -0.26,    T15mto40m,   -0.04,    TBlw40m,    -0.46,    GOMGB,    10^6 m^3/s
1999,  03,     T15m,   -0.39,    T15mto40m,   -0.11,    TBlw40m,     0.02,    GOMGB,    10^6 m^3/s
1999,  04,     T15m,   -0.21,    T15mto40m,    0.07,    TBlw40m,    -0.46,    GOMGB,    10^6 m^3/s
1999,  05,     T15m,    0.11,    T15mto40m,    0.12,    TBlw40m,     0.24,    GOMGB,    10^6 m^3/s
1999,  06,     T15m,   -0.06,    T15mto40m,    0.07,    TBlw40m,     0.03,    GOMGB,    10^6 m^3/s
2000,  03,     T15m,   -0.15,    T15mto40m,   -0.04,    TBlw40m,    -0.55,    GOMGB,    10^6 m^3/s
2000,  04,     T15m,   -0.08,    T15mto40m,    0.06,    TBlw40m,    -0.70,    GOMGB,    10^6 m^3/s
