,mean,median,lower,upper,EPU,YEAR
GB_2000,47.56,48,45.95,49.05,GB_,2000
GB_2001,46.98,47,45,49,GB_,2001
GB_2002,48.71,49,47,51,GB_,2002
GB_2003,47.29,47,45,49.05,GB_,2003
GB_2004,47.92,48,46,50,GB_,2004
GB_2005,47.9,48,46,50,GB_,2005
GB_2006,48.15,48,46.95,50,GB_,2006
GB_2007,46.67,47,45,48,GB_,2007
GB_2008,47.37,47,45,50,GB_,2008
GB_2009,48.42,48,46.95,50.05,GB_,2009
GB_2010,49.19,49,48,51,GB_,2010
GB_2011,49.29,49,47,51,GB_,2011
GB_2012,50.67,51,49,53,GB_,2012
GB_2013,49.96,50,48,52,GB_,2013
GB_2014,49.64,50,48,52,GB_,2014
GB_2015,50.21,50,48,53,GB_,2015
GB_2016,50.28,50,48,52,GB_,2016
GB_2017,47.65,48,45,50,GB_,2017
GB_2018,50.55,51,49,53,GB_,2018
GB_2019,50,50,48,52,GB_,2019
GOM_2000,44.22,44,42,46,GOM,2000
GOM_2001,44.39,44,42,46,GOM,2001
GOM_2002,45.76,46,44,48,GOM,2002
GOM_2003,43.18,43,41,46,GOM,2003
GOM_2004,43.61,44,42,46,GOM,2004
GOM_2005,44.75,45,43,47,GOM,2005
GOM_2006,45.16,45,43,47,GOM,2006
GOM_2007,44.85,45,43,47,GOM,2007
GOM_2008,44.45,45,42,47,GOM,2008
GOM_2009,46.21,46,44,49,GOM,2009
GOM_2010,45.38,45,44,48,GOM,2010
GOM_2011,46.43,46,44.95,48,GOM,2011
GOM_2012,47.59,48,45.95,50,GOM,2012
GOM_2013,47.39,47,46,49,GOM,2013
GOM_2014,46.42,47,45,48,GOM,2014
GOM_2015,47.58,48,46,49,GOM,2015
GOM_2016,48.28,48,47,50,GOM,2016
GOM_2017,46.43,46,44,49,GOM,2017
GOM_2018,47.98,48,46,50,GOM,2018
GOM_2019,48.22,48,46,50,GOM,2019
MAB_2000,51.2,51,49,53,MAB,2000
MAB_2001,52.61,53,51,54,MAB,2001
MAB_2002,51.57,52,49.95,54,MAB,2002
MAB_2003,51.01,51,49,53,MAB,2003
MAB_2004,52.75,53,51,55,MAB,2004
MAB_2005,51.93,52,50,54,MAB,2005
MAB_2006,50.41,50,49,53,MAB,2006
MAB_2007,50.72,51,49,53,MAB,2007
MAB_2008,51.73,52,50,53.05,MAB,2008
MAB_2009,51.07,51,49.95,53,MAB,2009
MAB_2010,50.33,50,49,52,MAB,2010
MAB_2011,50.97,51,49,53,MAB,2011
MAB_2012,50.33,50,49,52,MAB,2012
MAB_2013,50.49,50,49,52,MAB,2013
MAB_2014,51.32,51,50,53,MAB,2014
MAB_2015,50.61,51,48.95,52,MAB,2015
MAB_2016,49.38,49,48,51,MAB,2016
MAB_2017,48.27,48,47,50,MAB,2017
MAB_2018,49.45,49,48,51,MAB,2018
MAB_2019,48.91,49,47,51,MAB,2019
SS_2000,39.2,39,37,41,SS_,2000
SS_2001,38.56,38.5,37,40.05,SS_,2001
SS_2002,40.87,41,38.95,44,SS_,2002
SS_2003,38.84,39,37,41,SS_,2003
SS_2004,37.99,38,37,39,SS_,2004
SS_2005,37.97,38,37,40,SS_,2005
SS_2006,38.71,39,37,41,SS_,2006
SS_2007,38.37,38,37,40,SS_,2007
SS_2008,38.6,38,37,40,SS_,2008
SS_2009,39.5,39,38,42,SS_,2009
SS_2010,39.74,40,38,42,SS_,2010
SS_2011,38.29,38,36.95,40,SS_,2011
SS_2012,40.45,40,38,43,SS_,2012
SS_2013,40.93,41,39,43.05,SS_,2013
SS_2014,39.22,39,37.95,41,SS_,2014
SS_2015,41.91,42,39,45,SS_,2015
SS_2016,43.11,43,40.95,46,SS_,2016
SS_2017,40.64,41,38.95,43,SS_,2017
SS_2018,39.44,40,36,42,SS_,2018
SS_2019,40.73,41,38,43.05,SS_,2019
