Species,EPU,sex,YEAR,MeanCond,nCond,n
American Plaice,GB,F,1992,107.9641038182067,10,23
American Plaice,GB,F,1993,108.28168988330187,5,23
American Plaice,GB,F,1994,108.93216507668387,6,23
American Plaice,GB,F,1995,104.00611972833408,9,23
American Plaice,GB,F,1996,105.75026361925434,7,23
American Plaice,GB,F,1997,104.06929656793928,27,23
American Plaice,GB,F,1998,103.923643216861,16,23
American Plaice,GB,F,1999,98.69113050982452,17,23
American Plaice,GB,F,2000,101.7520553942512,19,23
American Plaice,GB,F,2002,96.02774506425189,7,23
American Plaice,GB,F,2003,99.96778473264699,22,23
American Plaice,GB,F,2004,104.37674876261175,5,23
American Plaice,GB,F,2005,95.57393487172857,7,23
American Plaice,GB,F,2006,102.48227902685005,18,23
American Plaice,GB,F,2007,100.71226465898835,12,23
American Plaice,GB,F,2008,104.91834937864796,28,23
American Plaice,GB,F,2009,100.28159164989087,42,23
American Plaice,GB,F,2010,98.62741696442755,12,23
American Plaice,GB,F,2011,104.9125122073467,17,23
American Plaice,GB,F,2012,99.5349873931188,3,23
American Plaice,GB,F,2013,102.22401486831777,3,23
American Plaice,GB,F,2015,100.4750654662663,4,23
American Plaice,GB,F,2016,101.15650324926865,7,23
American Plaice,GB,M,1992,99.9050606319314,3,25
American Plaice,GB,M,1993,102.35177653212767,6,25
American Plaice,GB,M,1994,101.60112954058143,4,25
American Plaice,GB,M,1995,108.92975987982237,7,25
American Plaice,GB,M,1996,106.63862284843545,11,25
American Plaice,GB,M,1997,107.25246498229829,40,25
American Plaice,GB,M,1998,104.96138113797329,28,25
American Plaice,GB,M,1999,106.67652924325184,5,25
American Plaice,GB,M,2000,106.10434915871701,9,25
American Plaice,GB,M,2001,97.17575322616725,6,25
American Plaice,GB,M,2002,103.12605507332387,29,25
American Plaice,GB,M,2003,104.27971146410114,19,25
American Plaice,GB,M,2004,100.3247163412664,6,25
American Plaice,GB,M,2005,101.59764290249755,6,25
American Plaice,GB,M,2006,106.21669932297706,22,25
American Plaice,GB,M,2007,106.29378125208677,15,25
American Plaice,GB,M,2008,105.18397794604093,39,25
American Plaice,GB,M,2009,101.77056211838477,34,25
American Plaice,GB,M,2010,100.39507027832211,17,25
American Plaice,GB,M,2011,103.95954678901234,11,25
American Plaice,GB,M,2012,92.77810380652485,6,25
American Plaice,GB,M,2013,101.61657911189283,6,25
American Plaice,GB,M,2014,103.90485802311593,6,25
American Plaice,GB,M,2015,101.43625476724567,13,25
American Plaice,GB,M,2016,101.67657262953034,11,25
Atl Cod,GB,F,1992,100.43941137312984,45,27
Atl Cod,GB,F,1993,100.21799201940392,34,27
Atl Cod,GB,F,1994,99.45878553929332,50,27
Atl Cod,GB,F,1995,99.3213108622093,33,27
Atl Cod,GB,F,1996,100.82531359471514,62,27
Atl Cod,GB,F,1997,100.76258295440208,118,27
Atl Cod,GB,F,1998,100.23965319154556,98,27
Atl Cod,GB,F,1999,103.06990077231217,9,27
Atl Cod,GB,F,2000,99.08519328659712,18,27
Atl Cod,GB,F,2001,100.79751518158773,23,27
Atl Cod,GB,F,2002,99.3912586165946,69,27
Atl Cod,GB,F,2003,103.48467730293045,24,27
Atl Cod,GB,F,2004,97.21781006083457,41,27
Atl Cod,GB,F,2005,97.98650622436976,23,27
Atl Cod,GB,F,2006,98.3508927856831,41,27
Atl Cod,GB,F,2007,103.62958661327131,10,27
Atl Cod,GB,F,2008,100.31813458399915,69,27
Atl Cod,GB,F,2009,100.09220071206543,63,27
Atl Cod,GB,F,2010,98.54542727128936,60,27
Atl Cod,GB,F,2011,99.8834171684657,92,27
Atl Cod,GB,F,2012,96.94913844161826,34,27
Atl Cod,GB,F,2013,96.65521356069263,56,27
Atl Cod,GB,F,2014,98.2068685007929,34,27
Atl Cod,GB,F,2015,102.34462000656954,108,27
Atl Cod,GB,F,2016,98.09678580189903,116,27
Atl Cod,GB,F,2017,102.1977485021646,7,27
Atl Cod,GB,F,2018,98.93107726749864,30,27
Atl Cod,GB,M,1992,101.90326801393869,42,27
Atl Cod,GB,M,1993,100.06821936392804,35,27
Atl Cod,GB,M,1994,100.72486813330848,48,27
Atl Cod,GB,M,1995,98.20554175686904,31,27
Atl Cod,GB,M,1996,100.26469149680446,60,27
Atl Cod,GB,M,1997,101.15133441943294,110,27
Atl Cod,GB,M,1998,100.26387026229602,104,27
Atl Cod,GB,M,1999,102.67370077983615,19,27
Atl Cod,GB,M,2000,101.95389247498079,11,27
Atl Cod,GB,M,2001,100.78037943503216,30,27
Atl Cod,GB,M,2002,99.7698530969454,57,27
Atl Cod,GB,M,2003,100.7067524926048,26,27
Atl Cod,GB,M,2004,98.50102546444252,23,27
Atl Cod,GB,M,2005,98.96560588223329,35,27
Atl Cod,GB,M,2006,97.74288222755202,46,27
