YEAR,Apex Predator,Benthivore,Benthos,Planktivore,Piscivore,Other
1986,4.320011251,46.52348032,-82.36719673,26.24689161,11.33849193,140.8465111
1987,5.75873401,49.63543955,-62.64653093,21.52425719,24.16577014,131.4639358
1988,1.92736277,21.85300845,-94.59393693,16.08633413,11.12464614,142.2990473
1989,3.100693908,-39.04712155,-82.92052818,23.16730682,2.369143526,70.48500111
1990,3.998251277,-61.27582921,-100.3069505,18.49020076,-17.28136353,67.78730049
1991,-4.838294499,-79.0423814,-94.97949136,13.23017205,-9.20858373,42.56562248
1992,-1.736337435,-23.55482087,-117.6271359,15.15446336,-6.381710394,9.882425291
1993,2.703420079,-47.46874858,-139.552727,34.09947261,-11.96044237,-19.61131417
1994,1.355170314,-2.768131175,-94.23219673,32.65983055,-1.085528452,18.79724847
1995,0.567804438,8.495481181,-75.08205738,-0.641183648,1.411266166,-23.17426022
1996,2.380484848,13.9604813,-73.582407,-11.83720952,-8.097334191,-42.43565283
1997,0.935548707,6.333480586,-88.44737622,5.900330583,-14.19550014,-53.39494763
1998,-0.047958655,18.87194853,-104.6637536,-3.723572427,-16.56693911,-50.71396716
1999,-0.436658672,21.69752831,-104.3033467,-0.311620605,-0.008897429,-36.02101957
2000,0.129165519,26.40640233,-56.81665165,-9.427729519,9.189100724,-25.19800894
2001,0.164794682,107.5487034,-34.22192022,-7.923989949,14.49801952,-25.73544543
2002,-0.388164677,42.59802889,-21.18716943,-8.175133164,18.71205642,-57.00990572
2003,-0.263023234,83.3685433,9.006080184,-20.61738403,20.34325442,-37.36505662
2004,-1.597511984,114.9029082,88.54622907,-20.01079668,10.76595828,-4.055353029
2005,-0.764227038,23.34505683,121.5243798,-13.27900674,18.88921256,-31.35360881
2006,-2.517974663,-3.077824293,-7.954185316,-15.72291085,15.13784465,-18.84201902
2007,-1.586396242,51.61279445,43.45338418,-20.22069248,8.55560019,-11.94385265
2008,-1.742937711,13.91205647,73.82973629,-16.66455654,2.487657843,-3.846395291
2009,-1.477290589,-9.386627252,88.42202414,-20.51368105,-4.179036051,-16.76130991
2010,-0.674075827,-11.35785235,139.2143347,-12.77905518,-8.730766468,-46.72311736
2011,-1.270973377,-73.65358768,222.1688761,7.682528867,-0.345098272,-31.37558564
2012,-0.949873753,-49.11735938,124.7785631,2.174200458,1.567356427,-16.43336041
2013,0.322021568,-20.33625125,50.60043012,-3.32415518,-0.57108026,-4.948052445
2014,-0.630730874,-23.15606599,129.2555665,-5.582286464,-10.81073952,-1.603339666
2015,-2.036047027,-44.43025715,161.185458,1.520967419,-16.90028316,57.74207441
2016,-1.607175553,-45.624081,206.0346237,18.29735581,-16.63749798,127.7960169
2017,-1.69340856,-51.94085865,125.078047,7.133211905,-15.59750891,104.2466205
