Year,Tot.Calves
1980,6
1981,8
1982,11
1983,9
1984,12
1985,11
1986,13
1987,11
1988,7
1989,16
1990,12
1991,17
1992,12
1993,6
1994,9
1995,7
1996,21
1997,19
1998,5
1999,4
2000,1
2001,31
2002,21
2003,19
2004,16
2005,28
2006,19
2007,23
2008,23
2009,39
2010,19
2011,22
2012,7
2013,20
2014,11
2015,17
2016,14
2017,5
2018,0
2019,7
2020,10
2021,18
2022,15
2023,11
2024,20
