"Month.Year","GB.uwnd","GB.vwnd","GB.hcly","GB.tke","GOM.uwnd","GOM.vwnd","GOM.hcly","GOM.tke","MAB.uwnd","MAB.vwnd","MAB.hcly","MAB.tke"
"1-Oct-90",2.209,0.37,101.3,0.628,2.002,0.575,114.2,0.557,1.4,0.137,91.8,0.519
"1-Nov-90",4.874,-1.475,115.7,0.934,4.281,-1.616,124.1,0.906,3.765,-1.404,103.2,0.724
"1-Dec-90",3.441,0.576,181.6,0.865,3.59,0.583,175.7,0.8,2.404,-0.089,182.2,0.698
"1-Jan-91",2.539,-1.474,178.2,0.69,3.26,-1.31,166.5,0.701,1.776,-1.873,184.6,0.644
"1-Feb-91",3.177,-0.68,153.3,0.646,2.927,-0.251,134,0.609,3.052,-0.909,130.5,0.553
"1-Mar-91",1.796,-1.04,149.7,0.77,1.09,-1.726,140.8,0.715,1.852,-1.076,147.1,0.612
"1-Apr-91",1.226,0.258,109.6,0.385,0.569,0.551,105.2,0.327,0.599,0.456,121,0.36
"1-May-91",1.894,0.727,107.7,0.307,1.692,1.18,120.4,0.294,1.066,1.075,92.3,0.264
"1-Jun-91",2.475,0.065,92.9,0.339,2.033,0.317,90.8,0.277,0.823,0.335,74.3,0.281
"1-Jul-91",1.694,1.349,83.8,0.212,1.563,1.312,72.4,0.203,0.761,1.479,81.7,0.223
"1-Aug-91",2.4,2.447,76.6,0.292,1.94,2.359,82.3,0.259,1.384,1.661,61.5,0.252
"1-Sep-91",1.832,0.116,96.9,0.394,2.28,0.239,107.6,0.341,0.353,0.055,94,0.333
"1-Oct-91",0.311,-0.187,110,0.608,0.35,0.421,118.2,0.608,0.092,-1.274,91.5,0.504
"1-Nov-91",2.47,-1.041,137.9,0.558,1.67,-1.732,149.1,0.53,1.909,-1.413,143.6,0.534
"1-Dec-91",4.489,-1.594,167.9,0.869,3.798,-1.727,160.5,0.821,3.922,-1.432,134.2,0.743
"1-Jan-92",3.637,-1.434,145.7,0.866,3.741,-1.234,129.5,0.846,3.177,-2.01,129.2,0.757
"1-Feb-92",2.435,-2.075,148.3,0.872,2.249,-2.283,135.6,0.856,1.798,-2.428,139.4,0.669
"1-Mar-92",2.213,-0.484,151.7,0.745,2.209,-0.186,122.2,0.667,2.154,-0.901,130.6,0.613
"1-Apr-92",0.84,-1.211,122,0.369,0.836,-0.778,116.2,0.367,0.362,-0.377,112.8,0.337
"1-May-92",1.856,-1.272,90.6,0.295,-0.751,-0.19,76.9,0.229,-1.913,-1.409,100.4,0.341
"1-Jun-92",1.569,2.236,63.1,0.247,1.382,2.456,75.9,0.246,0.682,1.358,60.4,0.233
"1-Jul-92",1.362,1.319,96.7,0.229,1.203,1.577,92.2,0.215,1.253,1.859,92.9,0.242
"1-Aug-92",1.234,1.788,72.2,0.243,1.289,2.057,74.8,0.24,0.56,0.973,68.6,0.253
"1-Sep-92",0.129,-0.148,79.6,0.336,1.002,0.833,82.6,0.298,-1.255,-0.328,83.6,0.369
"1-Oct-92",2.21,-1.095,102.1,0.489,2.208,-0.633,105.1,0.422,1.395,-1.451,97.9,0.455
"1-Nov-92",1.051,-1.089,173.5,0.474,1.266,-0.845,149.8,0.415,0.156,-0.911,180.2,0.428
"1-Dec-92",1.729,-1.885,156.6,1.125,2.057,-1.667,131.7,1.022,1.841,-1.898,146.3,0.896
"1-Jan-93",2.375,-2.331,186.7,0.835,3.025,-1.489,151.7,0.778,0.975,-2.214,177.2,0.645
