YEAR,Apex Predator,Benthivore,Benthos,Planktivore,Piscivore,Other
1964,-2.355575769,231.2525146,-11.32692635,54.16542506,-11.09044567,-2.334403659
1965,-5.646812422,277.4523757,-116.5903372,-5.637026087,-6.07580256,0.321323082
1966,-5.648383106,267.1899943,-103.1094298,49.82652885,2.190532969,-0.294765617
1967,-6.239698528,147.9954325,-122.3809191,103.3757922,2.692405667,1.811356471
1968,-7.23782283,121.2459801,-145.8179714,144.6039473,-8.115129387,-1.059448266
1969,-7.334378421,100.3589062,-128.0035875,78.42582517,-14.32849325,-3.206633615
1970,-7.276103559,78.94855087,-137.6973062,72.50680021,-14.21833788,-3.029047858
1971,-4.633255372,45.23304087,-138.7442198,81.63139328,-5.825119453,-7.164783687
1972,-8.83380695,22.96118451,-168.4541363,64.11181948,-14.89289797,-4.089312005
1973,-7.50487958,18.79768866,-133.26346,60.1088598,-0.014292485,-5.824181337
1974,-0.504390717,12.41080717,-125.505402,44.77805242,-5.710255276,-4.448549985
1975,11.31214682,5.534114765,-134.0355994,42.91143214,-1.095332266,-3.598530094
1976,5.276475788,-17.73152726,-101.4227484,-4.141548219,-2.817734217,-5.156426113
1977,-4.037397238,9.76738718,-37.63471977,-48.91967832,15.18464144,-4.653944399
1978,25.38545104,23.42262764,-27.36864945,-56.13318107,32.02086072,-7.075800527
1979,12.08746581,37.15536848,-12.57380223,-56.31046809,43.33162332,-4.76868142
1980,4.659294133,76.26571375,-36.59379009,-55.81559183,53.55765367,-6.462281617
1981,5.337798794,71.45805685,24.56003904,-66.28930235,44.47341893,-8.380501729
1982,7.970460705,72.27477759,-2.95980798,-63.86528692,53.90878208,-9.341884784
1983,3.758175939,73.44330538,-45.75436166,-58.6314368,41.66492297,-12.50603085
1984,12.55949942,35.47945424,-18.73117091,-55.82452393,37.38291735,-9.29866278
1985,-1.185310492,-49.12447707,-19.84107638,-56.60390238,25.27673701,-7.193593017
1986,0.551016098,-67.5420659,8.151187568,-93.58023279,8.409301882,-10.34980867
1987,0.467924297,-78.9187913,-1.48043948,-93.24394061,10.16824938,-5.146533597
1988,0.318641638,-77.8411839,46.86204388,-60.71467788,30.34160865,-7.155915678
1989,13.15030161,-95.85209371,46.21395065,-81.46045366,38.95680925,-3.869031043
1990,20.31894645,-35.25847436,100.5559375,-52.35190316,39.5526865,3.805883602
1991,2.764441261,-67.30628134,91.19637855,-51.40472555,35.49161057,2.258099347
1992,-0.790230523,-65.71032457,75.44177513,-57.70977744,22.16121863,2.601016038
1993,-1.761041422,-87.10343559,-41.40449831,-48.37300766,25.22914941,3.30980268
1994,-4.170074964,-115.7871967,-103.8264293,-79.80195295,-5.099626355,4.458584895
1995,4.110995649,-127.0226886,-57.56393666,-66.04550449,-8.062686301,-1.629809074
1996,-6.709448149,-122.3705638,-62.35883152,-57.41590847,-8.292817339,6.481786405
1997,-3.449991592,-96.06137736,-33.83490193,-22.28854282,-11.06524049,-0.17375066
1998,-3.055424545,-90.16291168,-56.17468582,-9.785010276,-10.22143629,2.510119928
1999,-0.756568264,-78.09983485,-13.5771367,-30.74104886,-2.252183765,0.848635599
2000,6.010014173,-48.65407236,-3.39030569,-16.30516608,-13.32537138,3.275854772
2001,5.585835736,-12.93393794,-23.41750604,0.503895621,-3.188446961,5.603943232
2002,10.31363696,-18.68160182,1.178187232,-15.37123576,-12.70932281,5.216286297
2003,1.494627571,-21.2925429,-21.00536565,-12.36090715,-13.00322832,5.126343088
2004,-5.366693567,21.35345175,-0.87162052,-10.50104178,-18.80097323,6.126993704
2005,-5.673244972,10.36561696,80.77550051,-16.15014461,-24.66408347,2.566860133
2006,-6.47382159,-104.8348433,180.5731229,-12.48184827,-31.7102317,4.545919458
2007,-1.827839804,-90.61103043,76.11807368,-17.89026215,-31.14163082,8.850425575
2008,-2.525231144,-65.08636648,8.58058589,-15.43070803,-36.40439092,6.529436669
2009,-3.826874512,-68.07953192,29.65278484,-8.532888448,-35.45718674,5.33531099
2010,-4.122307322,-51.50012894,54.30111618,-15.60791984,-31.81127244,0.681011855
2011,-0.896336595,-67.21918846,109.2769762,-5.344159472,-23.99051968,-3.072615079
2012,1.240983754,-85.73122036,252.8510858,-3.868580052,-27.62040109,-0.163221274
2013,-5.224503726,-97.35198056,240.6718278,-3.485790475,-33.7521375,-0.136191698
2014,-4.247366676,-74.29327451,109.3128304,-2.036321138,-25.02430338,-3.919285172
2015,-5.218319893,-76.0630642,95.38696756,-5.936718084,-25.23807276,-8.875826115
2016,-3.901309882,-82.55135649,92.5678501,-15.07806807,-17.00060723,-14.4207437
2017,-5.160841789,-89.37558031,141.1699391,-18.40408192,-18.91421052,-9.31941977
