"","Entity.Name","Jurisdiction","FMP","Science Center","Stock Area","Assessment.Year","Last Data Year","F Year","Estimated.F","Flimit","Fmsy","F/Flimit","F.Fmsy","Ftarget","F/Ftarget","B Year","Estimated.B","B Unit","Blimit","Bmsy","B/Blimit","B.Bmsy"
"1","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2005,2004,NA,NA,NA,NA,0.310000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5699999332428
"2","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2010,2008,2008,NA,NA,NA,NA,NA,NA,NA,2008,NA,"mt",NA,NA,NA,NA
"3","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2018,2016,2016,0.469999998807907,NA,0.259999990463257,NA,1.80799996852875,NA,NA,2016,43519,"Metric Tons",98447,196894,0.44200000166893,0.221000000834465
"4","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2021,2019,2019,0.458000004291534,NA,0.219999998807907,NA,2.08200001716614,NA,NA,2019,42862,"Metric Tons",90545,181090,0.47299998998642,0.237000003457069
"5","Atlantic mackerel - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2023,2022,2022,0.180000007152557,0.209999993443489,0.209999993443489,0.85699999332428,0.85699999332428,NA,NA,2022,19017,"Metric Tons",77054,154107,0.246999993920326,0.123000003397465
"6","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Mid-Atlantic Coast",2006,2005,2005,0.0189999993890524,0.150000005960464,NA,0.129999995231628,NA,NA,NA,2005,1170000,"mt (meat weight only)",450000,9e+05,2.59999990463257,1.29999995231628
"7","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Mid-Atlantic Coast",2009,2008,2008,0.0270000007003546,0.150000005960464,0.150000005960464,0.180000007152557,0.180000007152557,NA,NA,2008,878000,"mt",272000,543000,3.2279999256134,1.61699998378754
"8","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Mid-Atlantic Coast",2013,2011,2011,0.0270000007003546,0.150000005960464,0.150000005960464,0.180000007152557,0.180000007152557,NA,NA,2011,1060000,"mt",486000,972000,2.18099999427795,1.0900000333786
"9","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Mid-Atlantic Coast",2016,2015,2015,0.00899999961256981,0.0309999994933605,0.0309999994933605,0.294999986886978,0.294999986886978,NA,NA,2015,46355000,"mt",NA,NA,NA,2.53999996185303
"10","Atlantic surfclam - Mid-Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Mid-Atlantic Coast",2020,2019,2019,0.0359999984502792,0.141000002622604,0.141000002622604,0.254999995231628,0.254999995231628,NA,NA,2019,1222,"Thousand Metric Tons",513.5,1027,2.38000011444092,1.19000005722046
"11","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2006,2006,NA,NA,0.330000013113022,NA,NA,NA,NA,NA,2006,0.800000011920929,"kg/tow",0.980000019073486,NA,0.815999984741211,NA
"12","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2009,2007,2007,0.479999989271164,0.419999986886978,0.419999986886978,1.14300000667572,1.14300000667572,NA,NA,2007,11478,"mt",6268,12537,1.8309999704361,0.916000008583069
