Date,2023 Daily Avg,2010-2022 Avg,2010-2022 Min,2010-2022 Max
1/1/2023 0:00,42.63,44.88,38.25,51.22
1/2/2023 0:00,42.7,44.89,36.46,50.43
1/3/2023 0:00,43.22,44.41,35.13,49.26
1/4/2023 0:00,43.79,43.54,36.01,49.19
1/5/2023 0:00,44.35,42.89,34.72,48.51
1/6/2023 0:00,44.38,42.67,33.76,47.43
1/7/2023 0:00,43.57,42.72,32.59,47.34
1/8/2023 0:00,42.85,42.05,31.84,46.09
1/9/2023 0:00,42.46,41.78,32.23,46.71
1/10/2023 0:00,42.15,41.75,31.32,47.3
1/11/2023 0:00,41.3,41.09,31.37,47.16
1/12/2023 0:00,41.3,39.97,33.64,46.17
1/13/2023 0:00,42.5,39.8,33.91,45.95
1/14/2023 0:00,42.84,39.71,33.53,44.19
1/15/2023 0:00,42.26,39.36,32.41,44.96
1/16/2023 0:00,41.7,38.86,32.32,44.98
1/17/2023 0:00,41.47,38.82,32.95,45.07
1/18/2023 0:00,41.51,38.75,32.25,42.94
1/19/2023 0:00,41.96,38.63,31.66,42.8
1/20/2023 0:00,42.33,38.77,31.78,43.11
1/21/2023 0:00,41.97,38.56,31.59,43.02
1/22/2023 0:00,41.49,38.06,33.26,42.98
1/23/2023 0:00,41.63,37.93,32.77,41.72
1/24/2023 0:00,41.78,37.45,32.61,41.27
1/25/2023 0:00,41.71,36.85,32.56,40.66
1/26/2023 0:00,42.13,36.98,32.74,41.61
1/27/2023 0:00,41.89,37.24,32.76,41.31
1/28/2023 0:00,41.83,36.98,31.73,41.09
1/29/2023 0:00,42,36.88,31.82,40.8
1/30/2023 0:00,42.42,36.4,32.02,40.62
1/31/2023 0:00,42.57,36.1,32.09,40.91
2/1/2023 0:00,42.26,36.02,32,40.23
2/2/2023 0:00,41.94,36.4,32.83,40.93
2/3/2023 0:00,41.68,36.42,33.28,40.53
2/4/2023 0:00,40.52,36.39,32.95,40.3
2/5/2023 0:00,40.18,36.52,33.55,40.46
2/6/2023 0:00,40.33,36.63,33.6,41.83
2/7/2023 0:00,40.51,36.65,33.17,41.14
2/8/2023 0:00,41.64,36.82,33.3,42.98
2/9/2023 0:00,41.94,36.9,33.01,42.71
2/10/2023 0:00,42.09,36.96,33.35,40.68
2/11/2023 0:00,42.29,37.01,33.06,40.86
2/12/2023 0:00,42.27,37.54,32.65,42.14
2/13/2023 0:00,42.29,37.43,32.59,40.68
2/14/2023 0:00,42.59,37.18,32.43,40.44
2/15/2023 0:00,43,37.13,30.52,40.89
2/16/2023 0:00,43.66,37.46,32.61,40.6
2/17/2023 0:00,44.12,37.74,33.12,40.55
2/18/2023 0:00,43.42,38.2,32.79,40.44
2/19/2023 0:00,43.16,38.49,33.51,45.19
2/20/2023 0:00,43.63,38.61,33.66,45.07
2/21/2023 0:00,44.09,38.79,35.08,44.46
2/22/2023 0:00,44.5,39.05,33.73,44.02
2/23/2023 0:00,44.65,39.51,35.91,45.72
2/24/2023 0:00,44.77,39.68,36.18,44.85
2/25/2023 0:00,44.49,39.96,36.07,46.04
2/26/2023 0:00,44.07,40.25,35.87,45.1
2/27/2023 0:00,44.17,40.52,35.71,48.33
2/28/2023 0:00,44.59,40.7,35.17,46.4
3/1/2023 0:00,45.17,40.81,35.13,46.56
3/2/2023 0:00,45.63,40.92,35.89,46.56
3/3/2023 0:00,45.77,41.27,36.5,46.44
