"year","bt_temp","subarea","source"
"1959",7.99241375256691,"GB","ROMS"
"1960",8.23650185443804,"GB","ROMS"
"1961",7.70334957988614,"GB","ROMS"
"1962",8.05223853250443,"GB","ROMS"
"1963",8.12118312818369,"GB","ROMS"
"1964",7.6756844323938,"GB","ROMS"
"1965",7.2112801807307,"GB","ROMS"
"1966",7.55405079825192,"GB","ROMS"
"1967",7.6218023178032,"GB","ROMS"
"1968",7.63481965307958,"GB","ROMS"
"1969",8.33110340747679,"GB","ROMS"
"1970",8.22834394023575,"GB","ROMS"
"1971",8.14807623021,"GB","ROMS"
"1972",8.49968963687634,"GB","ROMS"
"1973",8.48958140131344,"GB","ROMS"
"1974",9.04121894281964,"GB","ROMS"
"1975",9.17541559886823,"GB","ROMS"
"1976",8.78583792699645,"GB","ROMS"
"1977",8.57877471740339,"GB","ROMS"
"1978",8.50031119045409,"GB","ROMS"
"1979",7.91631688456594,"GB","ROMS"
"1980",8.18006591692082,"GB","ROMS"
"1981",8.10786010165838,"GB","ROMS"
"1982",8.25516265656789,"GB","ROMS"
"1983",8.73459351424635,"GB","ROMS"
"1984",8.38230511305714,"GB","ROMS"
"1985",9.16232770859834,"GB","ROMS"
"1986",9.18412945550534,"GB","ROMS"
"1987",8.29150561056275,"GB","ROMS"
"1988",8.12707421902573,"GB","ROMS"
"1989",8.38164518714673,"GB","ROMS"
"1990",8.59062705663424,"GB","ROMS"
"1991",9.44389607543665,"GB","ROMS"
"1992",8.36991810839975,"GB","ROMS"
"1959",6.09656167974085,"GOM","ROMS"
"1960",5.70529916606639,"GOM","ROMS"
"1961",5.71915706952636,"GOM","ROMS"
"1962",5.64194567030832,"GOM","ROMS"
"1963",6.12413423121551,"GOM","ROMS"
"1964",6.64487496495813,"GOM","ROMS"
"1965",6.06439519854825,"GOM","ROMS"
"1966",6.11051843435517,"GOM","ROMS"
"1967",5.99781044006395,"GOM","ROMS"
"1968",5.63985778944773,"GOM","ROMS"
"1969",5.50873489732204,"GOM","ROMS"
"1970",6.2770822393169,"GOM","ROMS"
"1971",6.10366823065762,"GOM","ROMS"
"1972",6.30616842884647,"GOM","ROMS"
"1973",6.24927019740252,"GOM","ROMS"
"1974",6.83389631176047,"GOM","ROMS"
"1975",7.77137183354189,"GOM","ROMS"
"1976",8.06181436705103,"GOM","ROMS"
"1977",6.46686737634062,"GOM","ROMS"
"1978",6.08890742657528,"GOM","ROMS"
"1979",6.12830436982098,"GOM","ROMS"
"1980",6.3650528682115,"GOM","ROMS"
"1981",5.97186711077185,"GOM","ROMS"
"1982",5.97043510539982,"GOM","ROMS"
"1983",6.25978882445758,"GOM","ROMS"
"1984",6.95859283639835,"GOM","ROMS"
"1985",6.99386225545058,"GOM","ROMS"
"1986",7.26572283156469,"GOM","ROMS"
"1987",6.85532823284162,"GOM","ROMS"
"1988",7.13796661262643,"GOM","ROMS"
"1989",6.63585676597361,"GOM","ROMS"
"1990",6.88964019027957,"GOM","ROMS"
"1991",7.23402413556136,"GOM","ROMS"
"1992",6.11365244750689,"GOM","ROMS"
"1959",9.42006043443879,"MAB","ROMS"
"1960",9.66167332998305,"MAB","ROMS"
"1961",9.45511197284575,"MAB","ROMS"
"1962",10.0437099130561,"MAB","ROMS"
"1963",9.82505375975609,"MAB","ROMS"
"1964",9.82276620994157,"MAB","ROMS"
"1965",8.83579038813684,"MAB","ROMS"
"1966",8.98379869719822,"MAB","ROMS"
"1967",9.21737406062315,"MAB","ROMS"
"1968",9.00044924619064,"MAB","ROMS"
"1969",9.20176945027311,"MAB","ROMS"
"1970",9.58857742146025,"MAB","ROMS"
"1971",9.3283078330381,"MAB","ROMS"
"1972",10.4559935135674,"MAB","ROMS"
"1973",10.0787527779451,"MAB","ROMS"
"1974",10.9894970101167,"MAB","ROMS"
"1975",10.5131119164264,"MAB","ROMS"
"1976",10.4908715587706,"MAB","ROMS"
"1977",9.55975044953472,"MAB","ROMS"
"1978",10.280522898968,"MAB","ROMS"
"1979",9.38010703798736,"MAB","ROMS"
"1980",8.86392980740953,"MAB","ROMS"
"1981",8.90382709273579,"MAB","ROMS"
"1982",9.87067095893903,"MAB","ROMS"
"1983",10.7155116786727,"MAB","ROMS"
"1984",9.32817245399082,"MAB","ROMS"
"1985",10.9157267846634,"MAB","ROMS"
"1986",11.3922539426193,"MAB","ROMS"
"1987",10.15711772486,"MAB","ROMS"
"1988",9.97096101846563,"MAB","ROMS"
"1989",10.2454665929715,"MAB","ROMS"
"1990",10.9465308145549,"MAB","ROMS"
"1991",11.0283078799868,"MAB","ROMS"
"1992",10.4976447662713,"MAB","ROMS"
"1959",6.73652529138565,"SS","ROMS"
"1960",6.49832562443929,"SS","ROMS"
"1961",6.30615785074382,"SS","ROMS"
"1962",6.58041290385201,"SS","ROMS"
"1963",6.62500812191268,"SS","ROMS"
"1964",6.40412521495323,"SS","ROMS"
"1965",6.11315691922023,"SS","ROMS"
"1966",6.57067142900695,"SS","ROMS"
"1967",6.55847952250194,"SS","ROMS"
"1968",6.78439488353619,"SS","ROMS"
"1969",6.96765033386814,"SS","ROMS"
"1970",7.44393058936117,"SS","ROMS"
"1971",6.81475827291381,"SS","ROMS"
"1972",7.22612639372996,"SS","ROMS"
"1973",6.89629597053363,"SS","ROMS"
"1974",8.2465687883553,"SS","ROMS"
"1975",8.09199453642786,"SS","ROMS"
"1976",8.56274057037316,"SS","ROMS"
"1977",7.5472399848989,"SS","ROMS"
"1978",7.31721754147146,"SS","ROMS"
"1979",7.16811071488712,"SS","ROMS"
"1980",7.84955411757523,"SS","ROMS"
"1981",7.64201277265685,"SS","ROMS"
"1982",7.18172909947806,"SS","ROMS"
"1983",7.17564325878971,"SS","ROMS"
"1984",7.79388989798161,"SS","ROMS"
"1985",8.26419786398115,"SS","ROMS"
"1986",8.077457826424,"SS","ROMS"
"1987",7.30514209425023,"SS","ROMS"
"1988",7.53387196392124,"SS","ROMS"
"1989",7.43738371451762,"SS","ROMS"
"1990",7.8198190367622,"SS","ROMS"
"1991",8.48248991511832,"SS","ROMS"
"1992",6.97003868702843,"SS","ROMS"
"1993",8.59863524986463,"GB","GLORYS"
"1994",9.30358268856045,"GB","GLORYS"
"1995",9.37201531197051,"GB","GLORYS"
"1996",7.9724595450536,"GB","GLORYS"
"1997",8.89915452587415,"GB","GLORYS"
"1998",8.35402025764731,"GB","GLORYS"
"1999",9.93324129873268,"GB","GLORYS"
"2000",9.45754486878169,"GB","GLORYS"
"2001",9.30174383926135,"GB","GLORYS"
"2002",9.71427682996728,"GB","GLORYS"
"2003",8.51227952897838,"GB","GLORYS"
"2004",7.739521664955,"GB","GLORYS"
"2005",8.24821019631806,"GB","GLORYS"
"2006",9.1997191419746,"GB","GLORYS"
"2007",8.31210572248051,"GB","GLORYS"
"2008",8.75665784071022,"GB","GLORYS"
"2009",9.33656377847399,"GB","GLORYS"
"2010",9.7969342702746,"GB","GLORYS"
"2011",9.29052403998686,"GB","GLORYS"
"2012",10.8158832309589,"GB","GLORYS"
"2013",10.121226951597,"GB","GLORYS"
"2014",10.130579287309,"GB","GLORYS"
"2015",10.3030289566835,"GB","GLORYS"
"2016",10.6303987538214,"GB","GLORYS"
"2017",10.067201099327,"GB","GLORYS"
"2018",9.66420637279606,"GB","GLORYS"
"2019",9.10207527293064,"GB","GLORYS"
"2020",9.90392867033342,"GB","GLORYS"
"2021",10.7442706819267,"GB","GLORYS"
"2022",10.6132618921314,"GB","GLORYS"
"2023",8.79586341000513,"GB","GLORYS"
"1993",6.27682710618816,"GOM","GLORYS"
"1994",7.26221360179632,"GOM","GLORYS"
"1995",7.24488464154123,"GOM","GLORYS"
"1996",7.22900183976688,"GOM","GLORYS"
"1997",7.11732023307735,"GOM","GLORYS"
"1998",6.53407878889903,"GOM","GLORYS"
"1999",6.78095007517303,"GOM","GLORYS"
"2000",7.26042491076791,"GOM","GLORYS"
"2001",6.83996077395776,"GOM","GLORYS"
"2002",7.36932749433573,"GOM","GLORYS"
"2003",6.34934120117727,"GOM","GLORYS"
"2004",5.80301268812425,"GOM","GLORYS"
"2005",6.13757812177239,"GOM","GLORYS"
"2006",7.28069975440235,"GOM","GLORYS"
"2007",6.60393226572291,"GOM","GLORYS"
"2008",6.43964911921409,"GOM","GLORYS"
"2009",6.47654397461661,"GOM","GLORYS"
"2010",7.47808633358835,"GOM","GLORYS"
"2011",7.89052116620329,"GOM","GLORYS"
"2012",8.26053756719057,"GOM","GLORYS"
"2013",8.08134205077427,"GOM","GLORYS"
"2014",7.56521539871655,"GOM","GLORYS"
"2015",7.7143328188976,"GOM","GLORYS"
"2016",8.33432925364227,"GOM","GLORYS"
"2017",7.92135795377584,"GOM","GLORYS"
"2018",8.06219153486358,"GOM","GLORYS"
"2019",8.14493482763184,"GOM","GLORYS"
"2020",8.89959085960459,"GOM","GLORYS"
"2021",9.28388063738452,"GOM","GLORYS"
"2022",8.73317057490079,"GOM","GLORYS"
"2023",9.06281697178389,"GOM","GLORYS"
"1993",9.74644599105476,"MAB","GLORYS"
"1994",10.4140899754859,"MAB","GLORYS"
"1995",11.1670953958333,"MAB","GLORYS"
"1996",9.11455640160177,"MAB","GLORYS"
"1997",10.7564683968472,"MAB","GLORYS"
"1998",9.96288547164582,"MAB","GLORYS"
"1999",11.7867307510735,"MAB","GLORYS"
"2000",11.0994406357297,"MAB","GLORYS"
"2001",10.8417853635952,"MAB","GLORYS"
"2002",11.8553028712677,"MAB","GLORYS"
"2003",9.87343143499399,"MAB","GLORYS"
"2004",9.15629029290501,"MAB","GLORYS"
"2005",9.87356294586584,"MAB","GLORYS"
"2006",11.6030176197761,"MAB","GLORYS"
"2007",10.183411999485,"MAB","GLORYS"
"2008",11.0856336294499,"MAB","GLORYS"
"2009",11.1447039765655,"MAB","GLORYS"
"2010",10.2789940717717,"MAB","GLORYS"
"2011",10.9872719621392,"MAB","GLORYS"
"2012",12.55659988903,"MAB","GLORYS"
"2013",11.4373207819572,"MAB","GLORYS"
"2014",11.7142951627705,"MAB","GLORYS"
"2015",12.1505656906997,"MAB","GLORYS"
"2016",12.172679203405,"MAB","GLORYS"
"2017",11.280809082955,"MAB","GLORYS"
"2018",10.5768020648968,"MAB","GLORYS"
"2019",11.4061310304957,"MAB","GLORYS"
"2020",11.8849236838752,"MAB","GLORYS"
"2021",12.0940213853053,"MAB","GLORYS"
"2022",12.2098167666073,"MAB","GLORYS"
"2023",10.6764142517801,"MAB","GLORYS"
"1993",7.14285998756291,"SS","GLORYS"
"1994",8.1649572030718,"SS","GLORYS"
"1995",7.62449209444145,"SS","GLORYS"
"1996",6.97483493763046,"SS","GLORYS"
"1997",7.45749274622191,"SS","GLORYS"
"1998",6.35149583028051,"SS","GLORYS"
"1999",7.83603343627039,"SS","GLORYS"
"2000",7.89752599448275,"SS","GLORYS"
"2001",7.26629668704672,"SS","GLORYS"
"2002",8.00571836549471,"SS","GLORYS"
"2003",7.32942777997088,"SS","GLORYS"
"2004",6.45544724001108,"SS","GLORYS"
"2005",7.05280174874632,"SS","GLORYS"
"2006",7.91293787905608,"SS","GLORYS"
"2007",6.8034292710425,"SS","GLORYS"
"2008",7.05576632421431,"SS","GLORYS"
"2009",7.35200126308099,"SS","GLORYS"
"2010",8.09522630495839,"SS","GLORYS"
"2011",8.00375086445554,"SS","GLORYS"
"2012",8.91487029271565,"SS","GLORYS"
"2013",8.34668133532366,"SS","GLORYS"
"2014",8.15758120468903,"SS","GLORYS"
"2015",8.35540693763227,"SS","GLORYS"
"2016",8.73699822833931,"SS","GLORYS"
"2017",8.35200922673467,"SS","GLORYS"
"2018",8.71807450378755,"SS","GLORYS"
"2019",8.59915357985058,"SS","GLORYS"
"2020",8.56415784007384,"SS","GLORYS"
"2021",9.53575985645958,"SS","GLORYS"
"2022",9.00353163007259,"SS","GLORYS"
"2023",8.82891704325776,"SS","GLORYS"
"2021",10.1951077537165,"GB","PSY"
"2022",10.1552419232793,"GB","PSY"
"2023",9.17384487574997,"GB","PSY"
"2021",8.86805190484818,"GOM","PSY"
"2022",8.10597827570309,"GOM","PSY"
"2023",8.19959781499365,"GOM","PSY"
"2021",12.2072360733764,"MAB","PSY"
"2022",12.0768009311035,"MAB","PSY"
"2023",11.6788920614064,"MAB","PSY"
"2021",9.15789556283304,"SS","PSY"
"2022",8.9166873189852,"SS","PSY"
"2023",8.05029100043954,"SS","PSY"
