,year.month,GSI,WGSI
0,1954.01,1.704328208,0.558457308
1,1954.02,1.891515153,0.571559342
2,1954.03,1.550393078,0.768621498
3,1954.04,1.502223229,0.916857883
4,1954.05,1.365334296,1.06296487
5,1954.06,1.733429543,0.367971957
6,1954.07,1.433852966,0.163166146
7,1954.08,-0.322269791,-1.441404239
8,1954.09,0.694331316,-0.094974271
9,1954.10,0.983156873,0.185547373
10,1954.11,0.321112426,0.325048529
11,1954.12,-0.723810834,-0.610107306
12,1955.01,-0.849597304,-0.996353162
13,1955.02,-0.644983936,-0.838477953
14,1955.03,-0.260258211,-1.065543394
15,1955.04,-0.077651753,0.51427351
16,1955.05,0.090154227,0.478488539
17,1955.06,-0.219596213,-1.143015639
18,1955.07,0.337232739,-0.397188358
19,1955.08,0.483355234,0.86077236
20,1955.09,0.547992395,0.609957148
21,1955.10,-0.129344068,0.66419955
22,1955.11,-0.372636131,0.284293109
23,1955.12,-1.016404661,-0.580247165
24,1956.01,-1.240703452,-0.179954804
25,1956.02,-0.704861102,-0.654239804
26,1956.03,-0.929952232,-0.859679911
27,1956.04,-0.473376461,-0.157575221
28,1956.05,-0.92832644,-0.515871728
29,1956.06,-0.67624017,-1.721346259
30,1956.07,0.532077154,1.091431597
31,1956.08,0.127091394,0.457626027
32,1956.09,0.499529025,0.268724151
33,1956.10,0.175317174,-0.242880422
34,1956.11,0.29357532,0.496098304
35,1956.12,0.152954356,0.068359187
36,1957.01,-0.136509348,-0.186834901
37,1957.02,-0.021224521,-0.416641051
38,1957.03,1.247830593,1.440254075
39,1957.04,-0.133706355,-0.509090323
40,1957.05,-0.29935915,0.212308727
41,1957.06,0.15992453,0.367539212
42,1957.07,0.313079784,0.138688753
43,1957.08,0.276117717,0.740394844
44,1957.09,-0.091244421,1.31138979
45,1957.10,0.241926789,1.333476457
46,1957.11,0.144101712,0.725158478
47,1957.12,-0.686412077,-0.395561299
48,1958.01,-1.482805282,-1.71212336
49,1958.02,-0.894400326,-0.891614296
50,1958.03,-0.873088098,-0.703837718
51,1958.04,-2.222409714,-1.917662941
52,1958.05,-1.127908561,-0.84788712
53,1958.06,-2.237112986,-2.38537354
54,1958.07,-1.675410818,-1.758284377
55,1958.08,-0.719880026,-1.124018785
56,1958.09,-0.579708273,-0.861005454
57,1958.10,-1.011910738,-0.916262551
58,1958.11,-0.994857264,-1.344925883
59,1958.12,-0.476155829,-0.781306442
60,1959.01,-1.463939083,-1.944349817
61,1959.02,-1.040572648,-0.020233875
62,1959.03,-1.522611302,0.479630428
63,1959.04,-2.295152975,-0.853640949
64,1959.05,-1.778727732,-0.716844234
65,1959.06,-1.176790811,-0.059384231
66,1959.07,-1.672264959,-1.655057687
67,1959.08,-1.682278597,-1.259536984
68,1959.09,-1.225927559,-0.907639579
69,1959.10,-1.696359298,-1.164937589
70,1959.11,-0.383640945,0.056787912
71,1959.12,-1.103618447,0.240509038
72,1960.01,-0.827652698,0.259658615
73,1960.02,-0.902808208,0.045339772
74,1960.03,-0.512401485,-0.370862125
75,1960.04,-0.96897224,-1.097191418
76,1960.05,-0.844140136,-0.10725447
77,1960.06,-1.507919141,-0.666846603
78,1960.07,-1.578765936,-0.39009028
79,1960.08,-1.955943192,-0.575157124
80,1960.09,-1.535322137,-0.041328002
81,1960.10,-1.474560945,0.092836058
82,1960.11,-2.182984648,-1.501682055
83,1960.12,-1.557829985,-0.773929034
84,1961.01,-0.778034393,0.754370981
85,1961.02,-0.564936827,0.481445494
86,1961.03,-0.368778171,0.004232006
87,1961.04,-1.495415245,-1.973096204
88,1961.05,-1.336349865,-1.489258474
89,1961.06,-0.581140174,-0.82974104
90,1961.07,-1.402858414,0.09891235
91,1961.08,-0.96523659,-0.007410748
92,1961.09,-2.009373172,-0.879384734
93,1961.10,-0.635517898,-0.308369813
94,1961.11,-0.251945729,-0.163792301
95,1961.12,-0.758002662,0.069090026
96,1962.01,0.130442667,-0.088424193
97,1962.02,-1.608078886,-0.83556057
98,1962.03,-1.159496093,-1.463307379
99,1962.04,-1.619037573,-0.548410034
100,1962.05,-0.904749183,-0.83406066
101,1962.06,-1.027851814,-0.675970657
102,1962.07,-1.342714967,-0.982977372
103,1962.08,-1.661114657,-1.935610193
104,1962.09,-0.503880749,-0.359312789
105,1962.10,-0.05908224,0.059275632
106,1962.11,-2.093141827,-1.470534799
107,1962.12,-2.031248196,-1.396959757
108,1963.01,-1.823323545,-1.663954917
109,1963.02,-1.191103927,-1.499916453
110,1963.03,-1.648181033,-2.144819095
111,1963.04,-0.956829651,-0.734738191
112,1963.05,-1.267823273,-0.699722082
113,1963.06,-1.414196534,-1.468098164
114,1963.07,-1.188441639,-1.15463313
115,1963.08,-0.285244826,-0.087904031
116,1963.09,-0.94269389,0.27185236
117,1963.10,-1.421612385,-0.450047776
118,1963.11,-1.395319422,-0.646808778
119,1963.12,-2.096849378,-1.296591342
120,1964.01,-1.816903977,-0.683660211
121,1964.02,-2.205875096,-1.818776186
122,1964.03,-2.516795733,-2.211179712
123,1964.04,-1.591905366,-1.609072166
124,1964.05,-2.327301792,-1.985636755
125,1964.06,-1.376715327,-1.507037136
126,1964.07,-1.421607116,-1.929745677
127,1964.08,-1.431534779,-2.672399346
128,1964.09,-1.853994234,-2.325202091
129,1964.10,-2.033195538,-1.76014193
130,1964.11,-2.22730679,-1.316007085
131,1964.12,-2.31672526,-1.391351088
132,1965.01,-1.571953998,-1.338382156
133,1965.02,-1.71461001,-1.668758633
134,1965.03,-1.920506708,-1.82129366
135,1965.04,-1.21480563,-1.256926108
136,1965.05,-0.427725216,-0.989570662
137,1965.06,-0.044493187,-0.390402019
138,1965.07,0.515004107,0.729309663
139,1965.08,-0.847127279,-1.780995404
140,1965.09,-2.115063173,-2.488932258
141,1965.10,-2.149454748,-1.85352156
142,1965.11,-1.129785825,-1.658293683
143,1965.12,-1.689623926,-1.908591256
144,1966.01,-1.907415134,-2.534773113
145,1966.02,-1.531737517,-2.412774554
146,1966.03,-1.722656862,-1.799884635
147,1966.04,-2.289502379,-2.513661779
148,1966.05,-3.539943009,-3.410703511
149,1966.06,-1.516907103,-1.314860578
150,1966.07,-1.378048042,-1.632865336
151,1966.08,-2.327575713,-1.885335322
152,1966.09,-2.678768009,-1.762695349
153,1966.10,-1.970263803,-1.598381361
154,1966.11,-1.510561184,-0.921755704
155,1966.12,-1.681011356,-0.571159008
156,1967.01,-0.756138847,-0.188602448
157,1967.02,-0.015028845,0.149134728
158,1967.03,-1.038498103,-1.192723338
159,1967.04,-2.117588454,-1.094810077
160,1967.05,-1.054304011,-0.804596292
161,1967.06,-1.807907943,-1.363769488
162,1967.07,-1.652965673,-1.912740639
163,1967.08,-1.460341939,-1.196755164
164,1967.09,-1.448973969,-1.162779266
165,1967.10,-1.547212876,-1.191486789
166,1967.11,-0.986665125,-0.308587943
167,1967.12,-0.932496052,-0.690093154
168,1968.01,-1.150437204,-1.15140197
169,1968.02,-0.949170035,-1.55550056
170,1968.03,-0.950224776,-1.959838261
171,1968.04,-1.050830758,-2.299451413
172,1968.05,-0.26135265,-1.22282266
