"","year","flowrate"
"1",1947,456.787222531507
"2",1948,365.824429726776
"3",1949,350.627151430137
"4",1950,397.462362827397
"5",1951,479.281622969863
"6",1952,431.876073617486
"7",1953,395.07521779726
"8",1954,407.76192
"9",1955,414.10410739726
"10",1956,393.049562928962
"11",1957,273.110493282192
"12",1958,363.651327824658
"13",1959,401.204059441096
"14",1960,396.808888918033
"15",1961,304.186823627397
"16",1962,299.129365567123
"17",1963,266.152318509589
"18",1964,246.770854120219
"19",1965,219.463733830137
"20",1966,284.728915112329
"21",1967,315.811451879452
"22",1968,353.246045272131
"23",1969,376.807390684932
"24",1970,337.722448657534
"25",1971,419.924955353425
"26",1972,595.14795715847
"27",1973,493.027295912329
"28",1974,465.344326750685
"29",1975,515.683063320548
"30",1976,603.452671125683
"31",1977,542.449033643836
"32",1978,397.918534838356
"33",1979,479.104739945205
"34",1980,275.060575213115
"35",1981,321.831681139726
"36",1982,344.830353358904
"37",1983,446.863929687671
"38",1984,437.903838338798
"39",1985,295.080451068493
"40",1986,438.922812843836
"41",1987,367.521031890411
"42",1988,296.705132502732
"43",1989,395.171417336986
"44",1990,549.719856920548
"45",1991,342.331492734247
"46",1992,364.615163103825
"47",1993,412.897734136986
"48",1994,406.031879890411
"49",1995,290.894995287671
"50",1996,561.402996808743
"51",2001,345.028183057534
"52",2002,377.457513380822
"53",2003,517.344832789041
"54",2004,447.259213901639
"55",2005,481.067520876712
"56",2006,578.160009556164
"57",2007,454.559892865753
"58",2008,543.024155715847
"59",2009,469.513490673973
"60",2010,449.515623452055
"61",2011,639.25137209863
"62",2012,336.882493814208
"63",2013,459.533564230137
"64",2014,451.248766772603
"65",2015,345.966904372603
"66",2016,318.318742469945
"67",2017,513.265661983562
"68",2018,491.793769556164
"69",2019,618.0424768
"70",2020,389.085984612022
