Year,DEPTH,LAT,LON,ASD,DTC
1968,112.8685765,39.92800051,-71.05679067,763.9461006,110.2012631
1969,126.6767188,39.94981431,-70.92611405,772.8140958,113.2651166
1970,115.6301057,40.25610861,-70.90255021,800.1339376,109.2790975
1971,115.2896818,40.07617506,-70.88852819,785.8148847,111.0606953
1972,117.1376416,40.34296418,-70.56902424,826.2890412,114.8634846
1973,94.54998434,40.26809178,-71.21432278,782.5003425,90.97674854
1974,97.79219618,40.49509939,-70.78238938,827.0903472,99.46001592
1975,113.4587936,40.69806276,-70.41362559,864.6046574,107.9604305
1976,100.553928,40.28215745,-70.94851516,799.1777725,99.21943792
1977,106.7658313,40.23010216,-71.01285646,791.5034065,99.98047539
1978,109.130265,40.07543263,-71.14567166,770.4756954,99.78433068
1979,104.2890374,40.34696087,-70.85157545,810.5680756,98.91180114
1980,105.1114036,40.16993971,-71.06184763,783.8344285,97.43576526
1981,109.8213118,40.2446076,-70.92697862,797.303501,102.1483871
1982,114.8444125,40.22631801,-70.98349025,792.5403904,102.6098942
1983,111.5091373,40.35608863,-70.90573945,808.0424258,100.6720051
1984,106.5846824,40.22562795,-71.16860054,781.9913976,95.66524381
1985,112.0765962,40.36584538,-70.75720149,817.1017308,104.1598724
1986,113.0578476,40.33593084,-70.80416542,812.2781223,104.820182
1987,118.3587686,40.37428663,-70.78087501,817.1158713,104.4522713
1988,108.3460924,40.45073261,-70.86739158,817.6219601,95.14496047
1989,109.5183082,40.29854875,-71.01460882,796.5941413,96.25785397
1990,107.7482899,40.30155783,-70.97489654,798.7623034,95.0086966
1991,105.9749928,40.41864141,-70.77690834,820.0910545,100.0735278
1992,108.1542801,40.47955686,-70.72420001,828.446039,102.6965526
1993,108.4439086,40.36139547,-70.74041936,817.3058002,104.3438095
1994,114.5060944,40.51182101,-70.50702448,843.6565816,108.3256061
1995,108.6388233,40.67657842,-70.49086837,858.3141769,102.5338641
1996,114.4038566,40.40761369,-70.61213514,828.8794512,108.1165111
1997,103.9774997,40.46034533,-70.73484896,826.4137543,98.73749164
1998,114.2295799,40.58397623,-70.71977025,838.0346349,93.38236545
1999,105.4302759,40.48861163,-70.68643348,831.5220071,99.37174179
2000,104.4507793,40.67537961,-70.46303293,859.7762844,101.1311212
2001,113.8545819,40.53551709,-70.56903206,842.540767,103.1566133
2002,109.0563066,40.71166794,-70.50113143,860.6596093,95.77813426
2003,116.6841651,40.59326909,-70.49614997,851.666238,106.9190383
2004,116.3733027,40.43264261,-70.74083783,823.4554738,104.4504032
2005,119.1736778,40.46426535,-70.5168912,839.2541229,111.5760156
2006,108.9796211,40.65232782,-70.50544152,855.8629659,103.0600918
2007,119.9635079,40.522895,-70.4982223,844.7495694,109.1602404
2008,113.1459564,40.64940364,-70.47681277,856.632906,106.5111247
2009,112.6639724,40.59565861,-70.54080633,849.2614067,101.9762356
2010,117.3011538,40.55083198,-70.58377912,842.2537705,104.4573043
2011,119.6920814,40.49169377,-70.62175306,835.3729197,108.064652
2012,109.0471589,40.79925448,-70.55489378,865.1855697,96.25226408
2013,113.7339589,40.7241829,-70.37480908,869.354517,107.3465534
2014,118.5600278,41.0727582,-70.08951219,914.8864282,108.7993673
2015,121.2917268,40.70776813,-70.34790891,869.2640812,108.4011025
2016,107.7424869,40.91054872,-70.35042669,886.3757111,99.43168738
2017,121.3070894,40.71022111,-70.31995059,871.1310347,110.3873679
2018,116.6297126,40.5157164,-70.6279956,837.3336853,105.5275202
