"","Time","Region","Value","SE","Var","Units","Source"
"1982.MA",1982,"MA",182286637,32044560.1745869,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1983.MA",1983,"MA",225424088,32783411.8102324,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1984.MA",1984,"MA",199678509,40231175.4966167,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1985.MA",1985,"MA",171319041,14416071.1714726,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1986.MA",1986,"MA",215762253,16942913.1340605,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1987.MA",1987,"MA",283449618,40133403.0745597,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1988.MA",1988,"MA",148359220,9589651.59266055,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1989.MA",1989,"MA",166836604,13746140.6231791,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1990.MA",1990,"MA",109692358,6610359.46052343,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1991.MA",1991,"MA",126449119,7087127.96600476,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1992.MA",1992,"MA",100434398,4286934.9013612,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1993.MA",1993,"MA",90496112,4325270.31254529,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1994.MA",1994,"MA",96486452,6860058.99325361,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1995.MA",1995,"MA",111429950,9405125.14234387,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1996.MA",1996,"MA",106215137,7429967.11402599,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1997.MA",1997,"MA",123385793,9266322.86604148,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1998.MA",1998,"MA",112769334,6797677.76427258,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1999.MA",1999,"MA",106925361,6706498.34077874,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2000.MA",2000,"MA",133158171,7755245.52492898,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2001.MA",2001,"MA",124329007,9148635.7308594,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2002.MA",2002,"MA",119032592,8139930.25137184,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2003.MA",2003,"MA",143201303,6496772.13851279,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2004.MA",2004,"MA",122656721,7406160.10819528,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2005.MA",2005,"MA",124453747,10691394.6489647,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2006.MA",2006,"MA",116293518,6384186.70380711,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2007.MA",2007,"MA",119584331,8143977.55702064,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2008.MA",2008,"MA",116370979,7174491.35547069,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2009.MA",2009,"MA",126264415,7343525.51901093,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2010.MA",2010,"MA",128021667,7417828.08723304,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2011.MA",2011,"MA",102755343,5603386.33094069,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2012.MA",2012,"MA",113643652,8990692.97338247,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2013.MA",2013,"MA",130483159,8452031.54801705,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2014.MA",2014,"MA",125896384,10931999.6262226,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2015.MA",2015,"MA",132533014,12424119.4590901,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2016.MA",2016,"MA",118960914,8391900.19793102,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2017.MA",2017,"MA",129113860,12785651.8347238,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2018.MA",2018,"MA",68620237,5513522.54162951,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2019.MA",2019,"MA",84063072,4859545.494749,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2020.MA",2020,"MA",96426343,8716254.6963642,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2021.MA",2021,"MA",86375818,6034019.15799634,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2022.MA",2022,"MA",97988418,6462689.26739927,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2023.MA",2023,"MA",90864785,7117872.75050234,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2024.MA",2024,"MA",71071134,5278122.52548235,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1982.NE",1982,"NE",110466685,9469031.43082756,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1983.NE",1983,"NE",81379820,6247111.90966889,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
