year,GEO_ID2,REGION,STATEABBR,Community,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP_16,ComEng_NE16_ct,ComRel_NE16_ct,RecEng_NE16_ct,RecRel_NE16_ct
2016,2300926595,New England,ME,"Frenchboro, ME",44.118056,-68.363056,43,2,4,1,1
2016,2300977345,New England,ME,"Tremont, ME",44.253611,-68.351944,"1,293",4,4,1,1
2016,2302903670,New England,ME,"Beals, ME",44.519722,-67.615556,405,4,4,1,1
2016,2302301570,New England,ME,"Arrowsic, ME",43.849722,-69.778611,397,2,3,1,1
2016,2301379130,New England,ME,"Vinalhaven, ME",44.048056,-68.832222,"1,155",4,4,1,1
2016,2500726325,New England,MA,"Gosnold, MA",41.466667,-70.783333,53,1,3,1,1
2016,2376330,New England,ME,"Thomaston, ME",44.078889,-69.182222,"1,910",2,2,1,1
2016,2301506855,New England,ME,"Bremen, ME",44.001389,-69.429167,863,3,4,1,1
2016,2302919870,New England,ME,"East Central Washington, ME",44.860833,-67.326389,780,2,3,1,1
2016,2512960,New England,MA,"Chatham, MA",41.681944,-69.960278,"1,429",4,4,3,4
2016,3301551620,New England,NH,"Newington, NH",43.100000,-70.834167,839,4,4,2,4
2016,2336710,New England,ME,"Kennebunkport, ME",43.361667,-70.477222,"1,089",4,4,3,4
2016,2300930970,New England,ME,"Hancock, ME",44.529167,-68.254167,"2,375",2,2,1,1
2016,2529055,New England,MA,"Harwich Center, MA",41.686111,-70.075833,"1,423",2,3,1,1
2016,2302941610,New England,ME,"Lubec, ME",44.860556,-66.984722,"1,455",3,3,1,1
2016,2300512300,New England,ME,"Chebeague Island, ME",43.735320,-70.081008,412,2,4,1,1
2016,2500170605,New England,MA,"Truro, MA",41.993333,-70.050278,"1,589",2,2,2,4
2016,2302957780,New England,ME,"Pembroke, ME",44.953611,-67.162500,800,1,2,1,1
2016,2500119295,New England,MA,"Eastham, MA",41.830000,-69.974444,"4,924",2,2,1,1
2016,2301506050,New England,ME,"Boothbay, ME",43.876389,-69.634167,"3,112",2,2,1,1
2016,2300974580,New England,ME,"Stonington, ME",44.156111,-68.667222,"1,138",4,4,1,1
2016,2301356135,New England,ME,"Owls Head, ME",44.082222,-69.057778,"1,622",4,4,1,1
2016,2547730,New England,MA,"North Falmouth, MA",41.645833,-70.618889,"2,605",2,2,1,1
2016,2301315780,New England,ME,"Cushing, ME",44.019167,-69.240278,"1,391",3,4,1,1
2016,2507140,New England,MA,"Bourne, MA",41.741111,-70.599444,"1,054",2,2,2,3
2016,2301571955,New England,ME,"Southport, ME",43.840833,-69.659167,593,2,4,1,1
2016,2301351620,New England,ME,"North Haven, ME",44.128056,-68.874722,471,1,2,1,1
2016,2376925,New England,ME,"Topsham, ME",43.927500,-69.976389,"6,436",2,1,1,1
2016,4400950500,New England,RI,"New Shoreham, RI",41.172222,-71.558333,885,3,4,4,4
2016,2388160,New England,ME,"York Harbor, ME",43.136667,-70.646111,"2,885",3,2,2,2
2016,2500769940,New England,MA,"Tisbury/Vineyard Haven, MA",41.450000,-70.616667,"4,072",3,2,2,2
2016,2302963940,New England,ME,"Roque Bluffs, ME",44.612778,-67.480278,278,1,2,1,1
2016,2300974965,New England,ME,"Sullivan, ME",44.520278,-68.197222,998,1,1,1,1
2016,3301554580,New England,NH,"North Hampton, NH",42.972500,-70.830278,"4,384",2,1,1,1
2016,2300911265,New England,ME,"Castine, ME",44.387778,-68.800278,"1,309",1,1,1,1
2016,2300947630,New England,ME,"Mount Desert, ME",44.333056,-68.328333,"1,911",2,2,1,1
2016,3301566180,New England,NH,"Rye, NH",43.013333,-70.771389,"5,355",4,2,2,2
2016,2302958165,New England,ME,"Perry, ME",44.975000,-67.076389,740,1,1,1,1
2016,2301516235,New England,ME,"Damariscotta, ME",44.032778,-69.519167,"1,866",1,1,1,1
2016,2570115,New England,MA,"Topsfield, MA",42.637500,-70.950000,"3,435",2,2,1,1
2016,2302985185,New England,ME,"Whiting, ME",44.790833,-67.176111,350,1,1,1,1
2016,2521815,New England,MA,"Essex, MA",42.631944,-70.783333,"1,476",2,2,2,3
