"PORT_STATE","perc_AVG","perc_MIN","perc_MAX","WEA_MAX","Demographics","Gent","region","lease_status"
"NEW BEDFORD, MA",0.0055,0.0016,0.0104,5210823.12465753,1,1,"NewEngland","Leases, construction in progress or complete"
"POINT JUDITH, RI",0.0256,0.0143,0.0444,2570461.51794872,NA,1,"NewEngland","Leases, construction in progress or complete"
"CAPE MAY, NJ",0.0036,2e-04,0.015,2019287.62328767,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"POINT PLEASANT, NJ",0.0122,0.0039,0.0326,1137162.104,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"LITTLE COMPTON, RI",0.2043,0.1253,0.2738,1018105.27567568,NA,1,"NewEngland","Leases, construction in progress or complete"
"NEWPORT NEWS, VA",0.0062,8e-04,0.0168,1008181.24109589,1,NA,"MidAtlantic","Leases, construction in progress or complete"
"POINT LOOKOUT, NY",0.0847,0.0068,0.3813,934943.471428571,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"STONINGTON, CT",0.0126,0.002,0.0539,540076.467142857,NA,NA,"NewEngland","Leases, construction in progress or complete"
"NEWPORT, RI",0.0241,0.0115,0.0475,472274.545945946,NA,1,"NewEngland","Leases, construction in progress or complete"
"MONTAUK, NY",0.0083,0.0033,0.0172,406902.879452055,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"NEW LONDON, CT",0.0117,7e-04,0.0615,382939.155714286,1,NA,"NewEngland","Leases, construction in progress or complete"
"BARNEGAT LIGHT, NJ",0.0048,6e-04,0.0124,368704.855405405,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"HAMPTON, VA",0.0034,2e-04,0.0131,302742.497260274,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"FAIRHAVEN, MA",0.0039,2e-04,0.0134,234334.497260274,NA,NA,"NewEngland","Leases, construction in progress or complete"
"WESTPORT, MA",0.0993,0.0271,0.2446,215557.757692308,NA,NA,"NewEngland","Leases, construction in progress or complete"
"SHINNECOCK/HAMPTON BAYS, NY",0.0065,3e-04,0.0269,180991.15,1,1,"MidAtlantic","Leases, construction in progress or complete"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0056,4e-04,0.0131,177209.333766234,NA,NA,"NewEngland","Leases, construction in progress or complete"
"GLOUCESTER, MA",5e-04,0,0.0024,142290.663380282,NA,NA,"NewEngland","Leases, construction in progress or complete"
"ATLANTIC CITY, NJ",0.0016,1e-04,0.0059,135620.7925,1,NA,"MidAtlantic","Leases, construction in progress or complete"
"BELFORD, NJ",0.0086,0.0037,0.0331,114107.354285714,NA,1,"MidAtlantic","Leases, construction in progress or complete"
"TIVERTON, RI",0.0622,0.0012,0.2833,94882.8891891892,NA,NA,"NewEngland","Leases, construction in progress or complete"
"CHATHAM, MA",0.0022,1e-04,0.0074,86859.96125,NA,1,"NewEngland","Leases, construction in progress or complete"
"VIRGINIA BEACH/LYNNHAVEN, VA",0.0496,3e-04,0.1221,75826.9986486486,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"BARNSTABLE, MA",0.0023,0,0.014,75784.1275510204,NA,NA,"NewEngland","Leases, construction in progress or complete"
"OTHER NASSAU, NY",0.0123,3e-04,0.0639,74404.44125,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"HARWICHPORT, MA",0.0111,5e-04,0.0595,72157.7350649351,NA,1,"NewEngland","Leases, construction in progress or complete"
"BEAUFORT, NC",0.0052,3e-04,0.0123,58834.7556818182,NA,NA,"MidAtlantic","Leases, construction in progress or complete"
"CHILMARK, MA",0.0595,0.0263,0.0968,51201.4256097561,NA,1,"NewEngland","Leases, construction in progress or complete"
"FALL RIVER, MA",0.0168,0.0019,0.042,47385.2183098592,1,NA,"NewEngland","Leases, construction in progress or complete"
"NEW BEDFORD, MA",0.019,0.0078,0.0515,21506080.4633803,1,1,"NewEngland","Leases, construction not in progress"
"CAPE MAY, NJ",0.0552,0.0255,0.1123,11490088.9112676,NA,1,"MidAtlantic","Leases, construction not in progress"
"NEWPORT NEWS, VA",0.0561,0.0212,0.145,8690009.75352113,1,NA,"MidAtlantic","Leases, construction not in progress"
"ATLANTIC CITY, NJ",0.1609,0.0336,0.2358,8048388.19571428,1,NA,"MidAtlantic","Leases, construction not in progress"
"BARNEGAT LIGHT, NJ",0.0936,0.0257,0.1826,5545722.45194805,NA,1,"MidAtlantic","Leases, construction not in progress"
"POINT JUDITH, RI",0.0251,0.0148,0.0456,2900369.62820513,NA,1,"NewEngland","Leases, construction not in progress"
"POINT PLEASANT, NJ",0.0467,0.0293,0.0632,2467574.80769231,NA,NA,"MidAtlantic","Leases, construction not in progress"
"GLOUCESTER, MA",0.0293,0.0209,0.0508,2239963.53297872,NA,NA,"NewEngland","Leases, construction not in progress"
"HAMPTON, VA",0.0465,0.0132,0.105,1828028.17428571,NA,NA,"MidAtlantic","Leases, construction not in progress"
"BOSTON, MA",0.0749,0.0579,0.1047,1623669.034,1,1,"NewEngland","Leases, construction not in progress"
"OCEAN CITY, MD",0.0459,0.0282,0.0859,1168664.15774648,NA,NA,"MidAtlantic","Leases, construction not in progress"
"WILDWOOD, NJ",0.0809,0.0281,0.1671,1065055.53783784,NA,1,"MidAtlantic","Leases, construction not in progress"
"NEW LONDON, CT",0.0237,0.0011,0.1212,902725.207042254,1,NA,"NewEngland","Leases, construction not in progress"
"FAIRHAVEN, MA",0.0114,7e-04,0.0521,884706.847887324,NA,NA,"NewEngland","Leases, construction not in progress"
"STONINGTON, CT",0.0235,0.0088,0.0824,857434.626760563,NA,NA,"NewEngland","Leases, construction not in progress"
"OTHER CAPE MAY, NJ",0.0292,0.0104,0.0857,631106.335616438,NA,NA,"MidAtlantic","Leases, construction not in progress"
"MONTAUK, NY",0.0168,0.009,0.0306,594276.944578313,NA,1,"MidAtlantic","Leases, construction not in progress"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0222,0.0081,0.0316,552557.654054054,NA,NA,"NewEngland","Leases, construction not in progress"
"CHATHAM, MA",0.0116,0.002,0.0324,464792.159459459,NA,1,"NewEngland","Leases, construction not in progress"
"NEWPORT, RI",0.0263,0.0116,0.0462,415778.2,NA,1,"NewEngland","Leases, construction not in progress"
"PORTLAND, ME",0.0114,0.0023,0.0197,406323.208974359,NA,1,"NewEngland","Leases, construction not in progress"
"BARNSTABLE, MA",0.0062,0,0.0697,378130.871428572,NA,NA,"NewEngland","Leases, construction not in progress"
"BEAUFORT, NC",0.0291,0.0072,0.0536,255815.272727273,NA,NA,"MidAtlantic","Leases, construction not in progress"
"LITTLE COMPTON, RI",0.0398,0.0093,0.0943,240883.680263158,NA,1,"NewEngland","Leases, construction not in progress"
"PROVINCETOWN, MA",0.0078,3e-04,0.0342,232767.622,1,NA,"NewEngland","Leases, construction not in progress"
"VIRGINIA BEACH/LYNNHAVEN, VA",0.1256,0.0016,0.3395,210756.760810811,NA,NA,"MidAtlantic","Leases, construction not in progress"
"POINT LOOKOUT, NY",0.0292,0.0076,0.076,161637.82,NA,1,"MidAtlantic","Leases, construction not in progress"
"WESTPORT, MA",0.0448,0.0137,0.0768,147033.639726027,NA,NA,"NewEngland","Leases, construction not in progress"
"FALL RIVER, MA",0.0316,0.0013,0.0628,144943.746478873,1,NA,"NewEngland","Leases, construction not in progress"
"PORTSMOUTH, NH",0.0032,1e-04,0.0271,137068.11686747,NA,1,"NewEngland","Leases, construction not in progress"
"ENGELHARD, NC",0.0192,0.0086,0.0388,127645.077464789,1,NA,"MidAtlantic","Leases, construction not in progress"
"SEA ISLE CITY, NJ",0.0613,0.0156,0.1129,118011.527142857,NA,1,"MidAtlantic","Leases, construction not in progress"
"INDIAN RIVER, DE",0.1805,0.0914,0.2343,117710.451282051,NA,1,"MidAtlantic","Leases, construction not in progress"
"SHINNECOCK/HAMPTON BAYS, NY",0.0056,0.0029,0.0118,112357.301282051,1,1,"MidAtlantic","Leases, construction not in progress"
"WANCHESE, NC",0.0176,0.0067,0.0401,106474.731325301,NA,NA,"MidAtlantic","Leases, construction not in progress"
"CHINCOTEAGUE, VA",0.018,0.0071,0.0416,102030.12631579,NA,1,"MidAtlantic","Leases, construction not in progress"
"TIVERTON, RI",0.0269,4e-04,0.1022,77052.5857142857,NA,NA,"NewEngland","Leases, construction not in progress"
"ROCKLAND, ME",0.0048,6e-04,0.0181,76326.3242857143,NA,NA,"NewEngland","Leases, construction not in progress"
"SANDWICH, MA",0.0045,0,0.0317,58051.9142857143,NA,1,"NewEngland","Leases, construction not in progress"
"BRIELLE, NJ",0.0201,0.0101,0.0409,51050.15,NA,1,"MidAtlantic","Leases, construction not in progress"
"HARWICHPORT, MA",0.005,2e-04,0.0142,44915.3416666667,NA,1,"NewEngland","Leases, construction not in progress"
"BELFORD, NJ",0.0064,0.0028,0.0129,41930.1128205128,NA,1,"MidAtlantic","Leases, construction not in progress"
"ORIENTAL, NC",0.0159,0.0046,0.0554,36475.465060241,NA,1,"MidAtlantic","Leases, construction not in progress"
"PORT CLYDE, ME",0.0116,0.0017,0.0386,34686.354054054,NA,1,"NewEngland","Leases, construction not in progress"
"CHILMARK, MA",0.0459,0.0211,0.0723,31584.918,NA,1,"NewEngland","Leases, construction not in progress"
"NEW BEDFORD, MA",0.0245,0.0095,0.0587,24512306.6492958,1,1,"NewEngland","All leases"
"CAPE MAY, NJ",0.0588,0.0264,0.1176,12039171.5676056,NA,1,"MidAtlantic","All leases"
"NEWPORT NEWS, VA",0.0622,0.0233,0.1525,9141430.42535211,1,NA,"MidAtlantic","All leases"
"ATLANTIC CITY, NJ",0.1624,0.0345,0.2359,8053248.61428571,1,NA,"MidAtlantic","All leases"
"BARNEGAT LIGHT, NJ",0.098,0.0262,0.19,5768889.74415584,NA,1,"MidAtlantic","All leases"
