year,pbr,NEgillest1y,.,totalest1y,totalcv1y,NEgill1yLCI,NEgill1yUCI,total1yLCI,total1yUCI,NEgillest5y,NEgillcv5y,totalest5y,totalcv5y,NEgill5yLCI,NEgill5yUCI,total5yLCI,total5yUCI
1990,NA,2900,0.32,2901.7,0.319816292,1572.622728,5347.754328,1574.071448,5349.098291,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,2000,0.35,2000.7,0.349877718,1027.244024,3893.91411,1027.829492,3894.42074,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,1200,0.21,1200.4,0.209930288,798.6453053,1803.053233,799.0172141,1803.415664,NA,NA,NA,NA,NA,NA,NA,NA
1993,403,1400,0.18,1401.5,0.179807717,986.5781506,1986.664715,987.9986936,1988.061586,NA,NA,NA,NA,NA,NA,NA,NA
1994,403,2100,0.18,2100,0.18,1479.867226,2979.997072,1479.867226,2979.997072,1920,0.132626545,1920.86,0.132568033,1482.180418,2487.146609,1483.012168,2487.979007
1995,483,1400,0.27,1503,0.254512424,832.4046001,2354.624181,919.8308181,2455.896188,1620,0.117301883,1641.12,0.116013194,1288.274478,2037.143516,1308.336931,2058.548369
1996,483,1185,0.25,1496,0.208250572,731.3662749,1920.002396,998.9561284,2240.354643,1457,0.097115794,1540.18,0.093032916,1205.003649,1761.69508,1283.96229,1847.52656
1997,483,782,0.22,1354,0.194952386,510.6822647,1197.46473,927.2993867,1977.048649,1373.4,0.099476629,1570.9,0.091760503,1130.656657,1668.258484,1312.821034,1879.713035
1998,483,332,0.46,778,0.284822325,140.6749561,783.5367648,450.0392535,1344.958235,1159.8,0.112611461,1446.2,0.098281273,930.7432134,1445.227879,1193.361854,1752.607085
1999,747,154,0.42,207,0.341686515,69.89301501,339.3186,107.9237993,397.0301293,770.6,0.139222912,1067.6,0.113515948,587.3413135,1011.037954,855.2493157,1332.675442
2000,747,507,0.37,528,0.356567628,251.2522265,1023.071531,268.0141429,1040.183913,592,0.143355838,872.6,0.11603208,447.6277908,782.9361965,695.6304043,1094.590971
