Year,N_Rows,"N(PSP_Exceed_Threshold, Missing)","N(PSP_Exceed_Threshold, 0)","N(PSP_Exceed_Threshold, 1)",PSP Exceed Threshold %
2000,46,0,43,2,4.35
2001,47,0,47,0,0
2002,49,0,48,1,2.04
2003,64,0,51,10,15.6
2004,57,0,49,7,12.3
2005,71,0,44,27,38
2006,57,0,43,14,24.6
2007,56,0,48,8,14.3
2008,68,0,42,26,38.2
2009,57,0,35,22,38.6
2010,58,0,55,3,5.17
2011,60,0,49,11,18.3
2012,58,0,54,4,6.9
2013,53,0,53,0,0
2014,55,0,48,7,12.7
2015,55,0,52,3,5.45
2016,51,0,42,9,17.6
2017,58,0,40,18,31
2018,47,0,43,4,8.51
2019,76,0,23,39,51.3
