"season","year","subarea","source","bt_temp","ref_bt","anomaly"
1,1976,"GOM","ROMS",7.69401043702858,7.31995530462768,0.374055132400899
1,1977,"GOM","ROMS",6.39678555649822,7.31995530462768,-0.92316974812946
1,1978,"GOM","ROMS",6.12819985709774,7.31995530462768,-1.19175544752994
1,1979,"GOM","ROMS",6.0473543706628,7.31995530462768,-1.27260093396488
1,1980,"GOM","ROMS",6.2990670241625,7.31995530462768,-1.02088828046518
1,1981,"GOM","ROMS",5.46780573490022,7.31995530462768,-1.85214956972746
1,1982,"GOM","ROMS",6.04286902554044,7.31995530462768,-1.27708627908724
1,1983,"GOM","ROMS",5.96838412474599,7.31995530462768,-1.3515711798817
1,1984,"GOM","ROMS",6.62092179675566,7.31995530462768,-0.69903350787202
1,1985,"GOM","ROMS",6.76547183026707,7.31995530462768,-0.554483474360614
1,1986,"GOM","ROMS",7.09803866515578,7.31995530462768,-0.221916639471901
1,1987,"GOM","ROMS",6.94492437861135,7.31995530462768,-0.375030926016336
1,1988,"GOM","ROMS",6.99598321747459,7.31995530462768,-0.32397208715309
1,1989,"GOM","ROMS",6.74396358905234,7.31995530462768,-0.575991715575347
1,1990,"GOM","ROMS",6.80982158841362,7.31995530462768,-0.510133716214066
1,1991,"GOM","ROMS",7.15712233776993,7.31995530462768,-0.162832966857756
1,1992,"GOM","ROMS",6.69738557750544,7.31995530462768,-0.622569727122245
4,1993,"MAB","GLORYS",12.4623919026838,13.5363827965298,-1.07399089384594
4,1994,"MAB","GLORYS",13.5042663274904,13.5363827965298,-0.0321164690393463
4,1995,"MAB","GLORYS",13.6467700703834,13.5363827965298,0.110387273853608
4,1996,"MAB","GLORYS",11.4145535226615,13.5363827965298,-2.12182927386826
4,1997,"MAB","GLORYS",12.5897596276273,13.5363827965298,-0.946623168902486
4,1998,"MAB","GLORYS",12.1411990536357,13.5363827965298,-1.39518374289411
4,1999,"MAB","GLORYS",14.5563322784163,13.5363827965298,1.01994948188657
4,2000,"MAB","GLORYS",12.6438465884073,13.5363827965298,-0.892536208122493
4,2001,"MAB","GLORYS",14.3438287730409,13.5363827965298,0.807445976511147
4,2002,"MAB","GLORYS",13.6430462199085,13.5363827965298,0.106663423378707
4,2003,"MAB","GLORYS",12.8674945666795,13.5363827965298,-0.668888229850307
4,2004,"MAB","GLORYS",12.6272782186653,13.5363827965298,-0.90910457786449
4,2005,"MAB","GLORYS",12.9800198794677,13.5363827965298,-0.556362917062092
4,2006,"MAB","GLORYS",13.9140298094464,13.5363827965298,0.37764701291669
4,2007,"MAB","GLORYS",12.1076617557988,13.5363827965298,-1.42872104073093
4,2008,"MAB","GLORYS",13.2484030602577,13.5363827965298,-0.287979736272055
4,2009,"MAB","GLORYS",14.1838810055412,13.5363827965298,0.647498209011468
4,2010,"MAB","GLORYS",12.8304745912587,13.5363827965298,-0.705908205271104
4,2011,"MAB","GLORYS",14.1442571210171,13.5363827965298,0.607874324487371
4,2012,"MAB","GLORYS",13.5733479508155,13.5363827965298,0.0369651542857206
