Year,Region,Species,Landings.Revenue,Landings.Weight
2016,New England,"TUNA, BLUEFIN",12057526,1682982
2016,New England,SWORDFISH,2277229,799994
2016,New England,"TUNA, BIGEYE",298242,77110
2016,New England,"TUNA, YELLOWFIN",259921,86299
2016,New England,"SHARK, SHORTFIN MAKO",70558,52780
2016,New England,"TUNA, ALBACORE",26184,16424
2016,New England,"SHARK, SMOOTH DOGFISH",17374,50042
2016,Mid-Atlantic,"TUNA, YELLOWFIN",2441007,972396
2016,Mid-Atlantic,"TUNA, BIGEYE",2341903,571575
2016,Mid-Atlantic,SWORDFISH,2115199,706328
2016,Mid-Atlantic,"TUNA, BLUEFIN",1155475,167324
2016,Mid-Atlantic,"SHARK, SMOOTH DOGFISH",506502,956350
2016,Mid-Atlantic,"TUNA, ALBACORE",206428,161418
2016,Mid-Atlantic,"SHARK, SHORTFIN MAKO",197725,129257
2016,Mid-Atlantic,"SHARK, ATLANTIC SHARPNOSE",143884,233860
2016,Mid-Atlantic,"SHARK, THRESHER",65009,108618
2016,Mid-Atlantic,"SHARK, BLACKTIP",55359,110171
2016,Mid-Atlantic,Shark Fins,52962,31908
2016,Mid-Atlantic,"SHARK, SPINNER",30487,70490
2016,Mid-Atlantic,"SHARK, SANDBAR",16408,40158
2016,Mid-Atlantic,"SHARK, GREAT HAMMERHEAD",7853,28432
2016,Mid-Atlantic,"SHARK, FINETOOTH",3372,5410
2016,Mid-Atlantic,"TUNA, SKIPJACK",2773,3833
2016,Mid-Atlantic,"SHARK, BULL",2272,6834
2016,Mid-Atlantic,"SHARK, TIGER",1835,6906
2017,New England,"TUNA, BLUEFIN",7698596.28,1477592.628
2017,New England,SWORDFISH,1354016.521,403270.46
2017,New England,"TUNA, YELLOWFIN",411735.4846,134925.41
2017,New England,"TUNA, BIGEYE",339362.7993,94301.25
2017,New England,"SHARK, SHORTFIN MAKO",60620.57983,41868
2017,New England,"TUNA, ALBACORE",48905.51479,38664.09
2017,New England,"SHARK, SMOOTH DOGFISH",32534.45013,102126
2017,Mid-Atlantic,"TUNA, YELLOWFIN",4113441.939,1473144.25
2017,Mid-Atlantic,"TUNA, BIGEYE",3969825.806,915201.49
2017,Mid-Atlantic,SWORDFISH,2477909.364,728172.13
2017,Mid-Atlantic,"TUNA, BLUEFIN",1623974.02,317830
2017,Mid-Atlantic,"SHARK, SMOOTH DOGFISH",549142.4744,1087291
2017,Mid-Atlantic,"SHARK, SHORTFIN MAKO",239076.8189,184145.79
2017,Mid-Atlantic,"TUNA, ALBACORE",217931.2898,166349.06
2017,Mid-Atlantic,"SHARK, ATLANTIC SHARPNOSE",172101.8999,251817
2017,Mid-Atlantic,Shark Fins,73402.87029,0
2017,Mid-Atlantic,"SHARK, THRESHER",45249.44018,84936
2017,Mid-Atlantic,"SHARK, BLACKTIP",38803.97968,59817
2017,Mid-Atlantic,"SHARK, SPINNER",33303.40009,66743
2017,Mid-Atlantic,"SHARK, SANDBAR",11184.49996,29632
2017,Mid-Atlantic,"TUNA, SKIPJACK",5447.400027,5948.67
2017,Mid-Atlantic,"SHARK, GREAT HAMMERHEAD",4883.250041,20832
2017,Mid-Atlantic,"SHARK, SCALLOPED HAMMERHEAD",2465.400003,6691
2017,Mid-Atlantic,"SHARK, FINETOOTH",1504.3,2136
2017,Mid-Atlantic,"SHARK, BULL",1471.050013,3997.28
2018,New England,"TUNA, BLUEFIN",9345679.56,1665712
2018,New England,SWORDFISH,826035.5,238861.28
2018,New England,"TUNA, BIGEYE",179382.42,44276.88
2018,New England,"TUNA, YELLOWFIN",133076.56,42269.87
2018,New England,"SHARK, SMOOTH DOGFISH",28920.68,74236.93
2018,New England,"SHARK, SHORTFIN MAKO",11860.56,10606.9
2018,New England,"TUNA, ALBACORE",4324.75,2787.25
2018,Mid-Atlantic,"TUNA, BIGEYE",3506702.7,700627.23
2018,Mid-Atlantic,"TUNA, YELLOWFIN",2637820.11,809211.6
2018,Mid-Atlantic,SWORDFISH,1738533.87,541802.52
2018,Mid-Atlantic,"TUNA, BLUEFIN",1339411.1,232364
2018,Mid-Atlantic,"SHARK, SMOOTH DOGFISH",650886.43,1223698.7
2018,Mid-Atlantic,"SHARK, ATLANTIC SHARPNOSE",191880.9,292223.83
2018,Mid-Atlantic,Shark Fins,133857.18,0
2018,Mid-Atlantic,"TUNA, ALBACORE",91434.47,59487.99
2018,Mid-Atlantic,"SHARK, SHORTFIN MAKO",77886.79,57068.74
2018,Mid-Atlantic,"SHARK, THRESHER",47040.34,88035.57
2018,Mid-Atlantic,"SHARK, SPINNER",41847.6,64981.81
2018,Mid-Atlantic,"SHARK, BLACKTIP",23194.38,39400.8
2018,Mid-Atlantic,"SHARK, SANDBAR",15623.2,45386.3
2018,Mid-Atlantic,"SHARK, GREAT HAMMERHEAD",8740.74,30954.1
2018,Mid-Atlantic,"TUNA, SKIPJACK",2861.94,2884.53
2018,Mid-Atlantic,"SHARK, FINETOOTH",2609.89,3904.51
2018,Mid-Atlantic,"SHARK, SCALLOPED HAMMERHEAD",2191.6,8026.08
