Date,2024  Daily,2010-2024 avg, 2010-2024 min, 2010-2024 max
01/02/2024 00:00:00,45.25,44.35,36.46,50.43
01/03/2024 00:00:00,44.63,44.12,35.13,49.26
01/04/2024 00:00:00,44.52,43.59,36.01,49.19
01/05/2024 00:00:00,44.43,43.25,34.72,48.51
01/06/2024 00:00:00,43.41,43.06,33.76,47.43
01/07/2024 00:00:00,43.66,42.93,32.59,47.34
01/08/2024 00:00:00,43.62,42.25,31.84,46.09
01/09/2024 00:00:00,43.70,41.93,32.23,46.71
01/10/2024 00:00:00,44.81,41.82,31.32,47.30
01/11/2024 00:00:00,44.29,41.27,31.37,47.16
01/12/2024 00:00:00,44.26,40.51,33.64,46.38
01/13/2024 00:00:00,45.03,40.59,33.91,45.95
01/14/2024 00:00:00,44.73,40.47,33.53,44.19
01/15/2024 00:00:00,44.08,40.11,32.41,44.96
01/16/2024 00:00:00,43.53,39.66,32.32,44.98
01/17/2024 00:00:00,41.83,39.53,32.95,45.07
01/18/2024 00:00:00,40.03,39.46,32.25,42.94
01/19/2024 00:00:00,39.37,39.47,31.66,42.80
01/20/2024 00:00:00,39.70,39.64,31.78,43.11
01/21/2024 00:00:00,38.82,39.45,31.59,43.02
01/22/2024 00:00:00,38.23,38.90,33.26,42.98
01/23/2024 00:00:00,38.07,38.84,32.77,41.91
01/24/2024 00:00:00,38.59,38.65,32.61,42.47
01/25/2024 00:00:00,39.36,38.25,32.56,42.30
01/26/2024 00:00:00,40.94,38.56,32.74,42.36
01/27/2024 00:00:00,41.33,38.48,32.76,42.43
01/28/2024 00:00:00,41.22,38.34,31.73,43.23
01/29/2024 00:00:00,40.64,38.19,31.82,42.35
01/30/2024 00:00:00,40.44,37.96,32.02,44.54
01/31/2024 00:00:00,40.57,37.88,32.09,42.83
02/01/2024 00:00:00,40.44,37.72,32.00,42.53
02/02/2024 00:00:00,41.14,37.81,32.83,42.33
02/03/2024 00:00:00,40.86,37.78,33.28,42.16
02/04/2024 00:00:00,40.93,37.41,33.04,41.59
02/05/2024 00:00:00,40.85,37.36,33.55,40.65
02/06/2024 00:00:00,41.08,37.61,33.60,41.83
02/07/2024 00:00:00,41.10,37.65,33.17,41.30
02/08/2024 00:00:00,41.22,38.08,33.30,44.50
02/09/2024 00:00:00,41.93,38.17,33.01,43.88
02/10/2024 00:00:00,42.49,38.28,33.35,42.55
02/11/2024 00:00:00,42.99,38.43,33.06,43.19
02/12/2024 00:00:00,43.33,38.86,32.65,42.68
02/13/2024 00:00:00,43.00,38.81,32.59,43.33
02/14/2024 00:00:00,42.59,38.62,32.43,45.07
02/15/2024 00:00:00,42.45,38.75,30.52,43.79
02/16/2024 00:00:00,42.44,39.13,32.61,44.27
02/17/2024 00:00:00,42.23,39.62,33.12,44.74
02/18/2024 00:00:00,41.57,39.92,32.79,44.57
02/19/2024 00:00:00,41.64,39.95,33.51,45.19
02/20/2024 00:00:00,41.78,40.10,33.66,45.07
02/21/2024 00:00:00,42.08,39.99,35.08,45.55
02/22/2024 00:00:00,42.01,40.37,33.73,45.28
02/23/2024 00:00:00,42.86,40.82,35.91,45.72
02/24/2024 00:00:00,42.90,40.85,36.18,45.18
02/25/2024 00:00:00,42.65,41.05,36.07,46.04
02/26/2024 00:00:00,42.83,41.17,35.87,45.10
02/27/2024 00:00:00,43.21,41.35,35.71,48.33
02/28/2024 00:00:00,43.86,41.66,35.98,46.40
02/29/2024 00:00:00,44.13,42.04,38.91,42.75
03/01/2024 00:00:00,44.04,41.80,35.13,46.56
03/02/2024 00:00:00,44.40,42.05,35.89,47.17
03/03/2024 00:00:00,45.77,42.38,36.50,46.53
03/04/2024 00:00:00,46.82,42.48,34.93,46.76
03/05/2024 00:00:00,45.61,42.78,38.17,47.29
03/06/2024 00:00:00,46.42,43.11,34.90,47.60
03/07/2024 00:00:00,46.59,43.33,39.09,47.44
03/08/2024 00:00:00,47.73,43.55,36.48,46.77
03/09/2024 00:00:00,47.44,43.51,36.21,47.72
03/10/2024 00:00:00,47.57,44.39,35.92,47.34
03/11/2024 00:00:00,46.64,44.67,39.04,51.96
03/12/2024 00:00:00,46.59,45.03,38.41,49.73
03/13/2024 00:00:00,47.70,44.66,37.45,51.21
03/14/2024 00:00:00,48.82,44.51,37.09,53.51
03/15/2024 00:00:00,48.66,44.47,37.58,56.19
03/16/2024 00:00:00,49.77,45.04,37.47,52.41
03/17/2024 00:00:00,49.51,45.67,37.72,54.39
03/18/2024 00:00:00,49.92,45.89,37.18,53.76
03/19/2024 00:00:00,48.61,46.51,37.11,54.19
03/20/2024 00:00:00,49.06,46.72,38.21,55.49
03/21/2024 00:00:00,48.19,46.55,38.28,57.40
03/22/2024 00:00:00,47.89,46.74,38.71,60.49
03/23/2024 00:00:00,48.19,46.93,39.72,63.88
03/24/2024 00:00:00,47.79,47.38,38.98,63.28
03/25/2024 00:00:00,47.89,47.53,39.38,60.17
03/26/2024 00:00:00,48.36,47.85,38.93,55.69
03/27/2024 00:00:00,48.42,48.08,38.25,56.47
03/28/2024 00:00:00,48.57,47.78,39.22,53.83
03/29/2024 00:00:00,48.32,48.14,39.90,54.72
03/31/2024 00:00:00,49.18,48.48,40.30,53.80
04/01/2024 00:00:00,49.45,48.78,41.14,54.52
04/02/2024 00:00:00,49.55,48.46,41.34,54.21
04/03/2024 00:00:00,49.67,48.56,42.33,55.47
04/04/2024 00:00:00,49.94,49.32,42.44,57.04
04/05/2024 00:00:00,49.55,49.64,43.68,56.46
