Species,EPU,YEAR,MeanCond,nCond,n
Acadian redfish,GOM,1992,0.969081304,209,29
Acadian redfish,GOM,1993,0.98622863,292,29
Acadian redfish,GOM,1994,0.948221428,239,29
Acadian redfish,GOM,1995,0.954511787,309,29
Acadian redfish,GOM,1996,0.990608275,396,29
Acadian redfish,GOM,1997,0.991635095,422,29
Acadian redfish,GOM,1998,1.031334567,385,29
Acadian redfish,GOM,1999,0.980314298,460,29
Acadian redfish,GOM,2000,0.985563042,347,29
Acadian redfish,GOM,2001,0.933355818,423,29
Acadian redfish,GOM,2002,0.929127115,431,29
Acadian redfish,GOM,2003,0.931261742,416,29
Acadian redfish,GOM,2004,0.948169576,591,29
Acadian redfish,GOM,2005,0.929949953,643,29
Acadian redfish,GOM,2006,0.951234791,741,29
Acadian redfish,GOM,2007,0.96320614,599,29
Acadian redfish,GOM,2008,0.921661574,780,29
Acadian redfish,GOM,2009,0.954371646,672,29
Acadian redfish,GOM,2010,0.949079044,665,29
Acadian redfish,GOM,2011,0.951836851,713,29
Acadian redfish,GOM,2012,0.956360025,917,29
Acadian redfish,GOM,2013,0.949759848,664,29
Acadian redfish,GOM,2014,0.953110964,686,29
Acadian redfish,GOM,2015,0.964997964,741,29
Acadian redfish,GOM,2016,0.945851876,669,29
Acadian redfish,GOM,2017,0.934706013,229,29
Acadian redfish,GOM,2018,0.958517389,491,29
Acadian redfish,GOM,2019,0.957711015,545,29
Acadian redfish,GOM,2021,0.974330446,575,29
American plaice,GOM,1992,0.98532662,346,29
American plaice,GOM,1993,1.021633175,457,29
American plaice,GOM,1994,0.996735241,464,29
American plaice,GOM,1995,0.963115453,403,29
American plaice,GOM,1996,0.977590933,394,29
American plaice,GOM,1997,0.998988279,362,29
American plaice,GOM,1998,0.995687692,472,29
American plaice,GOM,1999,0.987643422,647,29
American plaice,GOM,2000,0.957704417,419,29
American plaice,GOM,2001,0.954688695,388,29
American plaice,GOM,2002,0.91427791,358,29
American plaice,GOM,2003,0.917628736,344,29
American plaice,GOM,2004,0.902367205,298,29
American plaice,GOM,2005,0.916252467,411,29
